Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Angola,AGO,1980,Angola,,,,,23063262074.0,,,,,,,,,,,,,,4058927.0,748172.4078361838,1401122.827402313,91702.48870360464,,,,2.7,,,,,,,,,
Angola,AGO,1981,Angola,,,,,22048478261.0,,,,,,,,,,,,,,4216591.0,784192.0929888749,1456452.1727049374,94820.01124368138,,,,2.8,,,,,,,,,
Angola,AGO,1982,Angola,,,,,22048478261.0,,,,,,,,,,,,,,4381381.0,820109.4064097148,1514936.8271165146,98307.48878122104,,,,2.9,,,,,,,,,
Angola,AGO,1983,Angola,,,,,22974514663.0,,,,,,,,,,,,,,4554461.0,856826.594064546,1577385.673169304,102099.51120873704,,,,3.0,,,,,,,,,
Angola,AGO,1984,Angola,,,,,24352986041.0,,,,,,,,,,,,,,4733983.0,893549.9056238803,1642452.3265253252,106156.98878777244,,,,3.1,,,,,,,,,
Angola,AGO,1985,Angola,,,,,25205340428.0,,,,,,,,,,,,,,4918592.0,928398.094376406,1708766.1737048095,110594.51124249716,,,,3.2,,,,,,,,,
Angola,AGO,1986,Angola,,,,,25936295739.0,,,,,,,,,,,,,,5106657.0,959797.6879502964,1775550.3476932847,115430.52260393088,,,,3.3,,,,,,,,,
Angola,AGO,1987,Angola,,,,,26995209500.0,,,,,,,,,,,,,,5294982.0,988294.9999999994,1841898.999999999,120419.49999999988,,,,3.4,,,,,,,,,
Angola,AGO,1988,Angola,,,,,28649716324.0,,,,,,,,,,,,,,5486730.0,1016459.5,1909097.0000000007,125791.00000000012,,,,3.6,,,,,,,,,
Angola,AGO,1989,Angola,,,,,28661640755.0,,,,,,,,,,,,,,5684947.0,1045458.0,1977794.5,131964.50000000006,,,,3.7,,,,,,,,,
Angola,AGO,1990,Angola,,,,7391.7524,27672785864.0,,75.607,,7.272,,,,,,77.7902908325195,,0.192969992756844,,5888322.0,1075422.0913182136,2047474.6738589257,138892.51179389577,,,,3.9,1.1861051,,57.09156,19.98041030794,53.255281697300006,3.76075604801,7.25820999253,114.08936670837,23197.38232055597
Angola,AGO,1991,Angola,,,,7218.4414,27947122601.0,,75.572,,7.208,,,,,,70.9069671630859,,,,6095028.0,1105290.5906714944,2116416.673618289,146794.01204211148,,,,4.0,1.3047991,,57.866333,20.13042615285,53.10213892206,3.73243775738,7.30266315652,163.09056847498002,23316.58052940971
Angola,AGO,1992,Angola,,,,6578.0684,26315491127.0,,75.54,,7.138,,,,,,65.7146682739258,,,,6302736.0,1135517.0,2184644.5000000005,155408.00000000012,,,,4.2,1.4777416,,58.57139,20.259471174389997,52.98553193055999,3.70692870404,7.34015780642,220.84277361191,23394.96730377372
Angola,AGO,1993,Angola,,,,4843.156,20004137038.0,,75.513,,7.065,,,,,,,,,,6515298.0,1167620.679212168,2254673.3460583608,164725.5252828843,,,,4.3,1.552133,,59.22629,20.36194188131,52.898228499320005,3.68519481619,7.369267670709999,287.27361658543003,23453.46910102264
