Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Benin,BEN,1960,Benin,,,,,1651120631.0,,,,,,,,,,,,,,1324982.0,234860.99999999997,506400.49999999994,88275.00000000004,,,,,,,,,,,,,
Benin,BEN,1961,Benin,,,,,1702986960.0,,,,,,,,,,,,,,1345546.0,240472.4106413267,510212.810406775,88264.467201245,,,,,,,,,,,,,
Benin,BEN,1962,Benin,,,,,1644635648.0,,,,,,,,,,,,,,1367881.0,245043.58957050703,514341.6880067375,88491.03234602736,,,,,,,,,,,,,
Benin,BEN,1963,Benin,,,,,1722427374.0,,,,,,,,,,,,,,1391581.0,248812.5000000001,518898.9999999998,88861.49999999999,,,,,,,,,,,,,
Benin,BEN,1964,Benin,,,,,1836981870.0,,,,,,,,,,,,,,1416729.0,252241.41097753655,524159.81501055777,89291.96848657423,,,,,,,,,,,,,
Benin,BEN,1965,Benin,,,,,1934229170.0,,,,,,,,,,,,,,1443331.0,255298.5,530216.9999999998,89743.49999999996,,,,,,,,,,,,,
Benin,BEN,1966,Benin,,,,,2003394550.0,,,,,,,,,,,,,,1471068.0,258387.5,536964.0000000001,90144.0,,,,,,,,,,,,,
Benin,BEN,1967,Benin,,,,,2024999131.0,,,,,,,,,,,,,,1499848.0,261441.0871558608,544422.6814926182,90475.53016156638,,,,,,,,,,,,,
Benin,BEN,1968,Benin,,,,,2102806394.0,,,,,,,,,,,,,,1529935.0,264547.58645713277,552645.180610673,90834.52968574806,,,,,,,,,,,,,
Benin,BEN,1969,Benin,,,,,2163314605.0,,,,,,,,,,,,,,1561427.0,267816.9142396942,561503.820195302,91270.97077321878,,,,,,,,,,,,,
Benin,BEN,1970,Benin,,,,,2208695701.0,,,,,,,,,,,,,,1594377.0,271497.9999999998,570794.4999999999,91790.0,,,,,,,,,,,,,
Benin,BEN,1971,Benin,,,,,2175635020.0,,,,,,,,,,,,,,1628706.0,275884.58469440916,580252.1781328791,92354.02835196418,,,,,,,,,,,,,
Benin,BEN,1972,Benin,,,,,2315449323.0,,,,,,,,,,,,,,1664530.0,281910.99999999994,589052.0000000001,92970.5,,,,,,,,,,,,,
Benin,BEN,1973,Benin,,,,,2401263703.0,,,,,,,,,,,,,,1701944.0,289363.4149903244,597558.3244483004,93643.9724891146,,,,,,,,,,,,,
Benin,BEN,1974,Benin,,,,,2481449394.0,,,,,,,,,,,,,,1740952.0,297740.50000000006,606366.5000000001,94334.50000000012,,,,,,,,,,,,,
Benin,BEN,1975,Benin,,,,,2359973874.0,,,,,,,,,,,,,,1781810.0,307120.9999999999,615532.9999999997,95046.50000000006,,,,,,,,,,,,,
Benin,BEN,1976,Benin,,,,,2380844452.0,,,,,,,,,,,,,,1824743.0,317414.4130248991,625475.8286126241,95798.47375014612,,,,,,,,,,,,,
Benin,BEN,1977,Benin,,,,,2499497734.0,,,,,,,,,,,,,,1869897.0,328671.08788481075,636180.6701111532,96607.02583217846,,,,,,,,,,,,,
Benin,BEN,1978,Benin,,,,,2530868380.0,,,,,,,,,,,,,,1917165.0,340550.5888161917,647698.6689209505,97468.52541996264,,,,,,,,,,,,,
Benin,BEN,1979,Benin,,,,,2696279545.0,,,,,,,,,,,,,,1967004.0,352972.5,660041.5,98384.00000000007,,,,,,,,,,,,,
Benin,BEN,1980,Benin,,,,,2879134857.0,,,,,,,,,,,,,,2020095.0,365840.4094497014,673281.833353918,99370.9754043807,,,,2.9,,,,,,,,,
Benin,BEN,1981,Benin,,,,,3165730597.0,,,,,,,,,,,,,,2076382.0,379002.40873490344,687498.8344478921,100427.97581659455,,,,3.0,,,,,,,,,
Benin,BEN,1982,Benin,,,,,3236486776.0,,,,,,,,,,,,,,2135342.0,392318.4081368672,702756.835446304,101560.4762191545,,,,3.0,,,,,,,,,
Benin,BEN,1983,Benin,,,,,3095770068.0,,,,,,,,,,,,,,2196414.0,405756.5000000005,719104.0000000003,102757.00000000016,,,,3.1,,,,,,,,,
Benin,BEN,1984,Benin,,,,,3341259668.0,,,,,,,,,,,,,,2259804.0,419361.1855741407,736632.8259719986,104016.5460290123,,,,3.2,,,,,,,,,
Benin,BEN,1985,Benin,,,,,3592867374.0,,,,,,,,,,,,,,2325825.0,433168.40687854635,755465.3375919644,105343.97735341702,,,,3.3,,,,,,,,,
Benin,BEN,1986,Benin,,,,,3670873612.0,,,,,,,,,,,,,,2394505.0,447008.49999999953,775842.4999999997,106758.99999999993,,,,3.4,,,,,,,,,
Benin,BEN,1987,Benin,,,,,3615810400.0,,,,,,,,,,,,,,2465960.0,460923.0000000002,797750.0000000003,108266.49999999996,,,,3.5,,,,,,,,,
Benin,BEN,1988,Benin,,,,,3738937613.0,,,,,,,,,,,,,,2540228.0,475095.5935143598,820966.1615930074,109878.02162759044,,,,3.6,,,,,,,,,
Benin,BEN,1989,Benin,,,,,3632222333.0,,,,,,,,,,,,,,2617174.0,489651.4064541746,845638.3384443796,111594.47868034772,,,,3.8,,,,,,,,,
Benin,BEN,1990,Benin,,,,2207.0679,3958255490.0,0.351,57.112,,6.741,,,,,,32.1671295166016,,,10.7620697021484,2696784.0,504717.0935775902,871711.161620501,113375.02102041194,,,,3.9,0.91932034,,56.535656,21.27358143404,38.0740443372,4.03196131102,7.139180178589999,127.88955732457,32424.970661901098
Benin,BEN,1991,Benin,,,,2230.4604,4125523427.0,0.358,57.096,,6.666,,,,,,35.6615104675293,,0.583530008792877,12.7147998809815,2779049.0,520326.093615855,898929.1617332334,115207.52072786794,,,,4.0,1.2762429,,57.270695,21.19985134135,38.00147274068,4.0252203695099995,7.223638139240001,219.76050488409,32505.18061126692
