Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Botswana,BWA,1960,Botswana,,,,,203297646.0,,,,,,,,,,,,,,267947.0,47809.32157172289,90149.16355598852,13956.947911535091,,,,,,,,,,,,,
Botswana,BWA,1961,Botswana,,,,,216193392.0,,,,,,,,,,,,,,274314.0,47959.91258209102,92054.8322090156,14056.974377949417,,,,,,,,,,,,,
Botswana,BWA,1962,Botswana,,,,,230606288.0,,,,,,,,,,,,,,280886.0,48054.5,94125.50000000004,14095.50000000001,,,,,,,,,,,,,
Botswana,BWA,1963,Botswana,,,,,244260590.0,,,,,,,,,,,,,,287706.0,48170.99999999999,96284.0,14108.499999999984,,,,,,,,,,,,,
Botswana,BWA,1964,Botswana,,,,,260949209.0,,,,,,,,,,,,,,294790.0,48852.41714030813,98395.33310944548,14157.975986336043,,,,,,,,,,,,,
Botswana,BWA,1965,Botswana,,,,,276120678.0,,,,,,,,,,,,,,300229.0,49942.83365086771,99691.16794957205,14267.452478100146,,,,,,,,,,,,,
Botswana,BWA,1966,Botswana,,,,,293637827.0,,,,,,,,,,,,,,303897.0,51014.41606627235,100139.33524132312,14440.976240344196,,,,,,,,,,,,,
Botswana,BWA,1967,Botswana,,,,,311034576.0,,,,,,,,,,,,,,307543.0,52257.08495898938,100409.16324410448,14683.52387231033,,,,,,,,,,,,,
Botswana,BWA,1968,Botswana,,,,,343901775.0,,,,,,,,,,,,,,311197.0,53670.08623168961,100561.66157235055,14957.524032243304,,,,,,,,,,,,,
Botswana,BWA,1969,Botswana,,,,,395911433.0,,,,,,,,,,,,,,314903.0,55265.412250102054,100689.34012641972,15198.47586800399,,,,,,,,,,,,,
Botswana,BWA,1970,Botswana,,,,,463692530.0,,,,,,,,,,,,,,318712.0,57049.50000000014,100828.5,15381.500000000016,,,,,,,,,,,,,
Botswana,BWA,1971,Botswana,,,,,583423075.0,,,,,,,,,,,,,,324983.0,59411.000000000095,101867.0,15515.499999999982,,,,,,,,,,,,,
Botswana,BWA,1972,Botswana,,,,,737224722.0,,,,,,,,,,,,,,335607.0,62802.406434599885,104477.34434570148,15608.476745901076,,,,,,,,,,,,,
Botswana,BWA,1973,Botswana,,,,,894277062.0,,,,,,,,,,,,,,349470.0,67085.00000000006,108193.5,15689.00000000001,,,,,,,,,,,,,
Botswana,BWA,1974,Botswana,,,,,972953726.0,,,,,,,,,,,,,,364705.0,71276.99999999996,112739.99999999994,15780.999999999964,,,,,,,,,,,,,
Botswana,BWA,1975,Botswana,,,,,1055131834.0,,,,,,,,,,,,,,380868.0,75112.69721451314,118052.8099572817,15884.04170484708,,,,,,,,,,,,,
Botswana,BWA,1976,Botswana,,,,,1167475696.0,,,,,,,,,,,,,,398474.0,79095.00000000009,123933.50000000006,16007.000000000004,,,,,,,,,,,,,
Botswana,BWA,1977,Botswana,,,,,1307713344.0,,,,,,,,,,,,,,417429.0,83262.49999999985,130283.00000000004,16162.500000000002,,,,,,,,,,,,,
Botswana,BWA,1978,Botswana,,,,,1495145303.0,,,,,,,,,,,,,,439941.0,88238.10028401569,137927.15675642507,16391.518629223723,,,,,,,,,,,,,
Botswana,BWA,1979,Botswana,,,,,1676784360.0,,,,,,,,,,,,,,463775.0,93371.00000000012,146037.00000000003,16728.000000000015,,,,,,,,,,,,,
Botswana,BWA,1980,Botswana,,,,,1877778848.0,,,,,,,,,,,,,,481256.0,96526.49999999994,151848.5000000001,17102.500000000022,,,,3.1,,,,,,,,,
Botswana,BWA,1981,Botswana,,,,,2047996824.0,,,,,,,,,,,,,,497587.0,99192.90032607346,157367.84186901804,17497.982417162795,,,,3.2,,,,,,,,,
Botswana,BWA,1982,Botswana,,,,,2297146530.0,,,,,,,,,,,,,,516892.0,102594.09924133027,163998.15863870858,17956.517369699468,,,,3.3,,,,,,,,,
Botswana,BWA,1983,Botswana,,,,,2599146160.0,,,,,,,,,,,,,,535620.0,105817.50000000004,170405.00000000003,18492.00000000001,,,,3.4,,,,,,,,,
Botswana,BWA,1984,Botswana,,,,,2821253171.0,,,,,,,,,,,,,,554761.0,109185.00000000026,177020.0000000001,19123.50000000003,,,,3.5,,,,,,,,,
Botswana,BWA,1985,Botswana,,,,,3022275113.0,,,,,,,,,,,,,,574380.0,112754.99999999993,183808.50000000003,19847.500000000015,,,,3.7,,,,,,,,,
Botswana,BWA,1986,Botswana,,,,,3269283371.0,,,,,,,,,,,,,,594259.0,116390.59792918371,190678.66043396931,20683.017402359423,,,,3.9,,,,,,,,,
Botswana,BWA,1987,Botswana,,,,,3657737271.0,,,,,,,,,,,,,,614075.0,120119.50000000028,197573.9999999999,21621.499999999996,,,,4.1,,,,,,,,,
Botswana,BWA,1988,Botswana,,,,,4369166056.0,,,,,,,,,,,,,,632572.0,123819.00000000016,204454.4999999999,22567.99999999999,,,,4.3,,,,,,,,,
Botswana,BWA,1989,Botswana,,,,,4939753185.0,,,,,,,,,,,,,,650259.0,127779.19650507985,211463.32519861351,23439.5360464616,,,,4.5,,,,,,,,,
Botswana,BWA,1990,Botswana,,,,10520.918,5274313873.0,0.59,49.051,,4.509,,,,,,112.98267364502,44.6112785339355,,103.506637573242,668581.0,132434.09904117754,218741.16358613505,24240.018127959167,,,,4.8,27.945875,,59.992165,33.47122378428,91.78032304328,4.31576203683,8.95431683396,3600.75627452423,38.31927879945
Botswana,BWA,1991,Botswana,,,,11001.802,5667709608.0,0.59,49.015,,4.365,,,,,,114.866020202637,55.2370681762695,3.55532002449036,104.056831359863,687535.0,137738.39983171766,226201.83549794884,24979.48183402895,,,,5.0,35.638973,,60.456696,32.68830727459,93.27586248886,4.32353617023,9.08717334522,5200.30641170842,40.05894739372
Botswana,BWA,1992,Botswana,,,,11008.681,5833040675.0,0.589,49.045,,4.255,,,,,,111.540832519531,53.8786201477051,,101.169143676758,707225.0,143179.9999999999,234569.49999999988,25661.000000000044,,,,5.2,42.134377,,60.594868,31.98042142881,94.79734850574,4.33772887358,9.23094979152,7126.294623326219,37.50556724535
Botswana,BWA,1993,Botswana,,,,10902.951,5944807979.0,0.588,49.109,,4.152,,,,,,109.17635345459,57.5072288513184,4.45525979995728,96.1744384765625,727217.0,148752.00000000026,243762.5,26334.499999999985,,,,5.4,47.092594,,60.626144,31.379721482900003,96.29483434577,4.35853061374,9.37939753506,9215.06918431654,56.52151182887
