Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Burundi,BDI,1960,Burundi,,,,,798536036.0,,,,,,,,,,,,,,1427970.0,254075.58896390983,497182.6740872266,50549.51769978283,,,,,,,,,,,,,
Burundi,BDI,1961,Burundi,,,,,688768194.0,,,,,,,,,,,,,,1463122.0,261840.58948009432,507205.173329761,51946.017751772386,,,,,,,,,,,,,
Burundi,BDI,1962,Burundi,,,,,751192343.0,,,,,,,,,,,,,,1499161.0,269362.49999999994,517456.50000000023,53462.49999999989,,,,,,,,,,,,,
Burundi,BDI,1963,Burundi,,,,,782257207.0,,,,,,,,,,,,,,1529752.0,274800.8203625028,524416.657188448,54954.4640762268,,,,,,,,,,,,,
Burundi,BDI,1964,Burundi,,,,,831328498.0,,,,,,,,,,,,,,1572291.0,283249.90992446383,537800.3289755747,56721.981961996265,,,,,,,,,,,,,
Burundi,BDI,1965,Burundi,,,,,864309175.0,,,,,,,,,,,,,,1615096.0,293987.59101241996,551243.1706533763,58363.51806812671,,,,,,,,,,,,,
Burundi,BDI,1966,Burundi,,,,,904179696.0,,,,,,,,,,,,,,1653334.0,306023.9074524855,561881.3300762791,59882.48189038578,,,,,,,,,,,,,
Burundi,BDI,1967,Burundi,,,,,1029151061.0,,,,,,,,,,,,,,1694333.0,318064.4061387553,573668.3307096862,61538.48183990934,,,,,,,,,,,,,
Burundi,BDI,1968,Burundi,,,,,1026085388.0,,,,,,,,,,,,,,1733795.0,328877.0,584412.9999999998,63143.99999999999,,,,,,,,,,,,,
Burundi,BDI,1969,Burundi,,,,,1011109250.0,,,,,,,,,,,,,,1770564.0,338227.9999999998,593377.5000000001,64711.99999999993,,,,,,,,,,,,,
Burundi,BDI,1970,Burundi,,,,,1226735079.0,,,,,,,,,,,,,,1808211.0,347500.9039103,602503.3333979457,66326.9816595017,,,,,,,,,,,,,
Burundi,BDI,1971,Burundi,,,,,1260431391.0,,,,,,,,,,,,,,1851317.0,358267.3064797617,614277.1681944971,68049.96324240354,,,,,,,,,,,,,
Burundi,BDI,1972,Burundi,,,,,1179713806.0,,,,,,,,,,,,,,1852910.0,357751.1930753213,604737.8263719375,68427.03692949844,,,,,,,,,,,,,
Burundi,BDI,1973,Burundi,,,,,1260984889.0,,,,,,,,,,,,,,1852379.0,358274.59670661204,594533.1604782714,68680.51853846284,,,,,,,,,,,,,
Burundi,BDI,1974,Burundi,,,,,1251819552.0,,,,,,,,,,,,,,1898109.0,373029.90173643857,606782.8401612237,70365.48146432008,,,,,,,,,,,,,
Burundi,BDI,1975,Burundi,,,,,1260556254.0,,,,,,,,,,,,,,1944124.0,384060.5987747176,620264.1595227873,72094.51854164616,,,,,,,,,,,,,
Burundi,BDI,1976,Burundi,,,,,1360677964.0,,,,,,,,,,,,,,1986677.0,390220.999999999,634219.5000000002,73691.49999999996,,,,,,,,,,,,,
Burundi,BDI,1977,Burundi,,,,,1516740284.0,,,,,,,,,,,,,,2036657.0,398979.8041006398,651407.6801583769,75380.96298789479,,,,,,,,,,,,,
Burundi,BDI,1978,Burundi,,,,,1502474189.0,,,,,,,,,,,,,,2094494.0,409911.0978544463,671963.6604119326,77171.01842235375,,,,,,,,,,,,,
Burundi,BDI,1979,Burundi,,,,,1527489707.0,,,,,,,,,,,,,,2145600.0,417493.5972906397,687462.1602027778,78793.01836153472,,,,,,,,,,,,,
Burundi,BDI,1980,Burundi,,,,,1542627981.0,,,,,,,,,,,,,,2235191.0,437015.0977578862,722981.6617270431,81201.51816433543,,,,1.3,,,,,,,,,
Burundi,BDI,1981,Burundi,,,,,1730262074.0,,,,,,,,,,,,,,2325904.0,454873.5977842588,757637.6628695044,83524.51795528062,,,,1.3,,,,,,,,,
Burundi,BDI,1982,Burundi,,,,,1712032036.0,,,,,,,,,,,,,,2383244.0,460371.40341496735,772528.3379250433,85077.48215090808,,,,1.4,,,,,,,,,
Burundi,BDI,1983,Burundi,,,,,1775639624.0,,,,,,,,,,,,,,2446484.0,468150.5956782448,789844.1614243467,86737.51772697427,,,,1.4,,,,,,,,,
Burundi,BDI,1984,Burundi,,,,,1778401525.0,,,,,,,,,,,,,,2505186.0,474815.9999999989,803753.0,88234.0,,,,1.5,,,,,,,,,
Burundi,BDI,1985,Burundi,,,,,1987953781.0,,,,,,,,,,,,,,2558760.0,480506.5000000014,814014.0000000001,89520.99999999996,,,,1.5,,,,,,,,,
Burundi,BDI,1986,Burundi,,,,,2052565867.0,,,,,,,,,,,,,,2606297.0,485382.0,820069.0000000001,90517.49999999996,,,,1.6,,,,,,,,,
Burundi,BDI,1987,Burundi,,,,,2165520539.0,,,,,,,,,,,,,,2665468.0,495191.0928900843,831921.1560553636,91561.51717550468,,,,1.6,,,,,,,,,
Burundi,BDI,1988,Burundi,,,,,2274468405.0,,,,,,,,,,,,,,2725043.0,504889.99999999895,843999.5000000006,92202.5,,,,1.7,,,,,,,,,
Burundi,BDI,1989,Burundi,,,,,2305162407.0,,,,,,,,,,,,,,2779079.0,512944.0000000005,852469.9999999999,92437.00000000006,,,,1.8,,,,,,,,,
Burundi,BDI,1990,Burundi,,,,1396.0776,2385838991.0,0.294,90.451,,7.365,,,,,,55.8683891296387,3.53128004074097,0.402640014886856,30.8428592681885,2836917.0,523500.315468582,862768.6958780617,92651.46734079014,,,,1.9,9.290403,,50.24918,21.9932103096,44.16721415835,3.76884453598,7.4105426347,3062.50975638309,45668.35387298126
Burundi,BDI,1991,Burundi,,,,1435.8196,2505055464.0,0.296,89.953,,7.336,,,,,,58.2408218383789,3.82806992530823,0.401919990777969,38.6680603027344,2895539.0,535611.9075108451,874039.3490713905,92676.98399659208,,,,1.9,8.034626,,50.862278,22.19447181007,43.86759708191,3.7414452433,7.40257875734,3618.199157954101,45732.20065030529
Burundi,BDI,1992,Burundi,,,,1412.0605,2530356483.0,0.294,89.435,,7.301,,,,,,55.177619934082,4.1850700378418,0.415190011262894,38.3656387329102,2972997.0,554682.6865735791,896178.3014393564,92938.03126072144,,,,2.0,6.9037294,,51.364407,22.37092677629,43.56736823285,3.71511142482,7.38703705733,4059.4967357240303,45748.33900293468
Burundi,BDI,1993,Burundi,,,,1366.2921,2372462238.0,0.265,88.762,,7.272,,,,,,55.1219711303711,4.72990989685059,0.437889993190765,41.8684616088867,2883393.0,522662.4093667764,827264.856546635,89727.4844406426,,,,2.1,3.9257925,,51.950134,22.54016843705,43.13536293106,3.682461386339999,7.34759018519,4353.94796254697,45736.40550905852
Burundi,BDI,1994,Burundi,,,,1305.452,2281596935.0,0.298,88.078,,7.23,,,,,,,,,,2902820.0,535036.0000000007,821156.5000000006,89144.99999999991,,,,2.2,7.69002,,52.33247,22.4596896957,43.83882001064,3.71630999016,7.439094603629999,4455.24465066375,45659.8332194801
Burundi,BDI,1995,Burundi,,,,1132.2188,2100894457.0,0.294,87.479,,7.184,,,,,,42.6366806030273,,,,3079085.0,598495.0000000001,901415.4999999997,91721.99999999988,,,,2.3,1.6393626,,52.76662,22.50062739629,43.83129926932,3.70814206162,7.432074696200001,4442.8235112599195,45566.49778220805
Burundi,BDI,1996,Burundi,,,,1040.9224,1932822901.0,0.292,86.708,,7.123,,,,,,34.8269081115723,,,,3081768.0,603212.0000000009,884210.5,90480.5,,,,2.3,3.385162,,53.183495,22.69978293089,42.70220362445,3.63971344189,7.28153066989,4351.18833001893,45457.78517472623
Burundi,BDI,1997,Burundi,,,,1024.45,1902091017.0,0.297,85.85,,7.04,,,,,,36.5058517456055,,,,3082085.0,612193.099314766,866761.1406127899,89676.51454802735,,,,2.4,3.2225997,,53.56235,22.62002535415,42.783565268299995,3.643063174929999,7.27309090175,4165.87754236872,45209.45641403763
Burundi,BDI,1998,Burundi,,,,1052.807,1992440340.0,0.303,84.972,,6.958,,,,,,43.2491989135742,,0.502300024032593,,3141025.0,643393.0000000005,881134.0000000003,90500.99999999993,,,,2.5,2.621929,,53.914425,22.54633308032,42.82281250305,3.64405411398,7.25010974594,3940.04106675492,44813.10429576844
Burundi,BDI,1999,Burundi,,,,1017.4978,1972316693.0,0.306,84.182,,6.897,,,,,,50.5976715087891,,0.541279971599579,,3216336.0,679693.3943373165,903478.3595485112,91816.9857264624,,,,2.6,1.876193,,54.242264,22.56736057564,42.46028236882,3.62081857913,7.16857343356,3697.6462624016904,44275.76463021029
Burundi,BDI,2000,Burundi,42.7,67.7,0.0,988.03687,1955416620.0,0.308,83.348,32.9,6.872,78.0,,3.4779956,15.638537,,52.7120094299316,,0.564400017261505,22.4138908386231,3283391.0,709984.7162352024,921665.7807054596,93023.52833154151,,,,2.7,1.64576,416.86,54.580097,22.60003506029,42.14311061379,3.5964294823899996,7.082766157119999,3450.03338377969,43533.47009634589
Burundi,BDI,2001,Burundi,42.1,65.8,0.0,983.39685,1995616214.0,0.311,82.48,31.9,6.849,,,3.3851821,15.599527,,55.0667991638184,,0.559589982032776,22.6525497436523,3366411.0,742263.4999999985,948701.4999999992,94681.50000000016,,,,2.8,1.5262012,403.0,54.893967,22.59299699524,41.97826104999,3.58032353772,6.98127921664,3198.85648536562,41503.59293644778
Burundi,BDI,2002,Burundi,41.4,63.8,0.0,998.5613,2084351676.0,0.324,81.561,31.0,6.819,,,3.2702255,15.56617,,60.4066314697266,,0.970860004425049,22.8119697570801,3461939.0,774662.5000000006,981898.4999999997,96760.49999999996,,,,2.9,1.2463418,378.97,55.1622,22.58299604794,41.82890187954,3.56097352132,6.831646761189999,2947.0996443473,37547.61414368431
