Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Cameroon,CMR,1960,Cameroon,,,,,4827329401.0,,,,,,,,,,,,,,2637490.0,480063.4089923735,1021599.8063310564,111710.47882257786,,,,,,,,,,,,,
Cameroon,CMR,1961,Cameroon,,,,,4884469573.0,,,,,,,,,,,,,,2690457.0,487170.0905366803,1039673.6932150736,114698.52131580636,,,,,,,,,,,,,
Cameroon,CMR,1962,Cameroon,,,,,5033033599.0,,,,,,,,,,,,,,2746105.0,493721.9101050562,1058966.3071875786,117757.9785590904,,,,,,,,,,,,,
Cameroon,CMR,1963,Cameroon,,,,,5221397415.0,,,,,,,,,,,,,,2804359.0,499165.49999999994,1079331.4999999998,120897.00000000006,,,,,,,,,,,,,
Cameroon,CMR,1964,Cameroon,,,,,5406608719.0,,,,,,,,,,,,,,2864459.0,504319.08803042554,1099787.191971188,124089.52166020214,,,,,,,,,,,,,
Cameroon,CMR,1965,Cameroon,,,,,5516149516.0,,,,,,,,,,,,,,2926955.0,511194.08732523874,1120264.69137033,127337.02175247329,,,,,,,,,,,,,
Cameroon,CMR,1966,Cameroon,,,,,5770717368.0,,,,,,,,,,,,,,2992532.0,519928.99999999994,1141001.5,130654.5,,,,,,,,,,,,,
Cameroon,CMR,1967,Cameroon,,,,,5141012904.0,,,,,,,,,,,,,,3061784.0,529870.9134702327,1162217.3102058617,134059.9781075383,,,,,,,,,,,,,
Cameroon,CMR,1968,Cameroon,,,,,5467278232.0,,,,,,,,,,,,,,3135230.0,541024.4999999997,1184039.9999999998,137564.00000000012,,,,,,,,,,,,,
Cameroon,CMR,1969,Cameroon,,,,,5735255755.0,,,,,,,,,,,,,,3213079.0,553312.3277937367,1206494.1245053024,141164.45606567542,,,,,,,,,,,,,
Cameroon,CMR,1970,Cameroon,,,,,5912593777.0,,,,,,,,,,,,,,3295233.0,566777.5,1229629.5000000002,144869.99999999997,,,,,,,,,,,,,
Cameroon,CMR,1971,Cameroon,,,,,6118334765.0,,,,,,,,,,,,,,3381523.0,581558.5000000002,1253256.5000000002,148700.00000000006,,,,,,,,,,,,,
Cameroon,CMR,1972,Cameroon,,,,,6281929448.0,,,,,,,,,,,,,,3471768.0,598117.0000000001,1276795.9999999998,152633.99999999997,,,,,,,,,,,,,
Cameroon,CMR,1973,Cameroon,,,,,6618369536.0,,,,,,,,,,,,,,3565814.0,617223.4999999999,1299565.9999999998,156654.00000000003,,,,,,,,,,,,,
Cameroon,CMR,1974,Cameroon,,,,,7328802680.0,,,,,,,,,,,,,,3663559.0,638321.912882267,1322040.819568783,160734.9780630012,,,,,,,,,,,,,
Cameroon,CMR,1975,Cameroon,,,,,8152930849.0,,,,,,,,,,,,,,3764626.0,659493.5000000001,1345915.0000000002,164818.5000000001,,,,,,,,,,,,,
Cameroon,CMR,1976,Cameroon,,,,,7704916015.0,,,,,,,,,,,,,,3864372.0,678904.5878415154,1368762.1771002086,168794.02183977407,,,,,,,,,,,,,
Cameroon,CMR,1977,Cameroon,,,,,8763561576.0,,,,,,,,,,,,,,3963031.0,697139.9999999999,1389815.5,172666.99999999985,,,,,,,,,,,,,
Cameroon,CMR,1978,Cameroon,,,,,10691808462.0,,,,,,,,,,,,,,4070188.0,717320.0000000001,1414413.0,176651.49999999988,,,,,,,,,,,,,
Cameroon,CMR,1979,Cameroon,,,,,11337071801.0,,,,,,,,,,,,,,4183563.0,738566.4117299762,1441366.327734598,180697.97840381783,,,,,,,,,,,,,
Cameroon,CMR,1980,Cameroon,,,,,11114265274.0,,,,,,,,,,,,,,4319373.0,766118.0886839465,1479601.6712750522,185123.5214294437,,,,3.0,,,,,,,,,
Cameroon,CMR,1981,Cameroon,,,,,13012879895.0,,,,,,,,,,,,,,4471019.0,797394.0891736415,1525360.6705831122,189774.0212226812,,,,3.1,,,,,,,,,
Cameroon,CMR,1982,Cameroon,,,,,13990954313.0,,,,,,,,,,,,,,4576893.0,812890.0888037028,1544415.1687187322,193422.52113033057,,,,3.2,,,,,,,,,
Cameroon,CMR,1983,Cameroon,,,,,14951689440.0,,,,,,,,,,,,,,4670012.0,825973.4115662433,1555262.3334841176,196936.97891472443,,,,3.2,,,,,,,,,
Cameroon,CMR,1984,Cameroon,,,,,16069264314.0,,,,,,,,,,,,,,4799647.0,853260.4111121702,1585142.83486881,201431.97901595893,,,,3.3,,,,,,,,,
Cameroon,CMR,1985,Cameroon,,,,,17364955075.0,,,,,,,,,,,,,,4942728.0,885660.5,1620883.5000000007,206254.50000000015,,,,3.4,,,,,,,,,
Cameroon,CMR,1986,Cameroon,,,,,18540851327.0,,,,,,,,,,,,,,5091574.0,919968.500000001,1658049.5000000002,211062.49999999985,,,,3.4,,,,,,,,,
Cameroon,CMR,1987,Cameroon,,,,,18142844102.0,,,,,,,,,,,,,,5246245.0,956060.4088814555,1696740.3382900208,215920.4794214265,,,,3.5,,,,,,,,,
Cameroon,CMR,1988,Cameroon,,,,,16723414750.0,,,,,,,,,,,,,,5402832.0,992855.0000000014,1735390.9999999998,220805.9999999999,,,,3.6,,,,,,,,,
Cameroon,CMR,1989,Cameroon,,,,,16419195682.0,,,,,,,,,,,,,,5561241.0,1030743.500000001,1774475.4999999993,225682.5000000004,,,,3.7,,,,,,,,,
