Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Central African Republic,CAF,1960,Central African Republic,,,,,980371513.0,,,,,,,,,,,,,,860519.0,146905.0853584205,330609.19209871715,40223.02337137439,,,,,,,,,,,,,
Central African Republic,CAF,1961,Central African Republic,,,,,1028934744.0,,,,,,,,,,,,,,876548.0,149448.49999999997,334898.49999999994,40600.99999999995,,,,,,,,,,,,,
Central African Republic,CAF,1962,Central African Republic,,,,,990722163.0,,,,,,,,,,,,,,893217.0,152014.914905944,339284.31007733283,41105.476990206735,,,,,,,,,,,,,
Central African Republic,CAF,1963,Central African Republic,,,,,983717651.0,,,,,,,,,,,,,,910586.0,154475.0,343784.5,41701.49999999993,,,,,,,,,,,,,
Central African Republic,CAF,1964,Central African Republic,,,,,1004182171.0,,,,,,,,,,,,,,928727.0,157700.4150986161,348425.3124177975,42322.97721452203,,,,,,,,,,,,,
Central African Republic,CAF,1965,Central African Republic,,,,,1013697588.0,,,,,,,,,,,,,,947733.0,162609.50000000003,353234.50000000006,42942.50000000005,,,,,,,,,,,,,
Central African Republic,CAF,1966,Central African Republic,,,,,1020233745.0,,,,,,,,,,,,,,967697.0,168437.49999999997,358236.5,43564.50000000003,,,,,,,,,,,,,
Central African Republic,CAF,1967,Central African Republic,,,,,1067946130.0,,,,,,,,,,,,,,988713.0,174405.17639615995,363496.3676459879,44188.04469248878,,,,,,,,,,,,,
Central African Republic,CAF,1968,Central African Republic,,,,,1082941302.0,,,,,,,,,,,,,,1010865.0,180449.4999999999,369068.99999999977,44833.999999999935,,,,,,,,,,,,,
Central African Republic,CAF,1969,Central African Republic,,,,,1159738545.0,,,,,,,,,,,,,,1033887.0,186498.31961440697,374881.6374055989,45529.955962347936,,,,,,,,,,,,,
Central African Republic,CAF,1970,Central African Republic,,,,,1186793864.0,,,,,,,,,,,,,,1056701.0,192284.09098320667,380434.68001056113,46272.02189456709,,,,,,,,,,,,,
Central African Republic,CAF,1971,Central African Republic,,,,,1200207036.0,,,,,,,,,,,,,,1078491.0,197666.0916401212,385254.67860820296,47041.52180895432,,,,,,,,,,,,,
Central African Republic,CAF,1972,Central African Republic,,,,,1200196629.0,,,,,,,,,,,,,,1099476.0,202928.0922840031,389347.6770605621,47850.02176037575,,,,,,,,,,,,,
Central African Republic,CAF,1973,Central African Republic,,,,,1222867622.0,,,,,,,,,,,,,,1120430.0,208531.40694134947,393002.32461986714,48708.97826326575,,,,,,,,,,,,,
Central African Republic,CAF,1974,Central African Republic,,,,,1300385612.0,,,,,,,,,,,,,,1141938.0,213939.00000000052,397317.9999999998,49614.99999999999,,,,,,,,,,,,,
Central African Republic,CAF,1975,Central African Republic,,,,,1305652006.0,,,,,,,,,,,,,,1164087.0,218332.40622161172,403176.82682702073,50559.47828363417,,,,,,,,,,,,,
Central African Republic,CAF,1976,Central African Republic,,,,,1376581799.0,,,,,,,,,,,,,,1180450.0,222763.4999999999,406714.50000000006,51307.00000000002,,,,,,,,,,,,,
Central African Republic,CAF,1977,Central African Republic,,,,,1428977736.0,,,,,,,,,,,,,,1190808.0,227740.99999999985,407181.0,51767.99999999999,,,,,,,,,,,,,
Central African Republic,CAF,1978,Central African Republic,,,,,1446257441.0,,,,,,,,,,,,,,1201440.0,232709.00000000015,407725.49999999994,52064.00000000001,,,,,,,,,,,,,
