Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Chad,TCD,1960,Chad,,,,,2436524901.0,,,,,,,,,,,,,,1544018.0,263047.08518264856,590874.1913430388,67272.52178488906,,,,,,,,,,,,,
Chad,TCD,1961,Chad,,,,,2470581273.0,,,,,,,,,,,,,,1575059.0,267513.00000000006,599316.4999999999,68671.49999999994,,,,,,,,,,,,,
Chad,TCD,1962,Chad,,,,,2603007298.0,,,,,,,,,,,,,,1606914.0,271942.4153836437,607705.8109090435,70316.47812064685,,,,,,,,,,,,,
Chad,TCD,1963,Chad,,,,,2561373393.0,,,,,,,,,,,,,,1639640.0,276465.1686133352,616108.8757586277,72102.54397461883,,,,,,,,,,,,,
Chad,TCD,1964,Chad,,,,,2497058854.0,,,,,,,,,,,,,,1673044.0,282856.9154663849,624473.8133719695,73845.97793065282,,,,,,,,,,,,,
Chad,TCD,1965,Chad,,,,,2512196719.0,,,,,,,,,,,,,,1706698.0,291460.8292253058,632597.1293444246,75434.95580064208,,,,,,,,,,,,,
Chad,TCD,1966,Chad,,,,,2466799003.0,,,,,,,,,,,,,,1740767.0,300632.91364929546,640453.8160426364,76926.97790428645,,,,,,,,,,,,,
Chad,TCD,1967,Chad,,,,,2485724319.0,,,,,,,,,,,,,,1775590.0,309932.0,648180.4999999993,78345.99999999999,,,,,,,,,,,,,
Chad,TCD,1968,Chad,,,,,2474359119.0,,,,,,,,,,,,,,1811468.0,319414.9118353426,655948.8189455132,79723.47799478713,,,,,,,,,,,,,
Chad,TCD,1969,Chad,,,,,2644627446.0,,,,,,,,,,,,,,1848925.0,329146.00000000047,663866.0,81161.50000000001,,,,,,,,,,,,,
Chad,TCD,1970,Chad,,,,,2693808431.0,,,,,,,,,,,,,,1888292.0,339185.50000000047,671941.9999999999,82706.50000000006,,,,,,,,,,,,,
Chad,TCD,1971,Chad,,,,,2633261683.0,,,,,,,,,,,,,,1929069.0,349548.9093995842,679948.8237624407,84283.478154364,,,,,,,,,,,,,
Chad,TCD,1972,Chad,,,,,2663534083.0,,,,,,,,,,,,,,1973022.0,360450.0913446721,687882.6743220995,85922.02177421788,,,,,,,,,,,,,
Chad,TCD,1973,Chad,,,,,2440306407.0,,,,,,,,,,,,,,2020039.0,371779.0920227511,695938.1722585984,87621.021687953,,,,,,,,,,,,,
Chad,TCD,1974,Chad,,,,,2561390814.0,,,,,,,,,,,,,,2066725.0,381453.5,705024.9999999997,89260.99999999994,,,,,,,,,,,,,
Chad,TCD,1975,Chad,,,,,2792178973.0,,,,,,,,,,,,,,2111730.0,388682.0000000002,714747.0000000005,90833.5,,,,,,,,,,,,,
Chad,TCD,1976,Chad,,,,,2875407274.0,,,,,,,,,,,,,,2154629.0,394901.49999999994,723253.0000000003,92357.99999999996,,,,,,,,,,,,,
Chad,TCD,1977,Chad,,,,,2939661840.0,,,,,,,,,,,,,,2195890.0,400842.5,730399.4999999997,93846.00000000004,,,,,,,,,,,,,
Chad,TCD,1978,Chad,,,,,2925856183.0,,,,,,,,,,,,,,2236893.0,407130.5000000002,737033.5,95328.5000000002,,,,,,,,,,,,,
Chad,TCD,1979,Chad,,,,,2298520793.0,,,,,,,,,,,,,,2285141.0,416150.0000000002,747210.0000000005,96973.00000000012,,,,,,,,,,,,,
Chad,TCD,1980,Chad,,,,,2159513823.0,,,,,,,,,,,,,,2291483.0,412109.0,733474.0,97815.50000000007,,,,2.6,,,,,,,,,
Chad,TCD,1981,Chad,,,,,2182035784.0,,,,,,,,,,,,,,2295549.0,409991.32139726856,718224.6871229116,98690.4570079064,,,,2.7,,,,,,,,,
Chad,TCD,1982,Chad,,,,,2298700705.0,,,,,,,,,,,,,,2405538.0,443663.4077829136,761292.8417624577,101764.97884777145,,,,2.7,,,,,,,,,
