Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Congo,COG,1960,Congo,,,,,1260529281.0,,,,,,,,,,,,,,533313.0,94456.08855595932,192756.6807162781,20710.019416383453,,,,,,,,,,,,,
Congo,COG,1961,Congo,,,,,1365792636.0,,,,,,,,,,,,,,547213.0,96639.8233963313,196653.14062779828,21290.961092004236,,,,,,,,,,,,,
Congo,COG,1962,Congo,,,,,1436845387.0,,,,,,,,,,,,,,561678.0,98842.58798865898,200681.1786443288,21897.519492947496,,,,,,,,,,,,,
Congo,COG,1963,Congo,,,,,1378950570.0,,,,,,,,,,,,,,576789.0,101366.99999999996,204831.99999999997,22521.99999999998,,,,,,,,,,,,,
Congo,COG,1964,Congo,,,,,1431582304.0,,,,,,,,,,,,,,592632.0,104285.0,209094.00000000003,23157.999999999996,,,,,,,,,,,,,
Congo,COG,1965,Congo,,,,,1484213965.0,,,,,,,,,,,,,,609231.0,107614.823359574,213466.149613776,23804.960926215263,,,,,,,,,,,,,
Congo,COG,1966,Congo,,,,,1504384173.0,,,,,,,,,,,,,,626627.0,111406.32221270038,217973.65214768573,24462.960960889097,,,,,,,,,,,,,
Congo,COG,1967,Congo,,,,,1536221035.0,,,,,,,,,,,,,,644769.0,115392.91051608362,222628.8273576836,25126.980514742067,,,,,,,,,,,,,
Congo,COG,1968,Congo,,,,,1653455074.0,,,,,,,,,,,,,,663748.0,119566.00000000004,227469.00000000003,25803.000000000004,,,,,,,,,,,,,
Congo,COG,1969,Congo,,,,,1778266546.0,,,,,,,,,,,,,,683655.0,123914.9093732152,232522.32994176177,26501.48061779659,,,,,,,,,,,,,
