Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Cote d'Ivoire,CIV,1960,Cote d'Ivoire,,,,,5492745889.0,,,,,,,,,,,,,,1817920.0,333297.40833001223,633473.8257696086,46922.98709432013,,,,,,,,,,,,,
Cote d'Ivoire,CIV,1961,Cote d'Ivoire,,,,,6038315904.0,,,,,,,,,,,,,,1883348.0,341966.00000000006,656063.5000000001,48669.49999999997,,,,,,,,,,,,,
Cote d'Ivoire,CIV,1962,Cote d'Ivoire,,,,,6112405708.0,,,,,,,,,,,,,,1953372.0,350447.91029667936,680122.8259105723,50504.987072358206,,,,,,,,,,,,,
Cote d'Ivoire,CIV,1963,Cote d'Ivoire,,,,,6998115047.0,,,,,,,,,,,,,,2027386.0,357889.58826380066,705181.6739140138,52417.012927240605,,,,,,,,,,,,,
Cote d'Ivoire,CIV,1964,Cote d'Ivoire,,,,,8230699197.0,,,,,,,,,,,,,,2104820.0,366119.91302821296,730761.826407525,54396.48707811435,,,,,,,,,,,,,
Cote d'Ivoire,CIV,1965,Cote d'Ivoire,,,,,7974752907.0,,,,,,,,,,,,,,2185588.0,376993.49999999977,756716.5000000003,56445.50000000007,,,,,,,,,,,,,
Cote d'Ivoire,CIV,1966,Cote d'Ivoire,,,,,8898018736.0,,,,,,,,,,,,,,2269787.0,389495.0,783114.4999999995,58575.99999999993,,,,,,,,,,,,,
Cote d'Ivoire,CIV,1967,Cote d'Ivoire,,,,,9307163143.0,,,,,,,,,,,,,,2357570.0,403068.0854838003,810004.1717879367,60787.01289187872,,,,,,,,,,,,,
Cote d'Ivoire,CIV,1968,Cote d'Ivoire,,,,,10475049116.0,,,,,,,,,,,,,,2449308.0,417691.0000000002,837610.0000000003,63085.49999999994,,,,,,,,,,,,,
Cote d'Ivoire,CIV,1969,Cote d'Ivoire,,,,,11474286967.0,,,,,,,,,,,,,,2546411.0,433691.5000000002,866745.9999999999,65507.00000000001,,,,,,,,,,,,,
