Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Democratic Republic of Congo,COD,1960,Democratic Republic of Congo,,,,,19168015351.0,,,,,,,,,,,,,,7969250.0,1532682.9038376946,2866435.32015652,278174.98254697886,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1961,Democratic Republic of Congo,,,,,17088021918.0,,,,,,,,,,,,,,8164625.0,1575188.500000001,2940773.5,282678.5000000002,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1962,Democratic Republic of Congo,,,,,20710801756.0,,,,,,,,,,,,,,8368696.0,1617556.096643255,3019135.180382654,287287.51716441347,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1963,Democratic Republic of Congo,,,,,21790660916.0,,,,,,,,,,,,,,8581985.0,1656051.692968379,3101148.861355661,292263.53405547026,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1964,Democratic Republic of Congo,,,,,21258920074.0,,,,,,,,,,,,,,8804445.0,1690259.500000002,3186213.0000000005,297590.49999999977,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1965,Democratic Republic of Congo,,,,,21470945657.0,,,,,,,,,,,,,,9040075.0,1722208.0000000014,3275997.5,303498.9999999997,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1966,Democratic Republic of Congo,,,,,22925706424.0,,,,,,,,,,,,,,9289332.0,1752805.688690175,3370143.362797168,310337.53340794955,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1967,Democratic Republic of Congo,,,,,22699718872.0,,,,,,,,,,,,,,9550513.0,1784204.9999999993,3468208.4999999986,317937.50000000006,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1968,Democratic Republic of Congo,,,,,23683229243.0,,,,,,,,,,,,,,9821104.0,1816303.4999999993,3569839.4999999986,325939.9999999998,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1969,Democratic Republic of Congo,,,,,25892599199.0,,,,,,,,,,,,,,10095930.0,1847475.091496033,3672391.1818748326,334138.0165481547,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1970,Democratic Republic of Congo,,,,,25829147683.0,,,,,,,,,,,,,,10375313.0,1877760.090491732,3775583.6819503526,342600.0165103463,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1971,Democratic Republic of Congo,,,,,27380192668.0,,,,,,,,,,,,,,10650430.0,1905352.1788990856,3874021.3637431897,351145.5329700807,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1972,Democratic Republic of Congo,,,,,27421573863.0,,,,,,,,,,,,,,10924040.0,1933431.9115056377,3968376.318364987,359749.48353404575,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1973,Democratic Republic of Congo,,,,,29652942980.0,,,,,,,,,,,,,,11207997.0,1969953.0878815856,4061874.68120431,368729.0164493714,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1974,Democratic Republic of Congo,,,,,30581253826.0,,,,,,,,,,,,,,11499320.0,2014798.9123948675,4151829.3194750063,378093.9835601593,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1975,Democratic Republic of Congo,,,,,29057808604.0,,,,,,,,,,,,,,11796008.0,2066791.587605552,4237990.679636649,387821.5164386762,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1976,Democratic Republic of Congo,,,,,27515128940.0,,,,,,,,,,,,,,12092784.0,2122843.087773133,4319446.678596039,397749.5164457376,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1977,Democratic Republic of Congo,,,,,27724462281.0,,,,,,,,,,,,,,12390224.0,2180943.0000000005,4399108.000000001,407860.99999999977,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1978,Democratic Republic of Congo,,,,,26242508947.0,,,,,,,,,,,,,,12767261.0,2266366.4999999995,4521259.999999997,419655.49999999953,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1979,Democratic Republic of Congo,,,,,26355374898.0,,,,,,,,,,,,,,13209323.0,2370312.0,4676838.500000002,432769.5000000003,,,,,,,,,,,,,
Democratic Republic of Congo,COD,1980,Democratic Republic of Congo,,,,,26933852428.0,,,,,,,,,,,,,,13615568.0,2458349.4999999995,4808950.999999999,445133.4999999998,,,,2.5,,,,,,,,,
Democratic Republic of Congo,COD,1981,Democratic Republic of Congo,,,,,27566939113.0,,,,,,,,,,,,,,14004017.0,2539184.0000000005,4928172.999999999,457148.5000000007,,,,2.5,,,,,,,,,
Democratic Republic of Congo,COD,1982,Democratic Republic of Congo,,,,,27440771406.0,,,,,,,,,,,,,,14416653.0,2626807.591103239,5057800.1754152,469829.0162946637,,,,2.6,,,,,,,,,
Democratic Republic of Congo,COD,1983,Democratic Republic of Congo,,,,,27828153788.0,,,,,,,,,,,,,,14866940.0,2723766.1832096037,5205056.350109464,483429.53251708386,,,,2.6,,,,,,,,,
Democratic Republic of Congo,COD,1984,Democratic Republic of Congo,,,,,29370132388.0,,,,,,,,,,,,,,15357770.0,2829429.9999999977,5370801.999999999,497961.0000000005,,,,2.7,,,,,,,,,
Democratic Republic of Congo,COD,1985,Democratic Republic of Congo,,,,,29507540832.0,,,,,,,,,,,,,,15860990.0,2933169.000000002,5539244.499999997,512668.0000000003,,,,2.8,,,,,,,,,
Democratic Republic of Congo,COD,1986,Democratic Republic of Congo,,,,,30899473396.0,,,,,,,,,,,,,,16354238.0,3027482.4074404403,5697910.325797131,527225.4838810737,,,,2.9,,,,,,,,,
Democratic Republic of Congo,COD,1987,Democratic Republic of Congo,,,,,31726232824.0,,,,,,,,,,,,,,16864387.0,3121833.5,5861667.0,542583.4999999997,,,,2.9,,,,,,,,,
Democratic Republic of Congo,COD,1988,Democratic Republic of Congo,,,,,31875467102.0,,,,,,,,,,,,,,17400225.0,3218972.4999999995,6035987.999999996,559098.5000000003,,,,3.0,,,,,,,,,
Democratic Republic of Congo,COD,1989,Democratic Republic of Congo,,,,,31471907548.0,,,,,,,,,,,,,,17947141.0,3314189.907668026,6213683.826889316,576616.4839357001,,,,3.1,,,,,,,,,
Democratic Republic of Congo,COD,1990,Democratic Republic of Congo,,,,2172.0017,29404734879.0,0.388,71.701,,6.649,,,,,,49.1480712890625,,,,18541631.0,3419068.0000000005,6414893.999999996,595882.5000000003,,,,3.2,3.4155114,,53.6352,,,,,,
Democratic Republic of Congo,COD,1991,Democratic Republic of Congo,,,,1923.97,26928547011.0,0.389,71.687,,6.645,,,,,,64.9400100708008,,,37.696361541748,19159460.0,3523651.5,6624885.999999999,616307.5000000005,,,,3.3,3.2385619,,54.306118,,,,,,
Democratic Republic of Congo,COD,1992,Democratic Republic of Congo,,,,1664.7537,24101047269.0,0.387,71.672,,6.639,,,,,,63.8974609375,14.490400314331,,34.9026908874512,19809077.0,3630516.500000002,6847870.500000003,638105.5,,,,3.4,3.1218693,,54.883408,,,,,,
Democratic Republic of Congo,COD,1993,Democratic Republic of Congo,,,,1389.9509,20854865032.0,0.385,71.668,,6.641,,,,,,65.6687774658203,15.2981195449829,,43.9089698791504,20522885.0,3749353.40865433,7100506.327010036,661936.4838732112,,,,3.5,2.9594815,,55.404198,,,,,,
Democratic Republic of Congo,COD,1994,Democratic Republic of Congo,,,,1273.9946,20041525962.0,0.382,71.775,,6.643,,,,,,62.610179901123,15.686710357666,,36.3266296386719,21509417.0,3948088.0917758066,7497898.174293386,691732.5160797593,,,,3.6,2.6196365,,55.864944,,,,,,
Democratic Republic of Congo,COD,1995,Democratic Republic of Congo,,,,1230.7449,20181816409.0,0.385,71.803,,6.676,,,,,,62.7813186645508,20.6602993011475,,,22415093.0,4105291.9084257223,7841808.325077501,719587.4839485951,,,,3.7,2.4437058,,56.265324,,,,,,
Democratic Republic of Congo,COD,1996,Democratic Republic of Congo,,,,1194.9591,19975321585.0,0.386,71.604,,6.672,,,,,,,,,,22853524.0,4105574.5898236646,7918718.17324939,737481.0161349527,,,,3.8,2.3665771,,56.632603,,,,,,
