Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Djibouti,DJI,1990,,,,,,,,16.026,,5.931,,,,,,,,,,291702.0,57754.302009235456,98756.66144674552,9557.4672355101,,,,6.6,2.995058,,32.8125,21.79920358626,44.22211274396,4.33372853853,9.20763721807,14.94896399319,1261.10105756181
Djibouti,DJI,1991,,,,,,,,16.058,,5.856,,,,,,,,0.0,,317642.0,63165.49999999993,107861.00000000007,10484.000000000016,,,,6.8,3.893655,,34.519573,22.0566648403,42.68309214419,4.2137820246099995,8.88689071098,43.77245428619,1283.0814962424
Djibouti,DJI,1992,,,,,,,,16.097,,5.751,,,,,,,,0.0517200008034706,,315181.0,62913.999999999905,107437.0,10490.000000000004,,,,6.9,5.5501614,,36.195965,22.20171763011,41.69152640216,4.1355175519500005,8.67045684117,100.033427979,1114.85542426469
Djibouti,DJI,1993,,,,,,,,16.14,,5.638,,,,,,,,0.117760002613068,,309317.0,61935.99999999989,105955.00000000007,10386.000000000007,,,,7.1,5.1526875,,37.572464,21.98911300628,42.73941609352,4.19101310221,8.77172090597,202.13977062422,629.56213126891
Djibouti,DJI,1994,,,,,,,,16.178,,5.507,,,,,,,,0.125799998641014,,315535.0,63304.49999999981,108673.49999999994,10679.999999999993,,,,7.2,5.260226,,38.75222,21.75315363765,44.05351741434,4.267572921039999,8.91989271282,375.86562976024,780.50914545538
Djibouti,DJI,1995,Djibouti,,,,,,0.318,16.221,,5.331,,,,,,,,,,318673.0,64013.60043775334,110467.1733237101,10880.01707081722,,,,7.3,5.3734083,,39.739777,21.66132825363,44.65880576011,4.3045616007900005,8.98018285216,642.80548314514,466.96055704249005
Djibouti,DJI,1996,Djibouti,,,,,,0.32,16.277,,5.149,,,,,,,,0.196689993143082,,326278.0,65658.39938273595,114073.82518921714,11220.982804567264,,,,7.4,5.417429,,40.576786,21.53574659856,45.34826538835,4.35433890025,9.06160792141,993.14156317429,432.35681376912
Djibouti,DJI,1997,Djibouti,,,,,,0.324,16.388,,4.966,,,,,,,,0.221440002322197,,337988.0,68482.89869034005,119996.82248360528,11623.982804148667,,,,7.5,4.839136,,41.3456,21.482988602880003,45.699409478789995,4.38360403778,9.08910044456,1382.33556803082,536.00308306387
Djibouti,DJI,1998,Djibouti,,,,,,0.327,16.525,,4.795,,,,,,,,,,351730.0,71769.89797586501,127251.819105821,12053.48286543248,,,,7.6,4.6354427,,41.992744,21.48864385374,45.79052068381,4.39575795768,9.08099606229,1737.88486504853,374.29773332587
Djibouti,DJI,1999,Djibouti,,,,,,0.333,16.63,,4.687,,,,,,,,0.248940005898476,,364134.0,74329.10206284221,133897.68385770606,12484.017142064651,,,,7.6,4.5812545,,42.561768,21.50104096874,45.80349705804,4.40453848977,9.07713930972,2005.62292662776,355.94401273458
