Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Egypt,EGY,1960,Egypt,,,,,20297834751.0,,,,,,,,,,,,,,13392299.0,2083425.0777844444,5216700.694764943,565048.0210960052,,,,,,,,,,,,,
Egypt,EGY,1961,Egypt,,,,,21345429171.0,,,,,,,,,,,,,,13747763.0,2149239.578166883,5330456.19386631,588504.5214036466,,,,,,,,,,,,,
Egypt,EGY,1962,Egypt,,,,,22172696194.0,,,,,,,,,,,,,,14116182.0,2236325.5792114167,5446553.692918794,611598.5216630289,,,,,,,,,,,,,
Egypt,EGY,1963,Egypt,,,,,24504840915.0,,,,,,,,,,,,,,14493560.0,2335509.0,5559462.999999999,634376.4999999995,,,,,,,,,,,,,
Egypt,EGY,1964,Egypt,,,,,27324754468.0,,,,,,,,,,,,,,14877131.0,2439028.5000000005,5665693.5,657195.4999999997,,,,,,,,,,,,,
Egypt,EGY,1965,Egypt,,,,,28667504459.0,,,,,,,,,,,,,,15262686.0,2552680.000000001,5765938.000000001,680199.0000000005,,,,,,,,,,,,,
Egypt,EGY,1966,Egypt,,,,,30114182469.0,,,,,,,,,,,,,,15653266.0,2680471.914379789,5864004.812690696,703277.9775357442,,,,,,,,,,,,,
Egypt,EGY,1967,Egypt,,,,,30356681177.0,,,,,,,,,,,,,,16051975.0,2816638.5,5963479.999999999,726369.4999999999,,,,,,,,,,,,,
Egypt,EGY,1968,Egypt,,,,,29868912347.0,,,,,,,,,,,,,,16456446.0,2955851.089808307,6068042.184366728,749425.5227699679,,,,,,,,,,,,,
Egypt,EGY,1969,Egypt,,,,,31445846805.0,,,,,,,,,,,,,,16866054.0,3091861.4999999977,6182082.0,772370.9999999995,,,,,,,,,,,,,
Egypt,EGY,1970,Egypt,,,,,33206347267.0,,,,,,,,,,,,,,17275285.0,3216605.999999993,6307051.999999999,794995.5000000001,,,,,,,,,,,,,
Egypt,EGY,1971,Egypt,,,,,34553643778.0,,,,,,,,,,,,,,17681661.0,3324821.0940189175,6443575.182210687,817289.523111221,,,,,,,,,,,,,
Egypt,EGY,1972,Egypt,,,,,35609492777.0,,,,,,,,,,,,,,18094276.0,3419836.905499491,6593778.817793796,839520.4768014891,,,,,,,,,,,,,
Egypt,EGY,1973,Egypt,,,,,36858257210.0,,,,,,,,,,,,,,18516598.0,3512923.9999999944,6750210.0,861685.5000000005,,,,,,,,,,,,,
Egypt,EGY,1974,Egypt,,,,,37432854799.0,,,,,,,,,,,,,,18949378.0,3612873.904670383,6902948.817858167,883831.4766791431,,,,,,,,,,,,,
Egypt,EGY,1975,Egypt,,,,,40779032775.0,,,,,,,,,,,,,,19397870.0,3713380.999999992,7059005.499999997,905969.9999999994,,,,,,,,,,,,,
Egypt,EGY,1976,Egypt,,,,,46194361685.0,,,,,,,,,,,,,,19851735.0,3804303.4999999898,7219228.000000001,927400.9999999988,,,,,,,,,,,,,
Egypt,EGY,1977,Egypt,,,,,50353260517.0,,,,,,,,,,,,,,20320228.0,3891304.5,7387652.500000001,948519.9999999994,,,,,,,,,,,,,
Egypt,EGY,1978,Egypt,,,,,54698126368.0,,,,,,,,,,,,,,20816848.0,3979133.999999994,7570738.499999999,970234.5000000003,,,,,,,,,,,,,
Egypt,EGY,1979,Egypt,,,,,57185627388.0,,,,,,,,,,,,,,21334666.0,4064987.0000000065,7762732.999999999,992740.0000000003,,,,,,,,,,,,,
Egypt,EGY,1980,Egypt,,,,,62910668708.0,,,,,,,,,,,,,,21888344.0,4152718.5000000014,7970732.000000001,1016608.0,,,,7.3,,,,,,,,,
Egypt,EGY,1981,Egypt,,,,,67533693105.0,,,,,,,,,,,,,,22473275.0,4244619.000000001,8193415.499999999,1041842.9999999988,,,,7.5,,,,,,,,,
Egypt,EGY,1982,Egypt,,,,,74224371654.0,,,,,,,,,,,,,,23088875.0,4342658.5,8428102.499999996,1068351.4999999993,,,,7.6,,,,,,,,,
Egypt,EGY,1983,Egypt,,,,,78005663121.0,,,,,,,,,,,,,,23762267.0,4452616.593690906,8684864.682744872,1096579.0230739554,,,,7.8,,,,,,,,,
Egypt,EGY,1984,Egypt,,,,,85607909950.0,,,,,,,,,,,,,,24475716.0,4569772.500000001,8957332.500000002,1126323.9999999977,,,,8.0,,,,,,,,,
Egypt,EGY,1985,Egypt,,,,,90565897013.0,,,,,,,,,,,,,,25202951.0,4686038.999999999,9234956.999999998,1157064.9999999993,,,,8.2,,,,,,,,,
Egypt,EGY,1986,Egypt,,,,,94862819134.0,,,,,,,,,,,,,,25920362.0,4795527.907494963,9507061.816610163,1188150.977080741,,,,8.4,,,,,,,,,
Egypt,EGY,1987,Egypt,,,,,98498676314.0,,,,,,,,,,,,,,26630782.0,4903068.092056405,9777258.683570627,1219512.0228966612,,,,8.7,,,,,,,,,
Egypt,EGY,1988,Egypt,,,,,103878004711.0,,,,,,,,,,,,,,27358958.0,5015805.591666605,10058613.683826694,1251413.0228702603,,,,8.9,,,,,,,,,
Egypt,EGY,1989,Egypt,,,,,108989704831.0,,,,,,,,,,,,,,28090540.0,5134569.0,10346474.999999998,1283539.499999999,,,,9.1,,,,,,,,,
