Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Equatorial Guinea,GNQ,1980,Equatorial Guinea,,,,,132086051.0,,,,,,,,,,,,,,149123.0,26511.58889168301,54527.68282787644,7911.026525172251,,,,2.7,,,,,,,,,
Equatorial Guinea,GNQ,1981,Equatorial Guinea,,,,,139706650.0,,,,,,,,,,,,,,156583.0,27800.17754275717,57092.86461726124,8266.55279342454,,,,2.8,,,,,,,,,
Equatorial Guinea,GNQ,1982,Equatorial Guinea,,,,,142782538.0,,,,,,,,,,,,,,166281.0,29512.91125591241,60427.31829758573,8739.973719265223,,,,2.9,,,,,,,,,
Equatorial Guinea,GNQ,1983,Equatorial Guinea,,,,,149927929.0,,,,,,,,,,,,,,177028.0,31871.090017087743,64697.18273149654,9162.025877335447,,,,2.9,,,,,,,,,
Equatorial Guinea,GNQ,1984,Equatorial Guinea,,,,,151444273.0,,,,,,,,,,,,,,187798.0,34489.908172855474,69493.81497722294,9469.974786806082,,,,3.0,,,,,,,,,
Equatorial Guinea,GNQ,1985,Equatorial Guinea,,,,,170988427.0,,,,,,,,,,,,,,198141.0,36636.092449549695,73972.18666552268,9744.024588612629,,,,3.1,,,,,,,,,
Equatorial Guinea,GNQ,1986,Equatorial Guinea,,,,,167003445.0,,,,,,,,,,,,,,207740.0,38258.407917570235,77969.812337989,9986.975962799726,,,,3.2,,,,,,,,,
Equatorial Guinea,GNQ,1987,Equatorial Guinea,,,,,174412950.0,,,,,,,,,,,,,,216635.0,39443.59103697704,81517.18814408602,10206.02355580482,,,,3.3,,,,,,,,,
Equatorial Guinea,GNQ,1988,Equatorial Guinea,,,,,179044071.0,,,,,,,,,,,,,,225181.0,40381.49999999999,84813.00000000004,10405.999999999984,,,,3.4,,,,,,,,,
Equatorial Guinea,GNQ,1989,Equatorial Guinea,,,,,176843300.0,,,,,,,,,,,,,,233733.0,41232.411795912834,88055.81163162313,10594.477336368116,,,,3.5,,,,,,,,,
