Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Eswatini,SWZ,1970,Eswatini,,,,,401852565.0,,,,,,,,,,,,,,229587.0,46188.00000000002,71704.99999999999,7463.999999999992,,,,,,,,,,,,,
Eswatini,SWZ,1971,Eswatini,,,,,457081710.0,,,,,,,,,,,,,,236156.0,47758.10111557849,73537.65569719947,7704.516312345031,,,,,,,,,,,,,
Eswatini,SWZ,1972,Eswatini,,,,,481875167.0,,,,,,,,,,,,,,243062.0,49254.20264048931,75526.81073063961,7952.03271606716,,,,,,,,,,,,,
Eswatini,SWZ,1973,Eswatini,,,,,525333916.0,,,,,,,,,,,,,,250302.0,50724.39867360491,77630.34492663875,8205.983607834523,,,,,,,,,,,,,
Eswatini,SWZ,1974,Eswatini,,,,,555506400.0,,,,,,,,,,,,,,257908.0,52068.60094413685,79968.15503232746,8469.016418677249,,,,,,,,,,,,,
Eswatini,SWZ,1975,Eswatini,,,,,632768698.0,,,,,,,,,,,,,,265900.0,53256.500000000065,82581.50000000001,8741.999999999998,,,,,,,,,,,,,
Eswatini,SWZ,1976,Eswatini,,,,,619357559.0,,,,,,,,,,,,,,274336.0,54445.90076785264,85333.84447202618,9026.4835484888,,,,,,,,,,,,,
Eswatini,SWZ,1977,Eswatini,,,,,625610549.0,,,,,,,,,,,,,,283196.0,55726.90161071905,88028.34458052977,9324.983536166576,,,,,,,,,,,,,
Eswatini,SWZ,1978,Eswatini,,,,,633913206.0,,,,,,,,,,,,,,292400.0,57141.59771135048,90612.1549455454,9635.51647660135,,,,,,,,,,,,,
Eswatini,SWZ,1979,Eswatini,,,,,653608541.0,,,,,,,,,,,,,,301949.0,58674.49999999989,93216.5,9953.499999999998,,,,,,,,,,,,,
Eswatini,SWZ,1980,Eswatini,,,,,734976610.0,,,,,,,,,,,,,,311858.0,60290.30667384942,95855.69263032328,10279.967036385046,,,,4.1,,,,,,,,,
Eswatini,SWZ,1981,Eswatini,,,,,842587777.0,,,,,,,,,,,,,,322136.0,61973.403808633826,98541.34705008588,10612.983527169386,,,,4.2,,,,,,,,,
Eswatini,SWZ,1982,Eswatini,,,,,852467691.0,,,,,,,,,,,,,,332767.0,63767.595814182096,101298.65220657724,10946.016446968051,,,,4.3,,,,,,,,,
Eswatini,SWZ,1983,Eswatini,,,,,862717378.0,,,,,,,,,,,,,,343619.0,65722.99999999993,104147.0,11263.499999999982,,,,4.4,,,,,,,,,
Eswatini,SWZ,1984,Eswatini,,,,,915875910.0,,,,,,,,,,,,,,354737.0,67861.59565057445,107081.65093104316,11576.016316336212,,,,4.6,,,,,,,,,
