Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Ethiopia,ETH,1961,Ethiopia,,,,,5263329225.0,,,,,,,,,,,,,,11160755.0,2179193.5000000014,3973577.999999999,382271.49999999977,,,,,,,,,,,,,
Ethiopia,ETH,1962,Ethiopia,,,,,5491025655.0,,,,,,,,,,,,,,11449778.0,2244058.902004264,4078181.821910005,389619.4829857185,,,,,,,,,,,,,
Ethiopia,ETH,1963,Ethiopia,,,,,5739145003.0,,,,,,,,,,,,,,11751897.0,2305071.0980722974,4186753.6781309736,397158.51689763466,,,,,,,,,,,,,
Ethiopia,ETH,1964,Ethiopia,,,,,5973903904.0,,,,,,,,,,,,,,12068097.0,2361075.0978230084,4297659.678058716,405729.5168100037,,,,,,,,,,,,,
Ethiopia,ETH,1965,Ethiopia,,,,,6318713576.0,,,,,,,,,,,,,,12399254.0,2405368.9030034835,4411205.822118097,415529.4832437713,,,,,,,,,,,,,
Ethiopia,ETH,1966,Ethiopia,,,,,6777237221.0,,,,,,,,,,,,,,12729839.0,2438586.999999996,4525284.499999997,425527.50000000006,,,,,,,,,,,,,
Ethiopia,ETH,1967,Ethiopia,,,,,7052500667.0,,,,,,,,,,,,,,13073198.0,2472765.5945738596,4642540.177559468,436840.0167074656,,,,,,,,,,,,,
Ethiopia,ETH,1968,Ethiopia,,,,,7344628492.0,,,,,,,,,,,,,,13441729.0,2508277.906698093,4766288.8227055175,450150.98325546546,,,,,,,,,,,,,
Ethiopia,ETH,1969,Ethiopia,,,,,7446620220.0,,,,,,,,,,,,,,13818873.0,2543201.09201912,4894352.177089413,463668.01677662233,,,,,,,,,,,,,
Ethiopia,ETH,1970,Ethiopia,,,,,7705965802.0,,,,,,,,,,,,,,14207017.0,2576166.9999999986,5027710.499999999,477063.50000000006,,,,,,,,,,,,,
Ethiopia,ETH,1971,Ethiopia,,,,,8208893824.0,,,,,,,,,,,,,,14602194.0,2603603.9999999995,5163228.000000001,490337.0000000005,,,,,,,,,,,,,
Ethiopia,ETH,1972,Ethiopia,,,,,8555896866.0,,,,,,,,,,,,,,14999022.0,2628511.500000001,5299809.500000001,502980.99999999994,,,,,,,,,,,,,
Ethiopia,ETH,1973,Ethiopia,,,,,8993092031.0,,,,,,,,,,,,,,15405007.0,2666129.9134654747,5436112.823560196,515271.98327582754,,,,,,,,,,,,,
