Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Gabon,GAB,1960,Gabon,,,,,1696430402.0,,,,,,,,,,,,,,264195.0,39899.07551065595,120416.22789270782,22747.043049722855,,,,,,,,,,,,,
Gabon,GAB,1961,Gabon,,,,,1946939619.0,,,,,,,,,,,,,,267332.0,40215.92478280791,120954.2737751676,23078.456835588644,,,,,,,,,,,,,
Gabon,GAB,1962,Gabon,,,,,2091971271.0,,,,,,,,,,,,,,270680.0,40598.50000000002,121522.0,23406.50000000001,,,,,,,,,,,,,
Gabon,GAB,1963,Gabon,,,,,2219423267.0,,,,,,,,,,,,,,274229.0,40985.49999999999,122106.99999999996,23731.99999999998,,,,,,,,,,,,,
Gabon,GAB,1964,Gabon,,,,,2320505870.0,,,,,,,,,,,,,,277977.0,41448.42544630412,122681.77933106096,24052.95673570705,,,,,,,,,,,,,
Gabon,GAB,1965,Gabon,,,,,2513881414.0,,,,,,,,,,,,,,281945.0,42158.92523555082,123243.28144091667,24369.456783314512,,,,,,,,,,,,,
Gabon,GAB,1966,Gabon,,,,,2627207303.0,,,,,,,,,,,,,,286151.0,43047.92478110373,123809.78366354883,24685.95686550654,,,,,,,,,,,,,
Gabon,GAB,1967,Gabon,,,,,2735320899.0,,,,,,,,,,,,,,290594.0,43996.57570110824,124398.71404212408,25002.043018856264,,,,,,,,,,,,,
Gabon,GAB,1968,Gabon,,,,,2803944654.0,,,,,,,,,,,,,,295278.0,45000.49999999997,125025.00000000006,25317.50000000001,,,,,,,,,,,,,
Gabon,GAB,1969,Gabon,,,,,3030584989.0,,,,,,,,,,,,,,300888.0,46258.5,126078.00000000004,25644.99999999999,,,,,,,,,,,,,
