Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Gambia,GMB,1966,Gambia,,,,,253504725.0,,,,,,,,,,,,,,236221.0,42154.00000000001,89818.00000000001,6932.0000000000055,,,,,,,,,,,,,
Gambia,GMB,1967,Gambia,,,,,253504725.0,,,,,,,,,,,,,,242725.0,42731.91197463803,92471.80951321551,7136.985298207226,,,,,,,,,,,,,
Gambia,GMB,1968,Gambia,,,,,277780701.0,,,,,,,,,,,,,,249536.0,43376.58691448715,95286.19092674193,7351.514730369035,,,,,,,,,,,,,
Gambia,GMB,1969,Gambia,,,,,284546114.0,,,,,,,,,,,,,,256588.0,44063.99999999999,98220.00000000006,7574.000000000001,,,,,,,,,,,,,
Gambia,GMB,1970,Gambia,,,,,302056645.0,,,,,,,,,,,,,,263893.0,44812.58490673285,101248.691836638,7806.014790113389,,,,,,,,,,,,,
Gambia,GMB,1971,Gambia,,,,,301857659.0,,,,,,,,,,,,,,271513.0,45672.99999999999,104322.99999999996,8049.000000000005,,,,,,,,,,,,,
Gambia,GMB,1972,Gambia,,,,,302587264.0,,,,,,,,,,,,,,279479.0,46745.00000000001,107345.49999999996,8301.000000000011,,,,,,,,,,,,,
Gambia,GMB,1973,Gambia,,,,,330577582.0,,,,,,,,,,,,,,287777.0,48191.49999999999,110166.49999999996,8562.499999999998,,,,,,,,,,,,,
Gambia,GMB,1974,Gambia,,,,,350011556.0,,,,,,,,,,,,,,296532.0,50398.41502027606,112187.3108343942,9047.984743662164,,,,,,,,,,,,,
Gambia,GMB,1975,Gambia,,,,,393389990.0,,,,,,,,,,,,,,305859.0,53065.5867484474,113766.18597815656,9769.515970620412,,,,,,,,,,,,,
Gambia,GMB,1976,Gambia,,,,,422308976.0,,,,,,,,,,,,,,315829.0,55756.08826942471,115649.18308828998,10536.51668073021,,,,,,,,,,,,,
Gambia,GMB,1977,Gambia,,,,,436834614.0,,,,,,,,,,,,,,326526.0,58617.5,117722.0,11360.000000000016,,,,,,,,,,,,,
Gambia,GMB,1978,Gambia,,,,,464427038.0,,,,,,,,,,,,,,337934.0,61630.99999999999,119998.5,12227.000000000007,,,,,,,,,,,,,
Gambia,GMB,1979,Gambia,,,,,458258597.0,,,,,,,,,,,,,,350109.0,64755.49999999999,122534.5,13116.0,,,,,,,,,,,,,
Gambia,GMB,1980,Gambia,,,,,486991776.0,,,,,,,,,,,,,,363077.0,67938.4064407737,125368.3273529756,14002.48071692682,,,,3.2,,,,,,,,,
