Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Ghana,GHA,1960,Ghana,,,,,7662648270.0,,,,,,,,,,,,,,3402983.0,596114.912412887,1155905.330162929,96494.48582207346,,,,,,,,,,,,,
Ghana,GHA,1961,Ghana,,,,,7925452126.0,,,,,,,,,,,,,,3510587.0,597826.5000000001,1189846.0,101099.49999999988,,,,,,,,,,,,,
Ghana,GHA,1962,Ghana,,,,,8251121525.0,,,,,,,,,,,,,,3608526.0,607602.4999999999,1210540.0,109861.99999999996,,,,,,,,,,,,,
Ghana,GHA,1963,Ghana,,,,,8614663810.0,,,,,,,,,,,,,,3707613.0,619903.0000000001,1232085.0000000002,117938.49999999984,,,,,,,,,,,,,
Ghana,GHA,1964,Ghana,,,,,8804989947.0,,,,,,,,,,,,,,3808323.0,635654.0834559045,1254513.1647067706,125274.01644739896,,,,,,,,,,,,,
Ghana,GHA,1965,Ghana,,,,,8925530160.0,,,,,,,,,,,,,,3911440.0,655119.4999999995,1278524.5000000002,131503.49999999994,,,,,,,,,,,,,
Ghana,GHA,1966,Ghana,,,,,8545455168.0,,,,,,,,,,,,,,4016613.0,676872.9999999999,1304398.4999999998,136832.50000000006,,,,,,,,,,,,,
Ghana,GHA,1967,Ghana,,,,,8808259025.0,,,,,,,,,,,,,,4124220.0,699515.0848057433,1331502.661424786,141596.01716639943,,,,,,,,,,,,,
Ghana,GHA,1968,Ghana,,,,,8840749198.0,,,,,,,,,,,,,,4234805.0,724859.5,1357960.0,145990.99999999977,,,,,,,,,,,,,
Ghana,GHA,1969,Ghana,,,,,9371740063.0,,,,,,,,,,,,,,4350251.0,752733.4134839098,1384712.840846788,149661.98279846564,,,,,,,,,,,,,
