Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Guinea,GIN,1970,Guinea,,,,,1942094537.0,,,,,,,,,,,,,,2156939.0,387552.4101614811,821650.8095331372,89618.47922554155,,,,,,,,,,,,,
Guinea,GIN,1971,Guinea,,,,,2046303803.0,,,,,,,,,,,,,,2197712.0,395756.4099617215,834157.8102213101,91411.9792029213,,,,,,,,,,,,,
Guinea,GIN,1972,Guinea,,,,,2093679410.0,,,,,,,,,,,,,,2238313.0,403374.0000000002,846535.0000000001,93284.00000000006,,,,,,,,,,,,,
Guinea,GIN,1973,Guinea,,,,,2126493371.0,,,,,,,,,,,,,,2278758.0,410565.9999999997,858755.4999999999,95218.49999999993,,,,,,,,,,,,,
Guinea,GIN,1974,Guinea,,,,,2238138977.0,,,,,,,,,,,,,,2319127.0,417965.90988723136,870263.8123725412,97266.47902950564,,,,,,,,,,,,,
Guinea,GIN,1975,Guinea,,,,,2302528457.0,,,,,,,,,,,,,,2359609.0,425263.0901130422,881440.1867767475,99500.52108411198,,,,,,,,,,,,,
Guinea,GIN,1976,Guinea,,,,,2484966268.0,,,,,,,,,,,,,,2400396.0,432319.50000000006,892573.0000000001,101917.49999999994,,,,,,,,,,,,,
Guinea,GIN,1977,Guinea,,,,,2401643613.0,,,,,,,,,,,,,,2441949.0,439730.5,903368.5,104512.5,,,,,,,,,,,,,
Guinea,GIN,1978,Guinea,,,,,2564865665.0,,,,,,,,,,,,,,2484864.0,447666.00000000006,914191.0000000003,107268.5,,,,,,,,,,,,,
Guinea,GIN,1979,Guinea,,,,,2533885659.0,,,,,,,,,,,,,,2529835.0,456343.6803847604,925517.8658411978,110144.0435380345,,,,,,,,,,,,,
Guinea,GIN,1980,Guinea,,,,,2599801856.0,,,,,,,,,,,,,,2577592.0,465937.4096176956,937755.3180946948,113124.4780561708,,,,2.4,,,,,,,,,
Guinea,GIN,1981,Guinea,,,,,2615653814.0,,,,,,,,,,,,,,2628499.0,476500.3187177096,951150.1381394332,116210.95578809218,,,,2.5,,,,,,,,,
Guinea,GIN,1982,Guinea,,,,,2662735707.0,,,,,,,,,,,,,,2682902.0,487942.090935504,965812.6799940288,119386.02224941904,,,,2.6,,,,,,,,,
Guinea,GIN,1983,Guinea,,,,,2697351586.0,,,,,,,,,,,,,,2740500.0,500090.4087592759,981677.8208943956,122627.4776268059,,,,2.7,,,,,,,,,
Guinea,GIN,1984,Guinea,,,,,2735114764.0,,,,,,,,,,,,,,2801479.0,512935.5,998890.4999999994,125951.5,,,,2.7,,,,,,,,,
Guinea,GIN,1985,Guinea,,,,,2871868603.0,,,,,,,,,,,,,,2866658.0,526542.5000000002,1017740.0,129365.00000000007,,,,2.8,,,,,,,,,
Guinea,GIN,1986,Guinea,,,,,2961299741.0,,,,,,,,,,,,,,2936034.0,540823.5,1038257.0,132837.99999999997,,,,2.9,,,,,,,,,
Guinea,GIN,1987,Guinea,,,,,3059020822.0,,,,,,,,,,,,,,3009306.0,555584.9999999997,1060284.9999999998,136331.49999999985,,,,3.0,,,,,,,,,
Guinea,GIN,1988,Guinea,,,,,3251987425.0,,,,,,,,,,,,,,3085603.0,570566.5924562545,1083451.1755655494,139802.52265400375,,,,3.1,,,,,,,,,
Guinea,GIN,1989,Guinea,,,,,3382179961.0,,,,,,,,,,,,,,3163511.0,585361.9074822392,1107113.8250181794,143220.97736360374,,,,3.2,,,,,,,,,
Guinea,GIN,1990,Guinea,,,,2105.7473,3528427545.0,0.282,63.243,,6.515,,,,,,20.2215595245361,4.83135986328125,0.172989994287491,8.27427959442139,3271350.0,605330.5000000001,1141364.0000000002,147849.49999999997,,,,3.3,0.9428102,,54.564293,20.21729800047,42.76722951479,4.44659727247,7.90929372234,238.60204401398,36167.31519784838
Guinea,GIN,1991,Guinea,,,,2075.992,3620640283.0,0.287,63.221,,6.484,,,,,,22.0895004272461,5.03239011764526,0.118639998137951,8.58526992797852,3401112.0,628974.0924659482,1183284.1739554857,153327.5225407928,,,,3.4,1.1358415,,55.262943,20.17432404091,42.69396683175,4.42987859508,7.845465194029999,341.79741667635,36207.35743522761
Guinea,GIN,1992,Guinea,,,,2076.5505,3739069518.0,0.293,63.192,,6.453,57.6,24.5,,,,22.0379199981689,,0.109269998967648,8.61124992370605,3507737.0,647836.4999999999,1216782.0,157634.0000000001,,,,3.5,1.3562464,,55.852955,20.17907772987,42.2539540024,4.3800311349,7.74194795705,454.98524561612,36224.67885370028
Guinea,GIN,1993,Guinea,,,,2115.8665,3927673589.0,0.3,63.163,,6.409,,,,,,25.2895202636719,6.00087976455688,0.164370000362396,9.69727039337158,3612386.0,666101.9078030548,1249600.82703941,161707.97761756685,,,,3.6,1.5795407,,56.348297,20.11520414015,41.93684376979,4.34099058616,7.67169173476,574.5334458621601,36197.58598366972
Guinea,GIN,1994,Guinea,,,,2134.8977,4083606123.0,0.307,63.132,,6.358,,,,,,28.0828399658203,6.31918001174927,0.139510005712509,10.6744403839111,3718867.0,684426.9999999999,1283062.9999999998,165746.50000000003,,,,3.7,1.7395363,,56.780926,19.98705734821,41.78926451286,4.31529074186,7.63712444089,694.96676455939,36126.049001371706
Guinea,GIN,1995,Guinea,,,,2171.7256,4271765348.0,0.314,63.104,,6.288,,,,,,32.1979789733887,,,10.0121603012085,3820612.0,701946.9999999999,1315243.5,169450.0000000001,,,,3.8,1.9150606,,57.136257,19.86817870283,41.55261068537,4.2812470540100005,7.59897973525,811.31675142676,36018.67811195823
Guinea,GIN,1996,Guinea,,,,2205.3237,4462353367.0,0.323,63.081,,6.205,,,,,,34.1816482543945,7.08435010910034,0.199919998645782,,3926172.0,720241.5917231328,1348999.1717957302,173192.5220561554,,,,3.9,2.0824084,,57.43046,19.64486054706,41.2400786908,4.23803815682,7.580006600330001,922.74207831736,35874.90193936008
Guinea,GIN,1997,Guinea,,,,2272.411,4693574823.0,0.332,63.0,,6.123,,,,,,38.4779014587402,,0.25271001458168,,4012100.0,732747.0000000005,1372081.4999999998,176357.5000000001,,,,4.1,2.1952796,,58.079403,19.27244303718,40.87774436591,4.18840443257,7.59380157316,1027.0107084387798,35653.01513082854
Guinea,GIN,1998,Guinea,,,,2311.3274,4864614381.0,0.342,62.921,,6.051,,,,,,39.793399810791,,0.287440001964569,14.3665399551392,4094401.0,745343.5000000003,1393109.9999999998,179407.49999999985,,,,4.2,2.2132359,,58.36722,18.76225125607,40.92219672945,4.17483831012,7.692075083220001,1115.07381551614,35313.63495532443
Guinea,GIN,1999,Guinea,,,,2346.2703,5050053677.0,0.351,62.886,,5.985,73.5,46.3,,,,42.7611083984375,7.33798980712891,,16.832540512085,4187972.0,762983.5000000006,1420257.9999999998,182627.0000000001,,,,4.3,2.257458,,58.6784,18.34656336741,40.90184178174,4.15701935948,7.781690199380001,1185.99178467982,34880.11477358009
Guinea,GIN,2000,Guinea,60.8,80.9,0.0,2358.2876,5176459579.0,0.359,62.839,51.4,5.918,,,2.866542,,,47.0937614440918,,,19.8574409484863,4275271.0,779905.6824225134,1443571.8376562172,185603.54341328147,,,,4.5,2.2210019,429.01,59.07964,18.17543194191,40.60335501307,4.11992128123,7.80941478556,1238.04871804663,34324.41005227907
