Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Guinea-Bissau,GNB,1970,Guinea-Bissau,,,,,309755918,,,,,,,,,,,,,,297848.0,49173.49999999996,111996.0,13987.499999999998,,,,,,,,,,,,,
Guinea-Bissau,GNB,1971,Guinea-Bissau,,,,,297641465,,,,,,,,,,,,,,299435.0,51004.08516720696,111170.18563325204,14169.023659598366,,,,,,,,,,,,,
Guinea-Bissau,GNB,1972,Guinea-Bissau,,,,,316615694,,,,,,,,,,,,,,300308.0,52818.499999999935,109873.0,14398.999999999996,,,,,,,,,,,,,
Guinea-Bissau,GNB,1973,Guinea-Bissau,,,,,320129789,,,,,,,,,,,,,,304060.0,55749.683350928615,110141.86223726312,14735.548462633891,,,,,,,,,,,,,
Guinea-Bissau,GNB,1974,Guinea-Bissau,,,,,334725278,,,,,,,,,,,,,,314865.0,60476.30792940499,112285.14338639293,15237.45160639766,,,,,,,,,,,,,
Guinea-Bissau,GNB,1975,Guinea-Bissau,,,,,360986432,,,,,,,,,,,,,,334114.0,66288.4999999999,117004.5,15833.000000000022,,,,,,,,,,,,,
Guinea-Bissau,GNB,1976,Guinea-Bissau,,,,,378831635,,,,,,,,,,,,,,356182.0,70836.00000000015,123151.0,16314.499999999967,,,,,,,,,,,,,
Guinea-Bissau,GNB,1977,Guinea-Bissau,,,,,351669142,,,,,,,,,,,,,,380474.0,74149.49999999983,130623.0,16652.0,,,,,,,,,,,,,
Guinea-Bissau,GNB,1978,Guinea-Bissau,,,,,397829386,,,,,,,,,,,,,,405950.0,76383.40592017994,139331.82838794382,16810.9792942736,,,,,,,,,,,,,
Guinea-Bissau,GNB,1979,Guinea-Bissau,,,,,405762678,,,,,,,,,,,,,,420052.0,77689.49999999997,144729.49999999997,16825.000000000022,,,,,,,,,,,,,
