Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Kenya,KEN,1960,Kenya,,,,,6102055403.0,,,,,,,,,,,,,,3880288.0,758645.0000000015,1158107.4999999993,106454.0,,,,,,,,,,,,,
Kenya,KEN,1961,Kenya,,,,,5627642874.0,,,,,,,,,,,,,,4029597.0,770608.0956185068,1210040.6501441277,105329.51306948472,,,,,,,,,,,,,
Kenya,KEN,1962,Kenya,,,,,6159869249.0,,,,,,,,,,,,,,4188337.0,783775.5000000003,1262876.5000000002,104898.00000000004,,,,,,,,,,,,,
Kenya,KEN,1963,Kenya,,,,,6700603529.0,,,,,,,,,,,,,,4355549.0,799872.4081777739,1315556.3489792745,105313.98791036586,,,,,,,,,,,,,
Kenya,KEN,1964,Kenya,,,,,7033252799.0,,,,,,,,,,,,,,4531118.0,820633.3188894402,1368625.1979497774,106261.97654839788,,,,,,,,,,,,,
Kenya,KEN,1965,Kenya,,,,,7174557471.0,,,,,,,,,,,,,,4716045.0,841615.821542029,1423129.198236722,107452.97721544708,,,,,,,,,,,,,
Kenya,KEN,1966,Kenya,,,,,8231266932.0,,,,,,,,,,,,,,4908385.0,862679.4121218674,1477633.3494786627,108904.48890628088,,,,,,,,,,,,,
Kenya,KEN,1967,Kenya,,,,,8507938913.0,,,,,,,,,,,,,,5107279.0,890021.5000000003,1531032.5,110659.5,,,,,,,,,,,,,
Kenya,KEN,1968,Kenya,,,,,9187101299.0,,,,,,,,,,,,,,5313357.0,924184.086968002,1583981.6490565808,112643.5106000322,,,,,,,,,,,,,
Kenya,KEN,1969,Kenya,,,,,9918323313.0,,,,,,,,,,,,,,5525950.0,963232.0,1637584.9999999998,114741.99999999994,,,,,,,,,,,,,
