Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Lesotho,LSO,1960,Lesotho,,,,,193508327.0,,,,,,,,,,,,,,410163.0,72693.50000000001,150679.00000000003,21394.50000000001,,,,,,,,,,,,,
Lesotho,LSO,1961,Lesotho,,,,,197116860.0,,,,,,,,,,,,,,421985.0,74339.91191640472,154877.81648895514,21814.974151955434,,,,,,,,,,,,,
Lesotho,LSO,1962,Lesotho,,,,,227338452.0,,,,,,,,,,,,,,434194.0,76346.824164258,159155.63344580197,22294.448653254876,,,,,,,,,,,,,
Lesotho,LSO,1963,Lesotho,,,,,251470587.0,,,,,,,,,,,,,,446724.0,78942.41164297014,163525.31697276508,22812.47446692538,,,,,,,,,,,,,
Lesotho,LSO,1964,Lesotho,,,,,272219723.0,,,,,,,,,,,,,,459533.0,82371.58962532572,167982.18277488538,23348.525404623146,,,,,,,,,,,,,
Lesotho,LSO,1965,Lesotho,,,,,278083623.0,,,,,,,,,,,,,,472656.0,85558.59050830908,172495.68247486808,23884.52526628807,,,,,,,,,,,,,
Lesotho,LSO,1966,Lesotho,,,,,276955934.0,,,,,,,,,,,,,,488558.0,88256.50000000026,178409.50000000003,24483.999999999985,,,,,,,,,,,,,
Lesotho,LSO,1967,Lesotho,,,,,307177536.0,,,,,,,,,,,,,,504311.0,91227.99999999993,183869.00000000003,25118.00000000003,,,,,,,,,,,,,
Lesotho,LSO,1968,Lesotho,,,,,306049826.0,,,,,,,,,,,,,,517506.0,94416.00000000006,187581.00000000003,25693.500000000033,,,,,,,,,,,,,
Lesotho,LSO,1969,Lesotho,,,,,310786059.0,,,,,,,,,,,,,,531104.0,97869.40786229473,191505.3197101512,26220.975314650852,,,,,,,,,,,,,
