Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Liberia,LBR,1960,Liberia,,,,,2785350370.0,,,,,,,,,,,,,,554173.0,109511.99999999993,195002.5000000001,15687.500000000033,,,,,,,,,,,,,
Liberia,LBR,1961,Liberia,,,,,2853312513.0,,,,,,,,,,,,,,568721.0,111840.00000000012,200521.5,15997.500000000024,,,,,,,,,,,,,
Liberia,LBR,1962,Liberia,,,,,2891678326.0,,,,,,,,,,,,,,583846.0,113874.90247864788,206236.32338123128,16323.48602072632,,,,,,,,,,,,,
Liberia,LBR,1963,Liberia,,,,,2957448411.0,,,,,,,,,,,,,,599513.0,115407.49999999974,212130.5,16665.00000000002,,,,,,,,,,,,,
Liberia,LBR,1964,Liberia,,,,,3109815009.0,,,,,,,,,,,,,,615669.0,116701.90522350058,218202.32279250468,17008.986186582228,,,,,,,,,,,,,
Liberia,LBR,1965,Liberia,,,,,3258892894.0,,,,,,,,,,,,,,632375.0,118307.9064574767,224468.82251921535,17355.486277536085,,,,,,,,,,,,,
Liberia,LBR,1966,Liberia,,,,,3509914203.0,,,,,,,,,,,,,,649500.0,120212.09254202658,230848.17771222303,17709.013632804974,,,,,,,,,,,,,
Liberia,LBR,1967,Liberia,,,,,3746685675.0,,,,,,,,,,,,,,667043.0,122297.09167107048,237324.17789271305,18069.013544114507,,,,,,,,,,,,,
Liberia,LBR,1968,Liberia,,,,,3925360307.0,,,,,,,,,,,,,,685117.0,124564.909092236,243961.82195608775,18439.986542454382,,,,,,,,,,,,,
Liberia,LBR,1969,Liberia,,,,,4211459133.0,,,,,,,,,,,,,,703686.0,127030.59026084808,250707.17813852913,18828.013378135543,,,,,,,,,,,,,
Liberia,LBR,1970,Liberia,,,,,4492076771.0,,,,,,,,,,,,,,722754.0,129808.58980136384,257552.17817416313,19246.013314359607,,,,,,,,,,,,,
Liberia,LBR,1971,Liberia,,,,,4712405513.0,,,,,,,,,,,,,,741974.0,132905.50000000003,264291.49999999994,19685.500000000025,,,,,,,,,,,,,
Liberia,LBR,1972,Liberia,,,,,4907522457.0,,,,,,,,,,,,,,761766.0,136536.00000000003,270849.0000000001,20143.99999999999,,,,,,,,,,,,,
Liberia,LBR,1973,Liberia,,,,,4796809968.0,,,,,,,,,,,,,,782699.0,140970.90994564327,277210.8229135191,20637.986816140787,,,,,,,,,,,,,
Liberia,LBR,1974,Liberia,,,,,5024811956.0,,,,,,,,,,,,,,804532.0,145894.09067016025,283488.17618203885,21176.013160454266,,,,,,,,,,,,,
Liberia,LBR,1975,Liberia,,,,,4850521857.0,,,,,,,,,,,,,,827241.0,150843.00000000003,290117.49999999994,21761.99999999998,,,,,,,,,,,,,
Liberia,LBR,1976,Liberia,,,,,5108120174.0,,,,,,,,,,,,,,850735.0,155787.0915602929,297008.67456004187,22391.01315980483,,,,,,,,,,,,,
Liberia,LBR,1977,Liberia,,,,,5189236333.0,,,,,,,,,,,,,,875615.0,161061.4080295521,304356.82620396744,23078.48682155582,,,,,,,,,,,,,
Liberia,LBR,1978,Liberia,,,,,5439161404.0,,,,,,,,,,,,,,902106.0,166714.09240271788,312287.67308812565,23818.013201338417,,,,,,,,,,,,,
