Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Libya,LBY,1960,Libya,,,,,4206979769.0,,,,,,,,,,,,,,732334.0,127807.0,254528.50000000003,29489.000000000047,,,,,,,,,,,,,
Libya,LBY,1961,Libya,,,,,4623294238.0,,,,,,,,,,,,,,762500.0,131398.5861630073,262044.6718325716,29911.51961411123,,,,,,,,,,,,,
Libya,LBY,1962,Libya,,,,,6127004092.0,,,,,,,,,,,,,,794251.0,134991.4150196758,270021.33001511486,30306.480921345363,,,,,,,,,,,,,
Libya,LBY,1963,Libya,,,,,8272704007.0,,,,,,,,,,,,,,827099.0,138400.00000000003,278295.5000000002,30671.00000000003,,,,,,,,,,,,,
Libya,LBY,1964,Libya,,,,,12001351827.0,,,,,,,,,,,,,,858016.0,141757.91739203146,286397.3331048995,31027.481919054026,,,,,,,,,,,,,
Libya,LBY,1965,Libya,,,,,15379597827.0,,,,,,,,,,,,,,882354.0,143656.0814050151,288891.1637047962,31392.51778907214,,,,,,,,,,,,,
Libya,LBY,1966,Libya,,,,,18238997837.0,,,,,,,,,,,,,,903340.0,144470.5799646756,286700.1586889536,31767.017583090324,,,,,,,,,,,,,
Libya,LBY,1967,Libya,,,,,20265366359.0,,,,,,,,,,,,,,926606.0,146357.5,286224.49999999994,32155.999999999927,,,,,,,,,,,,,
Libya,LBY,1968,Libya,,,,,27128012832.0,,,,,,,,,,,,,,952944.0,149719.92144348382,288158.8488059903,32547.48292266752,,,,,,,,,,,,,
Libya,LBY,1969,Libya,,,,,30678497533.0,,,,,,,,,,,,,,983217.0,154869.49999999994,293132.50000000006,32936.00000000003,,,,,,,,,,,,,
Libya,LBY,1970,Libya,,,,,32197312918.0,,,,,,,,,,,,,,1017282.0,162521.0798800529,300717.6478044672,33326.0163799302,,,,,,,,,,,,,
Libya,LBY,1971,Libya,,,,,30498091672.0,,,,,,,,,,,,,,1052563.0,172205.49999999988,307739.9999999998,33729.0,,,,,,,,,,,,,
Libya,LBY,1972,Libya,,,,,33281298886.0,,,,,,,,,,,,,,1088481.0,183481.0,313597.50000000006,34161.00000000003,,,,,,,,,,,,,
Libya,LBY,1973,Libya,,,,,33925831081.0,,,,,,,,,,,,,,1133514.0,200224.08832007705,327803.6445962045,34622.01527198395,,,,,,,,,,,,,
Libya,LBY,1974,Libya,,,,,41455139017.0,,,,,,,,,,,,,,1189965.0,219680.00000000015,345808.5,35160.999999999985,,,,,,,,,,,,,
Libya,LBY,1975,Libya,,,,,43125063344.0,,,,,,,,,,,,,,1251930.0,237494.90514848803,360476.3560317447,35827.98569089891,,,,,,,,,,,,,
Libya,LBY,1976,Libya,,,,,52992488552.0,,,,,,,,,,,,,,1318430.0,255884.0000000005,376596.5,36635.00000000005,,,,,,,,,,,,,
Libya,LBY,1977,Libya,,,,,57683765284.0,,,,,,,,,,,,,,1389658.0,275372.50000000023,393885.0,37594.50000000001,,,,,,,,,,,,,
Libya,LBY,1978,Libya,,,,,59590166894.0,,,,,,,,,,,,,,1465657.0,294270.6003886317,412480.6407152701,38714.51320722141,,,,,,,,,,,,,
Libya,LBY,1979,Libya,,,,,64928319576.0,,,,,,,,,,,,,,1546243.0,312814.10115295567,432351.63980714546,39999.01293425841,,,,,,,,,,,,,
Libya,LBY,1980,Libya,,,,,65373260707.0,,,,,,,,,,,,,,1630908.0,331786.1017182145,454375.1393012787,41456.01270948836,,,,8.2,,,,,,,,,
Libya,LBY,1981,Libya,,,,,52828013781.0,,,,,,,,,,,,,,1718398.0,349348.60164950223,479451.1395052658,43088.51253740763,,,,8.4,,,,,,,,,
Libya,LBY,1982,Libya,,,,,54310397842.0,,,,,,,,,,,,,,1741037.0,349076.99999999977,488664.00000000023,44776.50000000004,,,,8.6,,,,,,,,,
Libya,LBY,1983,Libya,,,,,52967721371.0,,,,,,,,,,,,,,1690622.0,333677.90131504793,477962.35864304425,46404.98627576528,,,,8.8,,,,,,,,,
Libya,LBY,1984,Libya,,,,,50297204631.0,,,,,,,,,,,,,,1692609.0,335686.4999999995,482729.9999999997,48150.50000000006,,,,8.9,,,,,,,,,
Libya,LBY,1985,Libya,,,,,54485341416.0,,,,,,,,,,,,,,1753161.0,353559.8991650221,505602.3558026456,50161.98569384513,,,,9.1,,,,,,,,,
Libya,LBY,1986,Libya,,,,,48299889590.0,,,,,,,,,,,,,,1811292.0,371508.60255348106,528663.1459353729,52368.01445598344,,,,9.2,,,,,,,,,
Libya,LBY,1987,Libya,,,,,41198814142.0,,,,,,,,,,,,,,1866953.0,389332.1042693907,552156.1478762849,54736.01465918378,,,,9.3,,,,,,,,,
Libya,LBY,1988,Libya,,,,,44321281890.0,,,,,,,,,,,,,,1920801.0,407309.9999999994,576208.0000000001,57278.99999999989,,,,9.4,,,,,,,,,
Libya,LBY,1989,Libya,,,,,47512155858.0,,,,,,,,,,,,,,1973323.0,425727.5000000007,601217.0000000001,60040.50000000005,,,,9.5,,,,,,,,,
Libya,LBY,1990,Libya,,,,18121.816,49279670598.0,0.69,26.336,,4.776,,,,,,,,,,2024513.0,444140.4999999997,627668.0000000001,63020.50000000006,,,,9.7,0.004999005,,28.125,50.07737571248,75.55176531922,21.94937918252,11.72263393855,2.3592414752199997,0.0
Libya,LBY,1991,Libya,,,,20501.479,56994467920.0,0.7,26.656,,4.461,,,,,,,,,,2074181.0,462545.0000000002,655447.5,66149.00000000004,,,,9.8,0.008040689,,28.571428,50.49267079717,77.60457340502,23.21446197226,13.43644250476,2.76224201167,0.0
Libya,LBY,1992,Libya,,,,19532.996,55448621740.0,0.703,27.004,,4.162,,,,,,,,14.3870697021484,,2122218.0,481283.0000000018,684424.0,69395.5,,,,9.9,0.012359542,,29.72973,50.79809082474,79.72129170115,24.46757378864,15.06438585834,3.21993675188,0.0
Libya,LBY,1993,Libya,,,,18429.79,53361983286.0,0.705,27.38,,3.883,,,,,,,,,,2168573.0,500246.1153399294,714670.1647789037,72725.51676805831,,,,10.1,0.018159762,,30.275229,50.946562495639995,81.88691866343,25.69951514245,16.52615790363,3.74153301071,0.0
Libya,LBY,1994,Libya,,,,18439.658,54394423864.0,0.71,27.787,,3.649,,,,,,,,,,2213207.0,518892.3827736447,746222.8314159426,76061.98281634241,,,,10.2,0.025447328,,30.379747,50.88628985629,84.11548596639,26.91401057221,17.74614235199,4.32813688731,0.0
Libya,LBY,1995,Libya,,,,17718.604,53186646293.0,0.712,28.224,,3.442,80.8,,,,,,,,,2256186.0,536340.9999999995,779085.4999999999,79410.99999999988,,,,10.4,0.033919085,,31.081081,50.60156776633,86.28960662644,28.04195974205,18.59622454416,4.98844956814,0.0
Libya,LBY,1996,Libya,,,,17804.465,54321714851.0,0.716,28.684,,3.256,,,,,,,,,,2297597.0,551461.6200083421,813181.6769635142,82850.5180298196,,,,10.6,0.043418184,,31.59609,50.16305105273,88.37754743316,29.07996002789,19.18628014084,5.76261329202,0.0
Libya,LBY,1997,Libya,,,,18446.844,57153327139.0,0.721,29.156,,3.132,,,,,,,,,,2337858.0,563741.8794319665,848225.3185892133,86397.48152208532,,,,10.8,0.053512767,,31.807228,49.6703068648,90.42791706213,30.071794565430004,19.72423324544,6.67601406367,0.0
Libya,LBY,1998,Libya,,,,17528.31,55123101078.0,0.721,29.628,,3.043,,,,,,,,,,2377831.0,572275.5000000002,884139.5000000003,89961.50000000007,,,,11.0,0.063446015,,32.363636,49.14014946916,92.52828915211,31.06639730074,20.25577491965,7.70648396313,0.0
Libya,LBY,1999,Libya,,,,17397.988,55536336508.0,0.724,30.096,,2.972,,,,,,117.65274810791,,51.3968391418457,,2418457.0,579142.3802661404,921542.8094771152,93391.48069192884,,,,11.2,0.07270031,,32.681564,48.58368081128,94.79410581258,32.125190816140005,20.83531183851,8.826033118369999,0.0
Libya,LBY,2000,Libya,33.0,33.2,0.0,17742.348,57579668503.0,0.727,30.489,30.8,2.906,,,1.1552931,,,,,47.4500503540039,,2472655.0,589996.4999999985,962219.0,96715.99999999994,,,,11.4,0.08084326,,33.5141,48.01846683854,97.26432466442,33.267639770070005,21.48537480026,9.83525011162,0.0
Libya,LBY,2001,Libya,32.7,32.7,0.0,17111.484,56564631725.0,0.73,30.818,30.5,2.866,,,1.1278534,,,114.383926391602,,53.5710601806641,,2541470.0,602693.4999999997,1006703.0,100082.50000000004,,,,11.7,0.083281055,,34.053585,47.48322725906,100.19941492886,34.594134675330004,22.27654558258,10.83397644745,0.0
Libya,LBY,2002,Libya,32.6,32.3,0.0,16625.059,56022234980.0,0.733,31.169,30.3,2.831,,,1.1046985,,,110.903663635254,114.308647155762,60.3186683654785,,2613396.0,612760.8827653996,1054464.2982578424,103185.98025825764,,,,12.0,0.08748951,,34.61808,46.99228410995,103.67486011341,36.08877959287,23.1974728031,11.93916711497,0.0
Libya,LBY,2003,Libya,32.4,32.0,0.0,18417.885,63314109952.0,0.739,31.532,30.2,2.797,,,1.0766146,,,106.831657409668,110.30061340332,62.3365707397461,,2688483.0,620510.5000000008,1105643.5,105876.99999999994,,,,12.3,0.09158428,,35.057472,46.51722758781,107.53456040226,37.63713205696,24.17769935323,12.91795462945,0.0
Libya,LBY,2004,Libya,32.3,31.6,0.0,18846.242,66138956972.0,0.741,31.892,30.1,2.773,,,1.0451496,,,106.740173339844,,,,2766731.0,626126.4999999993,1159603.5000000014,108870.50000000007,,,,12.6,0.09655331,,35.540733,46.03028635339,111.61773218608,39.11910319817,25.14680544695,13.67031029238,0.0
Libya,LBY,2005,Libya,32.1,31.0,0.0,20644.027,73990151521.0,0.747,32.229,30.0,2.765,,,1.0115943,,,101.728118896484,102.042678833008,,,2847255.0,630520.6107242978,1215042.2133708084,112469.0197504298,,,,12.9,0.09771967,,36.057693,45.51352216911,115.71243170843,40.378857819859995,26.01219194632,14.1196271887,0.0
Libya,LBY,2006,Libya,31.9,30.4,0.0,21539.627,78799900129.0,0.751,32.61,29.8,2.699,,,0.9769682,,,104.356521606445,105.584159851074,,,2917165.0,630721.5000000001,1269837.4999999993,115192.49999999988,,,,13.3,0.09879135,,36.027397,44.98067007175,120.0137390428,41.479975607810005,26.81772635583,14.35230332305,0.0
Libya,LBY,2007,Libya,31.6,29.5,0.0,22416.11,83709120342.0,0.754,33.035,29.6,2.648,93.0,,0.9399027,,,,,,,2977731.0,627155.8946923198,1323493.7777680757,117511.98026820054,,,,13.6,0.09997914,,36.035503,44.45407206203,124.68406584639,42.57737018039,27.6471386997,14.149703274299998,0.0
Libya,LBY,2008,Libya,31.4,28.8,0.0,21909.43,83573471186.0,0.754,33.433,29.4,2.599,,,0.90887284,,,,,,,3041107.0,624355.0000000006,1376624.9999999998,120234.50000000007,,,,14.0,0.10006019,,36.05583,43.92891702296,129.44220390203,43.64363281158,28.46219573524,13.2002128372,0.0
Libya,LBY,2009,Libya,31.2,28.1,0.0,20513.562,79896086548.0,0.753,33.81,29.1,2.556,,,0.8813825,,,,,,,3104890.0,620961.4000026741,1428512.7699575883,123654.9800870593,,,,14.4,0.099394485,,36.17021,43.39971359636,134.00194198199,44.65815137325,29.22385035274,12.29294232339,0.0
Libya,LBY,2010,Libya,31.0,27.5,0.0,21109.969,83912660700.0,0.755,34.155,28.8,2.603,,,0.8597774,,,,,,,3169159.0,615590.5000000012,1479653.999999999,127994.49999999988,,7.82345646083589,11962.0,14.7,0.097112305,,36.294624,42.85322553434,138.09140340509,45.6123198213,29.89778044888,14.06837446663,0.0
Libya,LBY,2011,Libya,30.8,27.1,0.0,10739.093,41672273290.0,0.715,34.1,28.6,2.646,,,0.85028243,,,,,,,3092139.0,563895.091182041,1449516.2343873018,132029.52134922167,,7.8257428017214,12377.0,14.9,0.10198003,,35.971554,42.17330211269,141.78715098005,46.532990826639995,30.39112142564,15.62392156923,0.0
Libya,LBY,2012,Libya,30.6,26.8,0.0,20595.58,77854953189.0,0.758,33.94,28.3,2.68,,,0.82996094,,,,,,,3011504.0,516772.9999999998,1413267.4999999998,135625.49999999974,,7.83608017102307,10083.0,15.3,0.09306489,,36.135162,41.3432937873,145.32741132904,47.43906644718,30.69027535837,16.51387977854,0.0
Libya,LBY,2013,Libya,30.6,26.5,0.0,16553.143,63842648630.0,0.748,34.07,28.2,2.716,,,0.8199114,,,,,,,3075010.0,521930.4151335415,1454377.7635165793,139590.47730243497,,7.82447325066043,10229.0,15.6,0.092172064,,36.266304,40.46215172366,148.72550816293,48.34039730677,30.899815181359997,17.25090950212,0.0
Libya,LBY,2014,Libya,30.6,26.4,0.0,12495.793,49131511071.0,0.728,34.134,28.0,2.754,,,0.81254745,,,,,,,3137889.0,527539.9999999999,1493366.5,144294.00000000006,,7.83019870644684,10463.0,15.9,0.09402064,,36.376865,39.63373010222,151.95858279298,49.2299040575,31.130431968959996,17.94161893232,0.0
Libya,LBY,2015,Libya,30.6,26.3,0.0,12192.139,48717501321.0,0.728,34.129,27.9,2.711,,,0.79824305,,,,,,,3192878.0,531710.9167348522,1526607.760935469,149771.47654600724,,7.8358454574603,10299.0,,0.09283008,,36.533516,38.92889238082,155.09561621811,50.13672781695,31.547640253829996,18.67954323126,0.0
Libya,LBY,2016,Libya,30.7,26.2,58.0,11828.711,47991152062.0,0.725,34.108,27.9,2.673,,,0.7826155,,,,,,,3246011.0,537253.4999999999,1558600.4999999998,155396.0000000002,,7.8339596831744,10129.0,,0.08992554,,36.69919,38.28905247842,158.38543287566,51.260037691300006,32.33916918268,19.37331878532,0.0
Libya,LBY,2017,Libya,30.8,26.3,56.0,15424.056,63584342257.0,0.74,34.08,27.9,2.626,,,0.76539063,,,,,,,3300758.0,545498.4999999998,1591822.9999999998,160909.9999999999,,7.84191374962807,9944.0,,0.08827483,,36.79901,37.66066829784,161.78980372871,52.61960463107,33.448586738539994,20.07648617331,0.0
Libya,LBY,2018,Libya,30.9,26.4,68.0,16380.852,68633808773.0,0.743,34.045,27.9,2.581,,,0.74677473,,,,,,,3356095.0,555908.5828207459,1626573.7423313018,165965.02472591295,,7.84080811534897,9788.0,,0.087629534,,36.92603,37.06994973439,165.08824125748,54.03756294426999,34.702610037330004,20.79853378038,0.0
Libya,LBY,2019,Libya,31.1,26.6,67.0,14333.423,60949510655.0,0.737,34.008,28.1,2.539,,,0.7327767,,,,,,,3408223.0,566911.0000000001,1661158.5000000002,170471.4999999997,,7.82922990638145,9634.0,,0.08366576,,37.096546,36.53190355809,168.06966374593,55.33609664749,35.910435847209996,21.5311159182,0.0
Libya,LBY,2020,Libya,31.2,,66.0,9976.037,42996651437.0,0.688,33.468,28.3,2.507,,,0.72293115,,,,,,,3457415.0,578239.0000000002,1694877.0000000007,175054.49999999977,,7.82118206141532,9524.0,,0.08874778,,37.235504,36.05297692609,170.55650987858002,56.33118269894,36.88366006773,22.27563252376,0.0
Libya,LBY,2021,Libya,31.4,,66.0,12641.51,55179091532.0,0.729,33.774,28.5,2.462,,,0.7044506,,,,,,,3504230.0,589972.4999999997,1727845.999999999,179580.00000000015,,,,,0.09417027,,37.36176,35.9889722307,172.07112815413,55.89582567014,37.59831342244,23.0169688109,0.0
Libya,LBY,2022,Libya,31.7,,67.0,11456.077,50625917039.0,0.741,33.4,28.9,2.402,,,0.68992853,,,,,,,3549925.0,601663.4152568834,1760535.2520320492,185528.47386867696,,,,,0.09968224,,37.475677,36.04177324766,173.2161874371,55.43360115729,38.27638692568,23.78145143048,0.0
Libya,LBY,2023,Libya,32.1,,,12478.144,55767393124.0,0.721,33.149,29.3,2.355,,,0.69551665,,,,,,,3591018.0,612626.9999999998,1791171.000000001,193044.99999999997,,,,,0.10471839,,,35.802278722560004,174.41730238546,58.299113410699995,39.350268351,24.58571733012,0.0
Libya,LBY,2024,Libya,,,,12275.91,55429536117.0,,32.837,,,,,,,,,,,,3628053.0,623641.9140528112,1819404.749258796,200366.97238643255,,,,,0.10512973,,,,,,,,
