Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Madagascar,MDG,1960,Madagascar,,,,,4151435154.0,,,,,,,,,,,,,,2507421.0,415020.0827583568,844962.168492281,92850.51851514346,,,,,,,,,,,,,
Madagascar,MDG,1961,Madagascar,,,,,4236482815.0,,,,,,,,,,,,,,2575789.0,421951.5819072489,859983.6669359696,95710.51857887387,,,,,,,,,,,,,
Madagascar,MDG,1962,Madagascar,,,,,4332696292.0,,,,,,,,,,,,,,2645508.0,429897.4187495523,875354.8345582712,98619.48136095572,,,,,,,,,,,,,
Madagascar,MDG,1963,Madagascar,,,,,4292428143.0,,,,,,,,,,,,,,2716718.0,440009.50000000023,890948.5000000006,101634.50000000007,,,,,,,,,,,,,
Madagascar,MDG,1964,Madagascar,,,,,4462516417.0,,,,,,,,,,,,,,2789706.0,457379.58197630534,906748.1625167968,104577.518743466,,,,,,,,,,,,,
Madagascar,MDG,1965,Madagascar,,,,,4442334514.0,,,,,,,,,,,,,,2864912.0,481912.00000000006,922555.0,107499.5,,,,,,,,,,,,,
Madagascar,MDG,1966,Madagascar,,,,,4534048838.0,,,,,,,,,,,,,,2943136.0,508612.5000000003,938350.0,110660.0,,,,,,,,,,,,,
Madagascar,MDG,1967,Madagascar,,,,,4784716703.0,,,,,,,,,,,,,,3024895.0,536555.9999999986,954386.5,113974.50000000012,,,,,,,,,,,,,
Madagascar,MDG,1968,Madagascar,,,,,5111454772.0,,,,,,,,,,,,,,3110559.0,565655.0909249906,970760.1560427174,117503.51888784592,,,,,,,,,,,,,
Madagascar,MDG,1969,Madagascar,,,,,5301663360.0,,,,,,,,,,,,,,3200306.0,595762.0000000006,987479.0,121355.00000000016,,,,,,,,,,,,,
Madagascar,MDG,1970,Madagascar,,,,,5581403272.0,,,,,,,,,,,,,,3294454.0,626626.4999999993,1004759.5,125485.50000000012,,,,,,,,,,,,,
Madagascar,MDG,1971,Madagascar,,,,,5800716980.0,,,,,,,,,,,,,,3393337.0,658115.4999999986,1022723.0,129942.50000000028,,,,,,,,,,,,,
Madagascar,MDG,1972,Madagascar,,,,,5726895807.0,,,,,,,,,,,,,,3496366.0,690049.4999999984,1041436.0,134606.00000000023,,,,,,,,,,,,,
Madagascar,MDG,1973,Madagascar,,,,,5576938281.0,,,,,,,,,,,,,,3603309.0,721499.8998837033,1062372.8525837157,139128.9806942758,,,,,,,,,,,,,
Madagascar,MDG,1974,Madagascar,,,,,5688860706.0,,,,,,,,,,,,,,3714351.0,747851.499999999,1090867.0000000002,143032.50000000006,,,,,,,,,,,,,
Madagascar,MDG,1975,Madagascar,,,,,5760465920.0,,,,,,,,,,,,,,3829407.0,769047.1004133397,1127011.147152176,146051.51906973074,,,,,,,,,,,,,
Madagascar,MDG,1976,Madagascar,,,,,5583685378.0,,,,,,,,,,,,,,3948396.0,789465.4999999983,1166103.0,148224.9999999999,,,,,,,,,,,,,
Madagascar,MDG,1977,Madagascar,,,,,5715683720.0,,,,,,,,,,,,,,4071392.0,809698.4999999986,1207457.9999999993,149552.9999999997,,,,,,,,,,,,,
Madagascar,MDG,1978,Madagascar,,,,,5563543310.0,,,,,,,,,,,,,,4198539.0,829743.0000000006,1251054.0000000002,150205.9999999999,,,,,,,,,,,,,
Madagascar,MDG,1979,Madagascar,,,,,6111811047.0,,,,,,,,,,,,,,4329816.0,849884.499999999,1296752.4999999998,150516.49999999997,,,,,,,,,,,,,
