Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Malawi,MWI,1960,Malawi,,,,,944667422.0,,,,,,,,,,,,,,1883966.0,371952.59871531615,651462.1728964782,60884.01615847002,,,,,,,,,,,,,
Malawi,MWI,1961,Malawi,,,,,1016836214.0,,,,,,,,,,,,,,1928606.0,382189.4009156356,668902.8265838572,62031.483918051636,,,,,,,,,,,,,
Malawi,MWI,1962,Malawi,,,,,1023632388.0,,,,,,,,,,,,,,1974926.0,391958.5992337442,687203.6739821327,63171.01599326147,,,,,,,,,,,,,
Malawi,MWI,1963,Malawi,,,,,1009392858.0,,,,,,,,,,,,,,2022959.0,399377.5000000007,706201.0,64344.50000000006,,,,,,,,,,,,,
Malawi,MWI,1964,Malawi,,,,,1036253845.0,,,,,,,,,,,,,,2072319.0,405779.4020953336,725466.3249626809,65647.98416074364,,,,,,,,,,,,,
Malawi,MWI,1965,Malawi,,,,,1177355281.0,,,,,,,,,,,,,,2122767.0,410848.0967718301,744918.6754593593,67067.51579719197,,,,,,,,,,,,,
Malawi,MWI,1966,Malawi,,,,,1333343510.0,,,,,,,,,,,,,,2174711.0,413824.99999999994,764689.9999999997,68622.00000000007,,,,,,,,,,,,,
Malawi,MWI,1967,Malawi,,,,,1430431584.0,,,,,,,,,,,,,,2228387.0,417124.5,784862.9999999999,70373.50000000004,,,,,,,,,,,,,
Malawi,MWI,1968,Malawi,,,,,1402923252.0,,,,,,,,,,,,,,2283559.0,420619.49999999977,805505.5000000005,72169.0000000001,,,,,,,,,,,,,
Malawi,MWI,1969,Malawi,,,,,1485448247.0,,,,,,,,,,,,,,2339742.0,423985.09060509456,826733.1766718674,73735.01575708248,,,,,,,,,,,,,
Malawi,MWI,1970,Malawi,,,,,1492567970.0,,,,,,,,,,,,,,2397242.0,427466.4999999998,848825.0,75034.49999999997,,,,,,,,,,,,,
Malawi,MWI,1971,Malawi,,,,,1734641056.0,,,,,,,,,,,,,,2456949.0,431815.49999999977,871980.5000000001,76043.0000000001,,,,,,,,,,,,,
Malawi,MWI,1972,Malawi,,,,,1842732594.0,,,,,,,,,,,,,,2519305.0,437590.5868474812,895844.177795896,76817.51524577511,,,,,,,,,,,,,
Malawi,MWI,1973,Malawi,,,,,1885127635.0,,,,,,,,,,,,,,2584955.0,446681.0864001669,918634.6776887184,77684.01502618325,,,,,,,,,,,,,
Malawi,MWI,1974,Malawi,,,,,2020403708.0,,,,,,,,,,,,,,2654633.0,458209.82739240146,941439.1453599628,78972.47025107784,,,,,,,,,,,,,
Malawi,MWI,1975,Malawi,,,,,2143382122.0,,,,,,,,,,,,,,2728759.0,472437.0865662903,963817.6766036644,80859.51481617005,,,,,,,,,,,,,
Malawi,MWI,1976,Malawi,,,,,2250502600.0,,,,,,,,,,,,,,2808124.0,489888.08722693287,985502.6754734964,83310.51483383823,,,,,,,,,,,,,
Malawi,MWI,1977,Malawi,,,,,2361183024.0,,,,,,,,,,,,,,2895533.0,508979.0000000003,1010307.0000000008,86358.99999999999,,,,,,,,,,,,,
Malawi,MWI,1978,Malawi,,,,,2591281916.0,,,,,,,,,,,,,,2995510.0,532291.0888481576,1036574.673021401,91722.01530991647,,,,,,,,,,,,,
Malawi,MWI,1979,Malawi,,,,,2705198653.0,,,,,,,,,,,,,,3108092.0,560308.5000000001,1062681.9999999995,99696.00000000007,,,,,,,,,,,,,
Malawi,MWI,1980,Malawi,,,,,2716201951.0,,,,,,,,,,,,,,3230078.0,590763.4999999997,1090396.5000000002,108445.0,,,,2.5,,,,,,,,,
Malawi,MWI,1981,Malawi,,,,,2572511628.0,,,,,,,,,,,,,,3359341.0,622723.4073146494,1120088.3332874903,117610.98249493244,,,,2.6,,,,,,,,,
Malawi,MWI,1982,Malawi,,,,,2636913267.0,,,,,,,,,,,,,,3494487.0,655913.0938496985,1151510.164760974,127381.01822599676,,,,2.6,,,,,,,,,
Malawi,MWI,1983,Malawi,,,,,2734972402.0,,,,,,,,,,,,,,3634918.0,690134.9050687108,1185164.3369750932,137595.98107302823,,,,2.7,,,,,,,,,
Malawi,MWI,1984,Malawi,,,,,2881575238.0,,,,,,,,,,,,,,3779583.0,724896.9999999983,1221748.5000000005,147719.5000000001,,,,2.8,,,,,,,,,
Malawi,MWI,1985,Malawi,,,,,3013291524.0,,,,,,,,,,,,,,3927581.0,759539.3066139672,1261230.1788786333,157439.9599142681,,,,2.9,,,,,,,,,
Malawi,MWI,1986,Malawi,,,,,3006818901.0,,,,,,,,,,,,,,4074484.0,792117.9999999986,1303052.0000000002,165915.0000000001,,,,2.9,,,,,,,,,
Malawi,MWI,1987,Malawi,,,,,3055686904.0,,,,,,,,,,,,,,4274793.0,847918.9008233978,1353799.8416531703,183993.47847925287,,,,3.0,,,,,,,,,
Malawi,MWI,1988,Malawi,,,,,3152774981.0,,,,,,,,,,,,,,4512335.0,906348.100430054,1421481.1575105966,199342.5220886216,,,,3.1,,,,,,,,,
Malawi,MWI,1989,Malawi,,,,,3195170015.0,,,,,,,,,,,,,,4728326.0,940368.9005600596,1497840.34160987,201433.47869928193,,,,3.2,,,,,,,,,
Malawi,MWI,1990,Malawi,,,,1047.4644,3377048507.0,0.306,78.29,,6.74,,,,,,66.749870300293,12.3427400588989,0.251720011234283,26.0038795471191,4916447.0,966576.0983002654,1566300.6592919305,202696.5206141268,,,,3.3,24.025108,,54.578266,25.07471013027,46.42417456668,3.865027155,6.66425268615,3662.35706919362,33961.29743902931
Malawi,MWI,1991,Malawi,,,,1104.3905,3671872668.0,0.31,78.248,,6.681,,,,,,68.3752975463867,12.9152898788452,0.262430012226105,28.2126998901367,5067519.0,984058.097094662,1623284.660165622,202598.01998986263,,,,3.4,25.618668,,55.26078,24.9003742375,45.93856986713,3.82199004924,6.68850429633,4625.6694199257,33989.82035173274
Malawi,MWI,1992,Malawi,,,,994.0365,3402615041.0,0.318,78.209,,6.63,90.2,62.8,,,,80.9889221191406,,0.270759999752045,30.9318695068359,5214401.0,1000384.5959251698,1678358.1609348955,202430.0194106687,,,,3.6,26.175419,,55.820965,24.69122212497,45.621651443249995,3.78913058356,6.71499469832,5596.57436715839,33994.7508025792
Malawi,MWI,1993,Malawi,,,,1074.5848,3732391067.0,0.324,78.174,,6.573,,,,,,88.2827301025391,13.2136898040772,0.247380003333092,30.7789402008057,5287982.0,1004099.5949416612,1708680.6615626393,199469.01886059952,,,,3.7,26.394873,,56.307976,24.47521801304,45.32993513885,3.75869691623,6.728275912580001,6500.8982765152105,33985.75203019339
Malawi,MWI,1994,Malawi,,,,975.8497,3350187439.0,0.325,78.147,,6.488,,,,,,97.0009002685547,12.3009099960327,0.297930002212524,33.1299591064453,5223593.0,984865.5000000022,1692801.4999999993,191378.99999999988,,,,3.8,25.786018,,56.716278,24.18073610126,45.44112230588,3.75278104186,6.766762791,7267.44014749949,33965.65587314331
Malawi,MWI,1995,Malawi,,,,1140.7561,3910634175.0,0.37,78.13,,6.392,,,,,,144.474197387695,18.7646293640137,0.33772000670433,44.8218994140625,5212841.0,980305.0940279098,1692026.1622940502,185518.0177943291,,,,3.9,23.781378,,56.918453,23.76523682807,46.26029517712,3.78769969756,6.85945898948,7844.87144877559,33925.316249692725
