Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Mali,MLI,1967,Mali,,,,,2208088439.0,,,,,,,,,,,,,,2989230.0,553397.0,1118377.0000000002,90487.50000000016,,,,,,,,,,,,,
Mali,MLI,1968,Mali,,,,,2289973416.0,,,,,,,,,,,,,,3037224.0,560133.9077885086,1133598.3133824975,94148.98450081634,,,,,,,,,,,,,
Mali,MLI,1969,Mali,,,,,2295263241.0,,,,,,,,,,,,,,3086522.0,567444.5000000001,1148298.5,97956.5,,,,,,,,,,,,,
Mali,MLI,1970,Mali,,,,,2436122511.0,,,,,,,,,,,,,,3137705.0,576062.5,1162293.5000000005,101852.5,,,,,,,,,,,,,
Mali,MLI,1971,Mali,,,,,2498706401.0,,,,,,,,,,,,,,3190086.0,585190.5,1175560.5000000002,105840.50000000004,,,,,,,,,,,,,
Mali,MLI,1972,Mali,,,,,2644731214.0,,,,,,,,,,,,,,3244517.0,594112.0,1189371.5,109930.0,,,,,,,,,,,,,
Mali,MLI,1973,Mali,,,,,2606247312.0,,,,,,,,,,,,,,3302687.0,604244.3170446315,1203590.135572448,114125.46544466188,,,,,,,,,,,,,
Mali,MLI,1974,Mali,,,,,2566402323.0,,,,,,,,,,,,,,3363178.0,615918.8168640442,1216616.1382540143,118366.4648051741,,,,,,,,,,,,,
Mali,MLI,1975,Mali,,,,,2864747854.0,,,,,,,,,,,,,,3424941.0,626908.5000000001,1229772.5000000002,122590.99999999977,,,,,,,,,,,,,
Mali,MLI,1976,Mali,,,,,3255025017.0,,,,,,,,,,,,,,3486964.0,636505.0000000001,1242914.5000000002,126697.50000000012,,,,,,,,,,,,,
Mali,MLI,1977,Mali,,,,,3461675071.0,,,,,,,,,,,,,,3551551.0,646648.1820748689,1256217.8537096474,130725.03680787235,,,,,,,,,,,,,
Mali,MLI,1978,Mali,,,,,3411014276.0,,,,,,,,,,,,,,3620008.0,657812.409142133,1270344.8245383953,134751.4813879578,,,,,,,,,,,,,
Mali,MLI,1979,Mali,,,,,3765612310.0,,,,,,,,,,,,,,3691617.0,669578.5906890652,1284497.1739748702,138809.0188005714,,,,,,,,,,,,,
Mali,MLI,1980,Mali,,,,,3602717951.0,,,,,,,,,,,,,,3767945.0,682520.4999999995,1299470.0000000005,142962.99999999997,,,,2.8,,,,,,,,,
Mali,MLI,1981,Mali,,,,,3657075914.0,,,,,,,,,,,,,,3847819.0,696529.5905096616,1315004.6708766278,147216.01912980012,,,,2.8,,,,,,,,,
Mali,MLI,1982,Mali,,,,,3387241016.0,,,,,,,,,,,,,,3930334.0,711497.9999999999,1330883.0,151570.49999999985,,,,2.9,,,,,,,,,
Mali,MLI,1983,Mali,,,,,3448918400.0,,,,,,,,,,,,,,4016438.0,727865.0906107713,1347959.6678053627,156059.51942760235,,,,3.0,,,,,,,,,
