Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Mauritania,MRT,1961,Mauritania,,,,,1064724230.0,,,,,,,,,,,,,,428491.0,86164.60054423595,155488.68143751146,10025.511698625776,,,,,,,,,,,,,
Mauritania,MRT,1962,Mauritania,,,,,1072460605.0,,,,,,,,,,,,,,439996.0,88514.29882931011,159595.63727934504,10657.475778243926,,,,,,,,,,,,,
Mauritania,MRT,1963,Mauritania,,,,,1051185480.0,,,,,,,,,,,,,,452120.0,90758.29926059626,163815.13767332194,11308.474987890404,,,,,,,,,,,,,
Mauritania,MRT,1964,Mauritania,,,,,1342268056.0,,,,,,,,,,,,,,464900.0,92458.40056098042,168117.31918980525,11969.98712627758,,,,,,,,,,,,,
Mauritania,MRT,1965,Mauritania,,,,,1558887711.0,,,,,,,,,,,,,,478361.0,93404.90236986034,172650.31953972045,12638.986789279648,,,,,,,,,,,,,
Mauritania,MRT,1966,Mauritania,,,,,1562488149.0,,,,,,,,,,,,,,492539.0,94108.40446603775,177445.8198662238,13319.486478749412,,,,,,,,,,,,,
Mauritania,MRT,1967,Mauritania,,,,,1618224178.0,,,,,,,,,,,,,,507398.0,94967.5,182380.49999999997,14010.000000000024,,,,,,,,,,,,,
Mauritania,MRT,1968,Mauritania,,,,,1783225478.0,,,,,,,,,,,,,,522889.0,95965.5,187487.49999999997,14717.000000000016,,,,,,,,,,,,,
Mauritania,MRT,1969,Mauritania,,,,,1805489620.0,,,,,,,,,,,,,,538969.0,97089.59006973504,192777.17883883748,15448.514331542545,,,,,,,,,,,,,
Mauritania,MRT,1970,Mauritania,,,,,2021894363.0,,,,,,,,,,,,,,555554.0,98352.50000000004,198229.5000000001,16198.000000000007,,,,,,,,,,,,,
Mauritania,MRT,1971,Mauritania,,,,,2059155580.0,,,,,,,,,,,,,,572542.0,99787.08714390136,203816.17799233773,16952.014804167025,,,,,,,,,,,,,
Mauritania,MRT,1972,Mauritania,,,,,2044063867.0,,,,,,,,,,,,,,589896.0,101447.49999999993,209493.00000000003,17714.49999999997,,,,,,,,,,,,,
Mauritania,MRT,1973,Mauritania,,,,,1950348507.0,,,,,,,,,,,,,,607652.0,103544.5,215097.49999999988,18490.499999999996,,,,,,,,,,,,,
Mauritania,MRT,1974,Mauritania,,,,,2187561810.0,,,,,,,,,,,,,,625847.0,106565.41486304568,220175.82409772344,19278.48459808499,,,,,,,,,,,,,
