Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Mauritius,MUS,1960,Mauritius,,,,,956645875.0,,,,,,,,,,,,,,333926.0,58296.41271058157,112554.83146740375,12662.481039989329,,,,,,,,,,,,,
Mauritius,MUS,1961,Mauritius,,,,,1175230799.0,,,,,,,,,,,,,,332222.0,56897.014008743434,113015.49214051644,13048.33993801176,,,,,,,,,,,,,
Mauritius,MUS,1962,Mauritius,,,,,1184708882.0,,,,,,,,,,,,,,340365.0,56962.92776838503,116434.71285905382,13800.94956069652,,,,,,,,,,,,,
Mauritius,MUS,1963,Mauritius,,,,,1349318561.0,,,,,,,,,,,,,,349177.0,58682.40916489118,119155.60778707093,14354.257761849442,,,,,,,,,,,,,
Mauritius,MUS,1964,Mauritius,,,,,1256357353.0,,,,,,,,,,,,,,358127.0,61802.557128380024,121454.0647358195,14784.403807069782,,,,,,,,,,,,,
Mauritius,MUS,1965,Mauritius,,,,,1296522845.0,,,,,,,,,,,,,,366632.0,65293.4738864262,123592.79056612268,15246.382313253724,,,,,,,,,,,,,
Mauritius,MUS,1966,Mauritius,,,,,1250260258.0,,,,,,,,,,,,,,374746.0,69014.54891944044,125649.4881000996,15751.820632721854,,,,,,,,,,,,,
Mauritius,MUS,1967,Mauritius,,,,,1305073285.0,,,,,,,,,,,,,,382493.0,72782.91258927643,127770.54823746468,16260.443051123864,,,,,,,,,,,,,
Mauritius,MUS,1968,Mauritius,,,,,1215158229.0,,,,,,,,,,,,,,389891.0,76448.55953539965,130104.846831013,16731.3478494238,,,,,,,,,,,,,
Mauritius,MUS,1969,Mauritius,,,,,1275101630.0,,,,,,,,,,,,,,396984.0,80046.33158383163,132693.23256135624,17154.28287609048,,,,,,,,,,,,,
