Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Morocco,MAR,1966,Morocco,,,,,11518527478.0,,,,,,,,,,,,,,6793264.0,1143196.0,2308948.5,225066.0,,,,,,,,,,,,,
Morocco,MAR,1967,Morocco,,,,,12673702326.0,,,,,,,,,,,,,,6975453.0,1185469.4150256326,2351159.331469057,234559.98318675623,,,,,,,,,,,,,
Morocco,MAR,1968,Morocco,,,,,13927351920.0,,,,,,,,,,,,,,7161854.0,1232563.0000000002,2394610.0000000005,243957.00000000052,,,,,,,,,,,,,
Morocco,MAR,1969,Morocco,,,,,15091980118.0,,,,,,,,,,,,,,7351503.0,1283812.5000000002,2439973.0000000005,252677.50000000003,,,,,,,,,,,,,
Morocco,MAR,1970,Morocco,,,,,15803334620.0,,,,,,,,,,,,,,7545474.0,1338979.5000000002,2487696.4999999995,260415.00000000012,,,,,,,,,,,,,
Morocco,MAR,1971,Morocco,,,,,16687830454.0,,,,,,,,,,,,,,7740622.0,1398717.5000000014,2536684.4999999995,267293.49999999994,,,,,,,,,,,,,
Morocco,MAR,1972,Morocco,,,,,17094552490.0,,,,,,,,,,,,,,7938754.0,1460617.0000000033,2587649.4999999986,273182.9999999999,,,,,,,,,,,,,
Morocco,MAR,1973,Morocco,,,,,17703000748.0,,,,,,,,,,,,,,8142370.0,1523071.9064724452,2643243.8376858425,277741.9829446469,,,,,,,,,,,,,
Morocco,MAR,1974,Morocco,,,,,18693669512.0,,,,,,,,,,,,,,8349271.0,1581041.0946813845,2710934.1623455607,280862.0168195535,,,,,,,,,,,,,
Morocco,MAR,1975,Morocco,,,,,20106578472.0,,,,,,,,,,,,,,8560719.0,1637793.5956574809,2788137.1628448013,282667.01650953724,,,,,,,,,,,,,
Morocco,MAR,1976,Morocco,,,,,22280658838.0,,,,,,,,,,,,,,8775638.0,1699841.403149978,2868119.8365862505,283279.9838598639,,,,,,,,,,,,,
Morocco,MAR,1977,Morocco,,,,,23630681317.0,,,,,,,,,,,,,,8997739.0,1765088.901914868,2954806.8358028145,282986.9842745498,,,,,,,,,,,,,
Morocco,MAR,1978,Morocco,,,,,24158274887.0,,,,,,,,,,,,,,9228971.0,1831880.9007537817,3048434.3348443005,282335.4847038482,,,,,,,,,,,,,
Morocco,MAR,1979,Morocco,,,,,25316371177.0,,,,,,,,,,,,,,9467703.0,1898166.399755705,3147004.3338031755,281994.9851075287,,,,,,,,,,,,,
Morocco,MAR,1980,Morocco,,,,,26238435140.0,,,,,,,,,,,,,,9718479.0,1964460.4999999984,3250639.000000002,282597.00000000006,,,,5.2,,,,,,,,,
Morocco,MAR,1981,Morocco,,,,,25780985097.0,,,,,,,,,,,,,,9979764.0,2030178.89828522,3359244.8316971823,284257.4857583063,,,,5.3,,,,,,,,,
Morocco,MAR,1982,Morocco,,,,,28090283843.0,,,,,,,,,,,,,,10246912.0,2094550.499999994,3472227.4999999977,287037.99999999994,,,,5.5,,,,,,,,,
Morocco,MAR,1983,Morocco,,,,,28479775173.0,,,,,,,,,,,,,,10515769.0,2156079.9999999995,3589560.0,291424.49999999994,,,,5.6,,,,,,,,,
Morocco,MAR,1984,Morocco,,,,,30307717167.0,,,,,,,,,,,,,,10779914.0,2213618.4999999977,3710096.499999998,298102.99999999994,,,,5.8,,,,,,,,,
Morocco,MAR,1985,Morocco,,,,,32128499365.0,,,,,,,,,,,,,,11038197.0,2268484.499999999,3833860.499999999,307386.00000000006,,,,5.9,,,,,,,,,
Morocco,MAR,1986,Morocco,,,,,35107166524.0,,,,,,,,,,,,,,11280931.0,2318916.5000000047,3958324.999999999,319154.00000000006,,,,6.1,,,,,,,,,
Morocco,MAR,1987,Morocco,,,,,34993066802.0,,,,,,,,,,,,,,11508180.0,2364969.4999999986,4083540.4999999986,333290.50000000047,,,,6.2,,,,,,,,,
Morocco,MAR,1988,Morocco,,,,,39148576061.0,,,,,,,,,,,,,,11732082.0,2411463.499999997,4211494.499999999,349709.00000000006,,,,6.4,,,,,,,,,
Morocco,MAR,1989,Morocco,,,,,40262823843.0,,,,,,,,,,,,,,11952566.0,2459782.602897678,4340570.181574827,368200.5154025717,,,,6.6,,,,,,,,,
Morocco,MAR,1990,Morocco,,,,4418.66,41636515790.0,0.451,23.404,,4.06,,,,,,53.6772613525391,30.3793296813965,7.95197010040283,40.9147682189941,12171780.0,2509770.5000000047,4471621.499999997,388501.99999999953,,,,6.8,0.042692456,,50.550552,32.70233312554,74.74871327293,29.45272501817,19.14168161802,8.18080370662,98.5987211765
Morocco,MAR,1991,Morocco,,,,4656.126,44641043473.0,0.457,23.574,,3.947,,,,,,51.6988296508789,29.2688808441162,7.65607976913452,38.0052604675293,12385024.0,2559013.9999999944,4602635.5,410675.5,,,,6.9,0.050697967,,49.377125,32.83513176488,75.88648301998,29.797393949079996,20.35801121272,9.80303059678,85.22979084292001
Morocco,MAR,1992,Morocco,,,,4483.2495,43704591004.0,0.461,23.752,,3.757,37.3,8.0,,,,53.5925407409668,29.6276893615723,7.76493978500366,37.297191619873,12593605.0,2607427.999999999,4734342.000000001,434774.9999999998,,,,7.1,0.058200296,,48.314335,32.93649095709,77.04463538578999,30.13552529999,21.48932499098,11.56657629436,72.92042164984001
Morocco,MAR,1993,Morocco,,,,4379.764,43380918430.0,0.468,23.942,,3.548,,,,,,56.9319305419922,30.3146591186523,8.2710599899292,38.0405502319336,12796952.0,2656498.3962058173,4868361.309784343,460182.48201984115,,,,7.3,0.06423048,,47.54717,32.99249341068,78.22165902555001,30.46458231448,22.47685822345,13.45031449003,61.30742459039
Morocco,MAR,1994,Morocco,,,,4771.093,47974090254.0,0.48,24.145,,3.413,,,,,,60.8293190002441,31.3470191955566,8.5750904083252,38.5589485168457,12992856.0,2707112.5000000023,5004549.0,485928.5000000006,,,,7.5,0.07053322,,47.135513,32.987624926749994,79.40572256981,30.77922000898,23.25249869008,15.41905892516,50.87635211419
Morocco,MAR,1995,Morocco,,,,4444.2285,45380875814.0,0.484,24.339,,3.295,44.7,12.0,,,,64.7145614624023,31.9147701263428,9.17057037353516,40.6782112121582,13191770.0,2754770.604412473,5143153.19493795,511785.5193979098,,,,7.8,0.07468689,,46.922203,32.90762720005,80.58243845587,31.07089150519,23.74373376202,17.44788495455,41.48676933969
Morocco,MAR,1996,Morocco,,,,4916.48,50995795428.0,0.495,24.516,,3.229,,,,,,67.7988204956055,32.3791809082031,,42.9451904296875,13391882.0,2798209.5000000065,5282485.000000001,537751.5000000003,,,,8.0,0.07862059,,46.916813,32.771781870059996,81.8270993348,31.36860402771,24.04695605251,19.50599530647,32.257958960059995
Morocco,MAR,1997,Morocco,,,,4766.1104,50199902853.0,0.5,24.69,,3.147,42.0,,,,,69.9875717163086,32.9757499694824,9.42784976959229,45.1121406555176,13588946.0,2841100.9999999986,5423321.5,563316.4999999993,,,,8.3,0.08175776,,47.093636,32.61845221252,83.13423485182,31.67156444847,24.2916484322,21.5829373034,23.08810924606
Morocco,MAR,1998,Morocco,,,,5033.9233,53833649265.0,0.507,24.864,,3.037,,,,,,73.0805435180664,32.6510581970215,7.60536003112793,47.4278793334961,13786803.0,2882682.499999994,5567715.0,588133.4999999997,,,,8.5,0.08607901,,47.423916,32.44883375144,84.52962240882,31.98603198504,24.51208873219,23.61848817418,14.89277071009
Morocco,MAR,1999,Morocco,,,,5043.665,54747239388.0,0.517,25.031,,2.882,,,,,,79.6250762939453,33.4299812316895,7.9677300453186,49.6939392089844,13982606.0,2922441.895497241,5714830.795645003,611922.4781184394,,,,8.8,0.09131869,,47.88052,32.26469145112,86.01582688128,32.31513505225,24.73747142687,25.58440000602,8.57109344151
Morocco,MAR,2000,Morocco,35.2,36.0,0.0,5100.1157,56160912155.0,0.528,25.195,32.9,2.774,,,2.1545584,18.344486,,86.2394790649414,35.1672592163086,8.55527973175049,52.5213317871094,14172714.0,2959206.4999999977,5863359.0,634476.9999999993,,,,9.1,0.0945586,0.0,48.369785,32.06944286681,87.59185976255,32.65955651191,24.99705332566,27.466413889629997,5.06857737201
Morocco,MAR,2001,Morocco,35.0,35.3,0.0,5417.5786,60497559620.0,0.539,25.365,32.5,2.686,,,2.0676346,18.18802,,92.165657043457,36.7545204162598,9.05414009094238,54.8915481567383,14359470.0,2994874.8957177782,6012949.790627725,656877.9771273608,,,,9.4,0.09484758,0.0,48.86801,31.87702589035,89.3621135812,33.05005995479,25.31196699595,29.232648714249997,3.39701367115
Morocco,MAR,2002,Morocco,34.8,34.7,0.0,5544.072,62754238001.0,0.55,24.788,32.2,2.617,,,1.9934179,18.033615,,98.2464370727539,38.5802192687988,9.30527973175049,57.1392097473145,14542493.0,3030679.1042008074,6161876.711857646,680883.0234101209,,,,9.7,0.09523331,0.0,49.284397,31.69300363138,91.34141723247,33.48966031832,25.66439908351,30.92645879227,1.99892559161
