Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Mozambique,MOZ,1980,Mozambique,,,,,2851825334.0,,,,,,,,,,,,,,5894255.0,1129579.308359274,2057507.6509299895,187738.9681488217,,,,2.5,,,,,,,,,
Mozambique,MOZ,1981,Mozambique,,,,,2994416685.0,,,,,,,,,,,,,,6007156.0,1111389.1850108749,2109303.8511318583,192493.5320440375,,,,2.5,,,,,,,,,
Mozambique,MOZ,1982,Mozambique,,,,,2787801950.0,,,,,,,,,,,,,,6133499.0,1101439.0897888048,2165286.6765131685,197572.51610602,,,,2.6,,,,,,,,,
Mozambique,MOZ,1983,Mozambique,,,,,2350116987.0,,,,,,,,,,,,,,6256605.0,1097705.5877237408,2217510.177213535,202386.01617378904,,,,2.7,,,,,,,,,
Mozambique,MOZ,1984,Mozambique,,,,,2197359386.0,,,,,,,,,,,,,,6381473.0,1102259.5863640406,2266865.677613043,206822.5162049198,,,,2.8,,,,,,,,,
Mozambique,MOZ,1985,Mozambique,,,,,2219332908.0,,,,,,,,,,,,,,6507072.0,1115064.5856809784,2312852.677718387,210795.01619737863,,,,2.9,,,,,,,,,
Mozambique,MOZ,1986,Mozambique,,,,,2168288339.0,,,,,,,,,,,,,,6626474.0,1133926.5000000002,2351587.5000000005,214255.5,,,,3.0,,,,,,,,,
Mozambique,MOZ,1987,Mozambique,,,,,2487026734.0,,,,,,,,,,,,,,6657609.0,1144347.4999999993,2353880.9999999995,214485.00000000012,,,,3.1,,,,,,,,,
Mozambique,MOZ,1988,Mozambique,,,,,2690962806.0,,,,,,,,,,,,,,6645260.0,1154054.4999999995,2337916.9999999995,212726.0000000001,,,,3.2,,,,,,,,,
Mozambique,MOZ,1989,Mozambique,,,,,2865875511.0,,,,,,,,,,,,,,6694526.0,1179375.5880850705,2341860.674908625,212441.01586677085,,,,3.3,,,,,,,,,
