Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Niger,NER,1960,Niger,,,,,2602180352.0,,,,,,,,,,,,,,1838350.0,375400.7042052412,581609.8163759983,24407.013276586764,,,,,,,,,,,,,
Niger,NER,1961,Niger,,,,,2720485699.0,,,,,,,,,,,,,,1887543.0,387789.3972766719,597668.3416808674,26706.992925461076,,,,,,,,,,,,,
Niger,NER,1962,Niger,,,,,3000116629.0,,,,,,,,,,,,,,1938354.0,399341.4999999993,614471.9999999999,29118.500000000004,,,,,,,,,,,,,
Niger,NER,1963,Niger,,,,,3282974505.0,,,,,,,,,,,,,,1990612.0,407941.3975336745,632062.3412391911,31534.492079196796,,,,,,,,,,,,,
Niger,NER,1964,Niger,,,,,3287276511.0,,,,,,,,,,,,,,2044130.0,414243.4999999992,650544.4999999997,33814.49999999999,,,,,,,,,,,,,
Niger,NER,1965,Niger,,,,,3514748216.0,,,,,,,,,,,,,,2098600.0,420984.3996987519,669948.3403820788,35911.991443821666,,,,,,,,,,,,,
Niger,NER,1966,Niger,,,,,3501304403.0,,,,,,,,,,,,,,2154007.0,428282.4999999994,690293.9999999999,37842.49999999993,,,,,,,,,,,,,
Niger,NER,1967,Niger,,,,,3505606409.0,,,,,,,,,,,,,,2210445.0,435675.49999999977,711680.0000000001,39592.49999999993,,,,,,,,,,,,,
Niger,NER,1968,Niger,,,,,3519050222.0,,,,,,,,,,,,,,2267847.0,443035.4999999991,734110.5000000003,41221.000000000015,,,,,,,,,,,,,
Niger,NER,1969,Niger,,,,,3325997034.0,,,,,,,,,,,,,,2326255.0,450388.4999999991,757405.0000000001,42877.5,,,,,,,,,,,,,
Niger,NER,1970,Niger,,,,,3427632150.0,,,,,,,,,,,,,,2385943.0,457944.1919342551,781342.8274775749,44633.0187066576,,,,,,,,,,,,,
Niger,NER,1971,Niger,,,,,3622298371.0,,,,,,,,,,,,,,2446355.0,465970.5952377309,805400.6646123854,46456.5094950466,,,,,,,,,,,,,
Niger,NER,1972,Niger,,,,,3435160573.0,,,,,,,,,,,,,,2508137.0,475274.0000000011,829075.0000000005,48393.50000000014,,,,,,,,,,,,,
Niger,NER,1973,Niger,,,,,2849548703.0,,,,,,,,,,,,,,2572276.0,487877.90516610426,850774.8346260595,50487.490186222254,,,,,,,,,,,,,
Niger,NER,1974,Niger,,,,,3099603386.0,,,,,,,,,,,,,,2638621.0,503084.9046689719,871121.8349285789,52705.49001268263,,,,,,,,,,,,,
Niger,NER,1975,Niger,,,,,3013025467.0,,,,,,,,,,,,,,2707557.0,518414.5,892789.5000000001,55046.99999999997,,,,,,,,,,,,,
Niger,NER,1976,Niger,,,,,3033459908.0,,,,,,,,,,,,,,2779313.0,533731.5960186207,915990.6647872452,57534.01035040145,,,,,,,,,,,,,
Niger,NER,1977,Niger,,,,,3268995364.0,,,,,,,,,,,,,,2854228.0,549318.5000000012,940385.4999999997,60174.499999999905,,,,,,,,,,,,,
Niger,NER,1978,Niger,,,,,3709414436.0,,,,,,,,,,,,,,2933212.0,565178.4036587883,965925.8353467396,62966.98926654651,,,,,,,,,,,,,
Niger,NER,1979,Niger,,,,,3974526140.0,,,,,,,,,,,,,,3016765.0,581220.4999999986,992648.5000000003,65914.00000000016,,,,,,,,,,,,,
Niger,NER,1980,Niger,,,,,3876950088.0,,,,,,,,,,,,,,3104020.0,597120.5000000013,1020262.5000000003,68988.50000000006,,,,2.5,,,,,,,,,
Niger,NER,1981,Niger,,,,,3870062063.0,,,,,,,,,,,,,,3193661.0,612800.904059807,1048320.3358748256,72134.98870653642,,,,2.5,,,,,,,,,
Niger,NER,1982,Niger,,,,,3954215023.0,,,,,,,,,,,,,,3285268.0,628425.0000000001,1076885.9999999998,75337.49999999999,,,,2.5,,,,,,,,,
Niger,NER,1983,Niger,,,,,3801438868.0,,,,,,,,,,,,,,3379264.0,644074.5952980579,1106305.1636902536,78598.01162945703,,,,2.6,,,,,,,,,
Niger,NER,1984,Niger,,,,,3162043118.0,,,,,,,,,,,,,,3475759.0,659891.4999999993,1136773.0000000007,81888.99999999997,,,,2.6,,,,,,,,,
Niger,NER,1985,Niger,,,,,3406093636.0,,,,,,,,,,,,,,3575705.0,676264.9999999994,1168848.5000000007,85226.00000000007,,,,2.7,,,,,,,,,
Niger,NER,1986,Niger,,,,,3622453380.0,,,,,,,,,,,,,,3679953.0,693596.5000000009,1203075.4999999998,88646.50000000004,,,,2.7,,,,,,,,,
Niger,NER,1987,Niger,,,,,3625651332.0,,,,,,,,,,,,,,3788100.0,711806.6879059928,1239110.3271060232,92152.02432671368,,,,2.8,,,,,,,,,
Niger,NER,1988,Niger,,,,,3874775278.0,,,,,,,,,,,,,,3899883.0,730878.5,1276710.9999999998,95760.49999999988,,,,2.9,,,,,,,,,
Niger,NER,1989,Niger,,,,,3911858659.0,,,,,,,,,,,,,,4015899.0,751127.9999999993,1316011.5000000007,99481.99999999993,,,,3.0,,,,,,,,,
