Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Nigeria,NGA,1960,Nigeria,,,,,65552393151.0,,,,,,,,,,,,,,22739993.0,4248767.093420589,8305458.18261787,851733.0187276454,,,,,,,,,,,,,
Nigeria,NGA,1961,Nigeria,,,,,65678119684.0,,,,,,,,,,,,,,23222767.0,4342110.5000000065,8470610.5,872917.0000000003,,,,,,,,,,,,,
Nigeria,NGA,1962,Nigeria,,,,,68372888067.0,,,,,,,,,,,,,,23725587.0,4429756.0,8644103.499999998,894295.5000000015,,,,,,,,,,,,,
Nigeria,NGA,1963,Nigeria,,,,,74238337576.0,,,,,,,,,,,,,,24244231.0,4509170.685989428,8823934.863960188,915202.5377492928,,,,,,,,,,,,,
Nigeria,NGA,1964,Nigeria,,,,,77913498064.0,,,,,,,,,,,,,,24778366.0,4584641.5,9009318.999999998,934926.0000000016,,,,,,,,,,,,,
Nigeria,NGA,1965,Nigeria,,,,,81719554395.0,,,,,,,,,,,,,,25330840.0,4667454.092129871,9201194.181620391,953418.0188193131,,,,,,,,,,,,,
Nigeria,NGA,1966,Nigeria,,,,,78246053144.0,,,,,,,,,,,,,,25895712.0,4758293.59187416,9397648.68145183,970423.0187371369,,,,,,,,,,,,,
Nigeria,NGA,1967,Nigeria,,,,,65927285449.0,,,,,,,,,,,,,,26466266.0,4849767.091621671,9597334.681312593,984965.0186079356,,,,,,,,,,,,,
Nigeria,NGA,1968,Nigeria,,,,,65104275426.0,,,,,,,,,,,,,,27056481.0,4943039.817306625,9804451.13763022,999459.9630602386,,,,,,,,,,,,,
Nigeria,NGA,1969,Nigeria,,,,,80857806917.0,,,,,,,,,,,,,,27672525.0,5038654.999999998,10018938.499999998,1015707.5000000003,,,,,,,,,,,,,
Nigeria,NGA,1970,Nigeria,,,,,101078114311.0,,,,,,,,,,,,,,28311320.0,5138443.590748922,10239265.180833414,1032775.518239622,,,,,,,,,,,,,
Nigeria,NGA,1971,Nigeria,,,,,115469142733.0,,,,,,,,,,,,,,28972304.0,5242395.090472525,10458601.680493094,1051139.5181404206,,,,,,,,,,,,,
Nigeria,NGA,1972,Nigeria,,,,,119353827264.0,,,,,,,,,,,,,,29667562.0,5357583.499999997,10675589.499999993,1071522.499999999,,,,,,,,,,,,,
Nigeria,NGA,1973,Nigeria,,,,,125790293297.0,,,,,,,,,,,,,,30411299.0,5490149.999999999,10896065.5,1093777.5000000002,,,,,,,,,,,,,
Nigeria,NGA,1974,Nigeria,,,,,139829338541.0,,,,,,,,,,,,,,31214873.0,5638644.090319829,11126241.178220185,1117588.0179015326,,,,,,,,,,,,,
Nigeria,NGA,1975,Nigeria,,,,,132519413714.0,,,,,,,,,,,,,,32088231.0,5795695.409691261,11379006.322691904,1143158.4821872627,,,,,,,,,,,,,
Nigeria,NGA,1976,Nigeria,,,,,144502285208.0,,,,,,,,,,,,,,33012661.0,5954696.0,11650700.499999998,1170020.000000002,,,,,,,,,,,,,
Nigeria,NGA,1977,Nigeria,,,,,153207273164.0,,,,,,,,,,,,,,33993401.0,6124106.090077869,11939516.17561521,1198188.0176238322,,,,,,,,,,,,,
Nigeria,NGA,1978,Nigeria,,,,,144376163268.0,,,,,,,,,,,,,,35032520.0,6301680.410059562,12244267.325244265,1228268.9824695897,,,,,,,,,,,,,
Nigeria,NGA,1979,Nigeria,,,,,154135170311.0,,,,,,,,,,,,,,36112813.0,6483409.6795321135,12560864.347822929,1260439.034902822,,,,,,,,,,,,,
Nigeria,NGA,1980,Nigeria,,,,,160616293802.0,,,,,,,,,,,,,,37241594.0,6675517.410375514,12899820.826808956,1294598.482618914,,,,2.9,,,,,,,,,
