Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Rwanda,RWA,1960,Rwanda,,,,,1013800019.0,,,,,,,,,,,,,,1524782.0,237629.92207741085,493105.8383028396,49908.983634059325,,,,,,,,,,,,,
Rwanda,RWA,1961,Rwanda,,,,,970231699.0,,,,,,,,,,,,,,1566575.0,242287.50000000003,499578.0000000003,51429.50000000011,,,,,,,,,,,,,
Rwanda,RWA,1962,Rwanda,,,,,1080195804.0,,,,,,,,,,,,,,1605753.0,248579.4225972416,503704.3431563438,52958.48350976668,,,,,,,,,,,,,
Rwanda,RWA,1963,Rwanda,,,,,974115775.0,,,,,,,,,,,,,,1642024.0,256385.3438601727,505799.1919660173,54363.96689209973,,,,,,,,,,,,,
Rwanda,RWA,1964,Rwanda,,,,,852692315.0,,,,,,,,,,,,,,1679836.0,268091.1595936506,508228.30254638125,55653.033130039556,,,,,,,,,,,,,
Rwanda,RWA,1965,Rwanda,,,,,912462032.0,,,,,,,,,,,,,,1723570.0,286068.5000000001,513325.99999999994,56916.49999999996,,,,,,,,,,,,,
Rwanda,RWA,1966,Rwanda,,,,,976415683.0,,,,,,,,,,,,,,1772308.0,308079.00000000076,521096.49999999994,58053.00000000004,,,,,,,,,,,,,
Rwanda,RWA,1967,Rwanda,,,,,1043944762.0,,,,,,,,,,,,,,1825802.0,332028.59092678,531515.1455566224,59062.516174403456,,,,,,,,,,,,,
Rwanda,RWA,1968,Rwanda,,,,,1117164761.0,,,,,,,,,,,,,,1882548.0,356924.99999999965,543769.4999999999,60008.49999999994,,,,,,,,,,,,,
Rwanda,RWA,1969,Rwanda,,,,,1240135221.0,,,,,,,,,,,,,,1940738.0,381636.9016773768,556947.3565114517,60971.98429154684,,,,,,,,,,,,,
Rwanda,RWA,1970,Rwanda,,,,,1314561010.0,,,,,,,,,,,,,,1999971.0,405488.1013734945,571097.6427764809,62002.01550072864,,,,,,,,,,,,,
Rwanda,RWA,1971,Rwanda,,,,,1330423038.0,,,,,,,,,,,,,,2059133.0,427851.4999999997,586013.0000000002,63062.99999999993,,,,,,,,,,,,,
Rwanda,RWA,1972,Rwanda,,,,,1333922959.0,,,,,,,,,,,,,,2118715.0,448807.1059149304,602063.6420822624,64178.01514550451,,,,,,,,,,,,,
Rwanda,RWA,1973,Rwanda,,,,,1379784406.0,,,,,,,,,,,,,,2180435.0,469334.1076239627,619351.6420247891,65477.015014667886,,,,,,,,,,,,,
Rwanda,RWA,1974,Rwanda,,,,,1399236931.0,,,,,,,,,,,,,,2244313.0,488083.9999999992,639052.9999999999,66879.00000000003,,,,,,,,,,,,,
Rwanda,RWA,1975,Rwanda,,,,,1369659505.0,,,,,,,,,,,,,,2310343.0,503327.3910708512,662833.8565507684,68213.48523736832,,,,,,,,,,,,,
Rwanda,RWA,1976,Rwanda,,,,,1636805801.0,,,,,,,,,,,,,,2378792.0,516357.9999999997,688837.0000000001,69554.99999999993,,,,,,,,,,,,,
Rwanda,RWA,1977,Rwanda,,,,,1669445500.0,,,,,,,,,,,,,,2449395.0,528000.3922182014,715164.8540119387,70968.48551305821,,,,,,,,,,,,,
Rwanda,RWA,1978,Rwanda,,,,,1822213801.0,,,,,,,,,,,,,,2522495.0,538031.606646713,741838.1470445229,72399.51435077461,,,,,,,,,,,,,
Rwanda,RWA,1979,Rwanda,,,,,2038508903.0,,,,,,,,,,,,,,2599488.0,546750.6051650561,769259.6479636852,73723.01418029511,,,,,,,,,,,,,
Rwanda,RWA,1980,Rwanda,,,,,2220988318.0,,,,,,,,,,,,,,2681314.0,554684.0000000005,797570.5,74959.00000000003,,,,1.4,,,,,,,,,
Rwanda,RWA,1981,Rwanda,,,,,2341725673.0,,,,,,,,,,,,,,2768425.0,562364.2968648975,826947.7012930814,76090.47251488753,,,,1.4,,,,,,,,,
Rwanda,RWA,1982,Rwanda,,,,,2384130729.0,,,,,,,,,,,,,,2860853.0,570276.5000000009,857629.0000000001,77068.50000000004,,,,1.5,,,,,,,,,
Rwanda,RWA,1983,Rwanda,,,,,2526710090.0,,,,,,,,,,,,,,2958109.0,578910.9999999997,889523.0,78053.0,,,,1.5,,,,,,,,,
Rwanda,RWA,1984,Rwanda,,,,,2419558043.0,,,,,,,,,,,,,,3059711.0,588693.9037991004,922305.3492822772,79305.48704036303,,,,1.5,,,,,,,,,
Rwanda,RWA,1985,Rwanda,,,,,2526085095.0,,,,,,,,,,,,,,3165016.0,599940.999999999,955658.0,80944.49999999996,,,,1.6,,,,,,,,,
Rwanda,RWA,1986,Rwanda,,,,,2664315944.0,,,,,,,,,,,,,,3272909.0,612810.4063813856,989336.348859784,82896.98733588579,,,,1.6,,,,,,,,,
Rwanda,RWA,1987,Rwanda,,,,,2663675546.0,,,,,,,,,,,,,,3382356.0,627629.1855597639,1022981.3024463728,85124.02516708038,,,,1.7,,,,,,,,,
Rwanda,RWA,1988,Rwanda,,,,,2783509648.0,,,,,,,,,,,,,,3492344.0,644955.0000000001,1056148.0000000002,87578.49999999991,,,,1.8,,,,,,,,,
Rwanda,RWA,1989,Rwanda,,,,,2782492713.0,,,,,,,,,,,,,,3601915.0,665148.092332564,1088747.151134487,90196.01252056385,,,,1.8,,,,,,,,,
Rwanda,RWA,1990,Rwanda,,,,1122.9913,2715732613.0,,52.621,,6.803,,,,,,,,,,3699580.0,685000.9074218005,1115222.3492771676,92679.98747425553,,,,1.9,7.3234844,,54.488064,21.93909404583,48.52697189541,3.67721616236,7.7810159042,704.13407650469,14378.53747996796
