Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Sao Tome and Principe,STP,1970,Sao Tome and Principe,,,,,76468736.0,,,,,,,,,,,,,,37230.0,6689.500000000005,11711.000000000004,1950.5000000000027,,,,,,,,,,,,,
Sao Tome and Principe,STP,1971,Sao Tome and Principe,,,,,80579183.0,,,,,,,,,,,,,,38184.0,6982.09142692525,11930.156219309389,1994.0261107546455,,,,,,,,,,,,,
Sao Tome and Principe,STP,1972,Sao Tome and Principe,,,,,82425278.0,,,,,,,,,,,,,,39137.0,7218.500000000013,12202.0,2051.9999999999964,,,,,,,,,,,,,
Sao Tome and Principe,STP,1973,Sao Tome and Principe,,,,,83737737.0,,,,,,,,,,,,,,40118.0,7450.000000000004,12487.999999999998,2109.0000000000005,,,,,,,,,,,,,
Sao Tome and Principe,STP,1974,Sao Tome and Principe,,,,,88497202.0,,,,,,,,,,,,,,41152.0,7687.50000000002,12789.5,2163.499999999998,,,,,,,,,,,,,
Sao Tome and Principe,STP,1975,Sao Tome and Principe,,,,,93256666.0,,,,,,,,,,,,,,42257.0,7938.593932294436,13110.155124063744,2215.026208985595,,,,,,,,,,,,,
Sao Tome and Principe,STP,1976,Sao Tome and Principe,,,,,94785464.0,,,,,,,,,,,,,,43435.0,8212.405463273148,13451.345155460393,2260.47397865801,,,,,,,,,,,,,
Sao Tome and Principe,STP,1977,Sao Tome and Principe,,,,,116981878.0,,,,,,,,,,,,,,44677.0,8501.499999999996,13820.500000000004,2293.499999999999,,,,,,,,,,,,,
Sao Tome and Principe,STP,1978,Sao Tome and Principe,,,,,120371194.0,,,,,,,,,,,,,,45971.0,8789.499999999993,14224.999999999998,2323.5000000000036,,,,,,,,,,,,,
Sao Tome and Principe,STP,1979,Sao Tome and Principe,,,,,140043649.0,,,,,,,,,,,,,,47266.0,9066.499999999987,14651.5,2364.0000000000005,,,,,,,,,,,,,
Sao Tome and Principe,STP,1980,Sao Tome and Principe,,,,,138529274.0,,,,,,,,,,,,,,48518.0,9327.499999999976,15087.500000000002,2427.000000000001,,,,4.2,,,,,,,,,
Sao Tome and Principe,STP,1981,Sao Tome and Principe,,,,,124241500.0,,,,,,,,,,,,,,49706.0,9575.59632233857,15522.65614469224,2516.025309070423,,,,4.2,,,,,,,,,
Sao Tome and Principe,STP,1982,Sao Tome and Principe,,,,,128084020.0,,,,,,,,,,,,,,50813.0,9825.09667896677,15885.156309963106,2579.025377613778,,,,4.3,,,,,,,,,
Sao Tome and Principe,STP,1983,Sao Tome and Principe,,,,,123122082.0,,,,,,,,,,,,,,51897.0,10102.097328336216,16186.6559498232,2603.525083579818,,,,4.4,,,,,,,,,
Sao Tome and Principe,STP,1984,Sao Tome and Principe,,,,,115697254.0,,,,,,,,,,,,,,53038.0,10420.098232382768,16507.655621022866,2629.024784350697,,,,4.5,,,,,,,,,
Sao Tome and Principe,STP,1985,Sao Tome and Principe,,,,,126456967.0,,,,,,,,,,,,,,54280.0,10689.500000000013,16866.499999999996,2653.500000000002,,,,4.6,,,,,,,,,
Sao Tome and Principe,STP,1986,Sao Tome and Principe,,,,,119081846.0,,,,,,,,,,,,,,55609.0,10911.401891763097,17264.344770228112,2673.9759573454207,,,,4.8,,,,,,,,,
Sao Tome and Principe,STP,1987,Sao Tome and Principe,,,,,115592613.0,,,,,,,,,,,,,,57054.0,11176.000000000007,17716.999999999996,2697.0,,,,4.9,,,,,,,,,
Sao Tome and Principe,STP,1988,Sao Tome and Principe,,,,,117902997.0,,,,,,,,,,,,,,58620.0,11473.597864191972,18221.655421830612,2727.523264442723,,,,5.1,,,,,,,,,
Sao Tome and Principe,STP,1989,Sao Tome and Principe,,,,,121599628.0,,,,,,,,,,,,,,60201.0,11777.999999999978,18748.00000000001,2755.9999999999995,,,,5.3,,,,,,,,,
Sao Tome and Principe,STP,1990,Sao Tome and Principe,,,,3883.2043,118982019.0,,21.974,,5.828,,,,,,134.372756958008,,,,61771.0,12076.902244562618,19292.343839796664,2781.4774855718274,,,,5.5,,,43.493763,21.16030469579,47.77541382153,4.37332672378,9.80264856959,144.10312652284,3756.5550722476105
Sao Tome and Principe,STP,1991,Sao Tome and Principe,,,,3844.8965,120410999.0,,21.963,,5.769,,,,,,137.052688598633,,,,63183.0,12314.59745182609,19794.15664147509,2825.0223558738576,,,,5.7,,,44.0468,20.98046590749,47.29791160186,4.338636752879999,9.7395020058,232.34223146848,3458.30978672068
Sao Tome and Principe,STP,1992,Sao Tome and Principe,,,,3798.8835,121253872.0,,21.952,,5.704,,,,,,144.993789672852,,,,64409.0,12502.500000000024,20238.999999999996,2883.4999999999995,,,,5.9,,,44.507362,20.79822551038,46.90967497344,4.30746664659,9.69193603485,349.98014712215996,3466.4035480575903
Sao Tome and Principe,STP,1993,Sao Tome and Principe,,,,3771.2861,122587663.0,,21.96,,5.635,,,,,,,,,,65598.0,12719.000000000007,20676.500000000015,2941.0000000000036,,,,6.0,,,44.89104,20.61494226795,46.60461633993,4.280059554,9.65717672218,492.32036897419,3739.98300751373
Sao Tome and Principe,STP,1994,Sao Tome and Principe,,,,3788.4836,125284593.0,,21.988,,5.562,,,,,,,,,,66740.0,12987.305404474013,21091.6839723708,2997.45508757735,,,,6.2,,,45.227673,20.43065348302,46.39057087753,4.25769991021,9.63538616345,646.7249625651,4163.43251859174
Sao Tome and Principe,STP,1995,Sao Tome and Principe,,,,3802.2913,127790287.0,,22.037,,5.554,,,,,,,,,,67831.0,13376.000000000022,21422.0,3051.0000000000045,,,,6.3,,,45.514133,20.24533342561,46.27326092522,4.24145133973,9.62605049315,795.71700469286,5034.13786456027
Sao Tome and Principe,STP,1996,Sao Tome and Principe,,,,3801.0815,129707143.0,,22.107,,5.474,,,,,,133.17350769043,,,,68868.0,13868.399311731771,21682.342580425004,3099.977493338759,,,,6.5,,,45.800316,20.03378789089,46.26729306744,4.22784891485,9.64445628912,922.68168188155,6374.13495351113
