Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Senegal,SEN,1960,Senegal,,,,,3845391101.0,,,,,,,,,,,,,,1677852.0,299452.5892368901,595071.6773313966,51579.51537069873,,,,,,,,,,,,,
Senegal,SEN,1961,Senegal,,,,,3960500894.0,,,,,,,,,,,,,,1723395.0,307264.08914499846,609882.1769420757,52424.51520966325,,,,,,,,,,,,,
Senegal,SEN,1962,Senegal,,,,,3955105291.0,,,,,,,,,,,,,,1770322.0,315853.49999999994,625121.4999999999,53368.49999999998,,,,,,,,,,,,,
Senegal,SEN,1963,Senegal,,,,,4028847382.0,,,,,,,,,,,,,,1818622.0,324805.91069999407,640725.8238430461,54410.9850406008,,,,,,,,,,,,,
Senegal,SEN,1964,Senegal,,,,,4185324877.0,,,,,,,,,,,,,,1868490.0,334237.0,656617.0000000001,55541.50000000002,,,,,,,,,,,,,
Senegal,SEN,1965,Senegal,,,,,4241081336.0,,,,,,,,,,,,,,1920368.0,344706.4999999998,672877.5000000001,56761.00000000001,,,,,,,,,,,,,
Senegal,SEN,1966,Senegal,,,,,4363087108.0,,,,,,,,,,,,,,1974579.0,356187.59019329934,689707.1746466395,58080.0147069362,,,,,,,,,,,,,
Senegal,SEN,1967,Senegal,,,,,4309866483.0,,,,,,,,,,,,,,2031072.0,368334.99999999977,707238.0000000001,59504.999999999935,,,,,,,,,,,,,
Senegal,SEN,1968,Senegal,,,,,4580990423.0,,,,,,,,,,,,,,2089543.0,380890.9999999998,725485.5000000001,61022.499999999935,,,,,,,,,,,,,
Senegal,SEN,1969,Senegal,,,,,4280745764.0,,,,,,,,,,,,,,2149881.0,393667.09155555384,744421.6731309019,62619.514563483885,,,,,,,,,,,,,
Senegal,SEN,1970,Senegal,,,,,4647265164.0,,,,,,,,,,,,,,2212287.0,406642.50000000006,764026.9999999999,64312.99999999991,,,,,,,,,,,,,
Senegal,SEN,1971,Senegal,,,,,4640738106.0,,,,,,,,,,,,,,2276968.0,419546.592128346,784543.1722780408,66118.01451887205,,,,,,,,,,,,,
Senegal,SEN,1972,Senegal,,,,,4936966115.0,,,,,,,,,,,,,,2344037.0,432184.0,806030.9999999997,68031.00000000006,,,,,,,,,,,,,
Senegal,SEN,1973,Senegal,,,,,4661323443.0,,,,,,,,,,,,,,2413434.0,444999.59219220275,827874.1715137376,70067.01451604106,,,,,,,,,,,,,
Senegal,SEN,1974,Senegal,,,,,4857135177.0,,,,,,,,,,,,,,2484003.0,457924.0,849231.0,72184.99999999991,,,,,,,,,,,,,
Senegal,SEN,1975,Senegal,,,,,5223152496.0,,,,,,,,,,,,,,2554579.0,470193.59202956577,869616.6702074334,74364.51455514082,,,,,,,,,,,,,
Senegal,SEN,1976,Senegal,,,,,5689084008.0,,,,,,,,,,,,,,2625113.0,481697.00000000006,888810.0,76637.99999999996,,,,,,,,,,,,,
Senegal,SEN,1977,Senegal,,,,,5536451271.0,,,,,,,,,,,,,,2694449.0,492413.00000000047,906017.5000000003,78978.50000000007,,,,,,,,,,,,,
Senegal,SEN,1978,Senegal,,,,,5317543794.0,,,,,,,,,,,,,,2763916.0,503019.49999999994,922068.0,81413.4999999999,,,,,,,,,,,,,
Senegal,SEN,1979,Senegal,,,,,5689861492.0,,,,,,,,,,,,,,2836449.0,514646.4999999998,938713.9999999992,84024.49999999993,,,,,,,,,,,,,
Senegal,SEN,1980,Senegal,,,,,5916759625.0,,,,,,,,,,,,,,2912666.0,527618.4094268945,956340.8358306724,86820.98509595921,,,,3.8,,,,,,,,,
