Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Seychelles,SYC,1950,,,,,,,,,,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,1951,,,,,,,,,,4.837,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,1952,,,,,,,,,,4.881,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,1953,,,,,,,,,,4.929,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,1954,,,,,,,,,,5.019,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,1955,,,,,,,,,,5.108,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,1956,,,,,,,,,,5.162,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,1957,,,,,,,,,,5.203,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,1958,,,,,,,,,,5.251,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,1959,,,,,,,,,,5.302,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,1960,Seychelles,,,,,132183659.0,,,,5.313,,,,,,,,,,20699.0,3379.5762186597076,8228.281759716658,1470.5762652623737,,,,,,,,,,,,,
