Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Sierra Leone,SLE,1960,Sierra Leone,,,,,2005356249.0,,,,,,,,,,,,,,1157772.0,212132.0000000001,460099.5,48008.49999999995,,,,,,,,,,,,,
Sierra Leone,SLE,1961,Sierra Leone,,,,,2041634016.0,,,,,,,,,,,,,,1176063.0,215275.99999999985,466618.4999999998,49307.50000000007,,,,,,,,,,,,,
Sierra Leone,SLE,1962,Sierra Leone,,,,,2134343944.0,,,,,,,,,,,,,,1195414.0,218340.90867560997,473451.8019716176,50607.47883265594,,,,,,,,,,,,,
Sierra Leone,SLE,1963,Sierra Leone,,,,,2170621713.0,,,,,,,,,,,,,,1215718.0,220604.0907299599,480499.6976197184,51902.52134644761,,,,,,,,,,,,,
Sierra Leone,SLE,1964,Sierra Leone,,,,,2315732958.0,,,,,,,,,,,,,,1237021.0,221546.41045163735,487668.3028860048,53193.97849916114,,,,,,,,,,,,,
Sierra Leone,SLE,1965,Sierra Leone,,,,,2482006192.0,,,,,,,,,,,,,,1259352.0,222919.9114942004,495000.3034702359,54490.47836566813,,,,,,,,,,,,,
Sierra Leone,SLE,1966,Sierra Leone,,,,,2524200297.0,,,,,,,,,,,,,,1282427.0,225217.50000000003,502473.50000000023,55786.499999999935,,,,,,,,,,,,,
Sierra Leone,SLE,1967,Sierra Leone,,,,,2525116116.0,,,,,,,,,,,,,,1306287.0,227582.9128893908,510160.3047288593,57083.97815029241,,,,,,,,,,,,,
Sierra Leone,SLE,1968,Sierra Leone,,,,,2576121538.0,,,,,,,,,,,,,,1330826.0,229924.0863839774,518148.6946718408,58382.02193450608,,,,,,,,,,,,,
Sierra Leone,SLE,1969,Sierra Leone,,,,,2795747409.0,,,,,,,,,,,,,,1355679.0,232329.4143125275,526373.3058635909,59664.477994614506,,,,,,,,,,,,,
Sierra Leone,SLE,1970,Sierra Leone,,,,,3036754625.0,,,,,,,,,,,,,,1381087.0,235097.5851132424,534733.6935916035,60941.5220628831,,,,,,,,,,,,,
Sierra Leone,SLE,1971,Sierra Leone,,,,,3142006005.0,,,,,,,,,,,,,,1406551.0,238378.415261368,542745.3070651875,62193.47789149562,,,,,,,,,,,,,
Sierra Leone,SLE,1972,Sierra Leone,,,,,3170291431.0,,,,,,,,,,,,,,1432207.0,242098.5845194113,550545.692201858,63427.522143280265,,,,,,,,,,,,,
Sierra Leone,SLE,1973,Sierra Leone,,,,,3241832807.0,,,,,,,,,,,,,,1458657.0,247034.50000000003,557648.5000000002,64671.0000000001,,,,,,,,,,,,,
Sierra Leone,SLE,1974,Sierra Leone,,,,,3355291389.0,,,,,,,,,,,,,,1485673.0,253694.99999999988,563316.0,65909.49999999991,,,,,,,,,,,,,
Sierra Leone,SLE,1975,Sierra Leone,,,,,3411298468.0,,,,,,,,,,,,,,1513085.0,260494.0000000001,569126.9999999999,67140.00000000001,,,,,,,,,,,,,
Sierra Leone,SLE,1976,Sierra Leone,,,,,3395975722.0,,,,,,,,,,,,,,1540468.0,266869.58661964635,575573.1868176381,68354.02218612212,,,,,,,,,,,,,
Sierra Leone,SLE,1977,Sierra Leone,,,,,3397560821.0,,,,,,,,,,,,,,1569039.0,273689.99999999994,582366.0000000002,69598.50000000006,,,,,,,,,,,,,
Sierra Leone,SLE,1978,Sierra Leone,,,,,3479317420.0,,,,,,,,,,,,,,1599431.0,281034.08785439585,589705.184348429,70891.02216132556,,,,,,,,,,,,,
Sierra Leone,SLE,1979,Sierra Leone,,,,,3636278670.0,,,,,,,,,,,,,,1630733.0,288600.58848799556,597446.1831833242,72191.02213453164,,,,,,,,,,,,,
Sierra Leone,SLE,1980,Sierra Leone,,,,,3812401964.0,,,,,,,,,,,,,,1663337.0,296281.49999999994,605883.9999999999,73522.00000000006,,,,3.4,,,,,,,,,
Sierra Leone,SLE,1981,Sierra Leone,,,,,3922253603.0,,,,,,,,,,,,,,1697052.0,304051.91041762114,614876.8188397235,74866.47794219684,,,,3.4,,,,,,,,,
Sierra Leone,SLE,1982,Sierra Leone,,,,,4109806182.0,,,,,,,,,,,,,,1731937.0,311981.9999999998,624383.0000000001,76211.49999999999,,,,3.5,,,,,,,,,
Sierra Leone,SLE,1983,Sierra Leone,,,,,4023385111.0,,,,,,,,,,,,,,1768925.0,320180.09050131874,634698.6794023713,77598.02193366644,,,,3.6,,,,,,,,,
Sierra Leone,SLE,1984,Sierra Leone,,,,,4188063642.0,,,,,,,,,,,,,,1807718.0,328517.81826932175,645706.6428056571,79008.956293539,,,,3.6,,,,,,,,,
Sierra Leone,SLE,1985,Sierra Leone,,,,,3965621323.0,,,,,,,,,,,,,,1847752.0,336936.50000000006,657248.0000000002,80410.99999999991,,,,3.7,,,,,,,,,
Sierra Leone,SLE,1986,Sierra Leone,,,,,4014638262.0,,,,,,,,,,,,,,1892923.0,346147.68286411173,670745.8543439716,81972.54330474256,,,,3.8,,,,,,,,,
Sierra Leone,SLE,1987,Sierra Leone,,,,,4304947544.0,,,,,,,,,,,,,,1943803.0,356268.5,686318.9999999997,83723.00000000004,,,,3.9,,,,,,,,,
