Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Somalia,SOM,1960,Somalia,,,,,917045732.0,,,,,,,,,,,,,,1444922.0,251451.4129878937,507781.8242874616,51108.98231427641,,,,,,,,,,,,,
Somalia,SOM,1961,Somalia,,,,,887131872.0,,,,,,,,,,,,,,1482666.0,256959.91334531404,518188.3252511604,52890.98216355453,,,,,,,,,,,,,
Somalia,SOM,1962,Somalia,,,,,949911138.0,,,,,,,,,,,,,,1521573.0,262664.99999999994,529594.4999999997,54676.99999999997,,,,,,,,,,,,,
Somalia,SOM,1963,Somalia,,,,,976592267.0,,,,,,,,,,,,,,1561590.0,268833.9139230164,541571.3265961851,56467.4819198759,,,,,,,,,,,,,
Somalia,SOM,1964,Somalia,,,,,916916392.0,,,,,,,,,,,,,,1602683.0,276436.1724833748,553425.845312108,58261.03635218968,,,,,,,,,,,,,
Somalia,SOM,1965,Somalia,,,,,862417802.0,,,,,,,,,,,,,,1645083.0,287234.9999999999,565012.0,60066.99999999997,,,,,,,,,,,,,
Somalia,SOM,1966,Somalia,,,,,940886220.0,,,,,,,,,,,,,,1688549.0,300251.5889081658,576508.1707111164,61877.01832254151,,,,,,,,,,,,,
Somalia,SOM,1967,Somalia,,,,,996783740.0,,,,,,,,,,,,,,1733106.0,313666.5904926166,588046.1696509533,63693.01837539607,,,,,,,,,,,,,
Somalia,SOM,1968,Somalia,,,,,1017018224.0,,,,,,,,,,,,,,1778962.0,327419.3159492353,599785.662845152,65521.463168711234,,,,,,,,,,,,,
Somalia,SOM,1969,Somalia,,,,,999733290.0,,,,,,,,,,,,,,1825995.0,341328.3130727005,611828.16493437,67361.46310972197,,,,,,,,,,,,,
Somalia,SOM,1970,Somalia,,,,,1045535150.0,,,,,,,,,,,,,,1874524.0,355242.31048932427,624479.6668596045,69227.96306904417,,,,,,,,,,,,,
Somalia,SOM,1971,Somalia,,,,,1067892505.0,,,,,,,,,,,,,,1923946.0,368842.095855625,637734.6657361134,71095.01847635498,,,,,,,,,,,,,
Somalia,SOM,1972,Somalia,,,,,1226805081.0,,,,,,,,,,,,,,1974604.0,382013.69346344547,651875.8301299046,72969.03695375737,,,,,,,,,,,,,
Somalia,SOM,1973,Somalia,,,,,1077756045.0,,,,,,,,,,,,,,2027454.0,395039.49999999953,667101.5000000001,74880.99999999984,,,,,,,,,,,,,
Somalia,SOM,1974,Somalia,,,,,1085866066.0,,,,,,,,,,,,,,2080377.0,407505.9020596022,683274.335781126,76676.48157149377,,,,,,,,,,,,,
Somalia,SOM,1975,Somalia,,,,,1245436210.0,,,,,,,,,,,,,,2133045.0,417901.3040822832,701683.1710415526,78343.46327153758,,,,,,,,,,,,,
Somalia,SOM,1976,Somalia,,,,,1222421286.0,,,,,,,,,,,,,,2186985.0,426878.40240481624,721857.3349651836,80013.9817067831,,,,,,,,,,,,,
Somalia,SOM,1977,Somalia,,,,,1389224692.0,,,,,,,,,,,,,,2245846.0,436502.6943600284,743049.3308549784,81898.03646645241,,,,,,,,,,,,,
Somalia,SOM,1978,Somalia,,,,,1469791647.0,,,,,,,,,,,,,,2411209.0,466300.4033056859,798587.3344010548,87654.98182343757,,,,,,,,,,,,,
Somalia,SOM,1979,Somalia,,,,,1396493891.0,,,,,,,,,,,,,,2728426.0,525025.5000000001,903764.5,98805.49999999988,,,,,,,,,,,,,
Somalia,SOM,1980,Somalia,,,,,1421532243.0,,,,,,,,,,,,,,2971720.0,568975.1914632565,984011.3311251838,107140.5360533753,,,,3.1,,,,,,,,,
