Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
South Africa,ZAF,1960,South Africa,,,,,65652787805.0,,,,,,,,,,,,,,8003578.0,1438323.5898550374,2845206.177745889,300825.0187931587,,,,,,,,,,,,,
South Africa,ZAF,1961,South Africa,,,,,68176962953.0,,,,,,,,,,,,,,8246385.0,1502187.4999999986,2919445.4999999995,308159.5000000002,,,,,,,,,,,,,
South Africa,ZAF,1962,South Africa,,,,,72388888580.0,,,,,,,,,,,,,,8514193.0,1573410.4076007323,3002380.823683769,317157.9813747481,,,,,,,,,,,,,
South Africa,ZAF,1963,South Africa,,,,,77726634753.0,,,,,,,,,,,,,,8795605.0,1649772.0000000014,3090022.5,327626.00000000035,,,,,,,,,,,,,
South Africa,ZAF,1964,South Africa,,,,,83897825365.0,,,,,,,,,,,,,,9087733.0,1724215.094864973,3182113.1750773913,339429.51867514866,,,,,,,,,,,,,
South Africa,ZAF,1965,South Africa,,,,,89034719819.0,,,,,,,,,,,,,,9390979.0,1793608.4045036496,3279853.8253721027,352538.9812299132,,,,,,,,,,,,,
South Africa,ZAF,1966,South Africa,,,,,92986424438.0,,,,,,,,,,,,,,9705499.0,1861902.904080005,3383001.825717266,366839.98110143625,,,,,,,,,,,,,
South Africa,ZAF,1967,South Africa,,,,,99678213920.0,,,,,,,,,,,,,,10031556.0,1930132.5,3491900.0,382288.0,,,,,,,,,,,,,
South Africa,ZAF,1968,South Africa,,,,,103818221927.0,,,,,,,,,,,,,,10367416.0,1998251.500000004,3606868.5,398779.5000000005,,,,,,,,,,,,,
South Africa,ZAF,1969,South Africa,,,,,108714188432.0,,,,,,,,,,,,,,10709817.0,2065095.0000000016,3726581.5,416028.5000000002,,,,,,,,,,,,,
South Africa,ZAF,1970,South Africa,,,,,114420228110.0,,,,,,,,,,,,,,11055105.0,2129868.403670368,3849970.325873643,433737.4803829319,,,,,,,,,,,,,
South Africa,ZAF,1971,South Africa,,,,,119316194615.0,,,,,,,,,,,,,,11386608.0,2187393.5960511547,3970385.6743445294,451127.01980954374,,,,,,,,,,,,,
South Africa,ZAF,1972,South Africa,,,,,121290674451.0,,,,,,,,,,,,,,11707905.0,2239295.000000006,4088639.0000000023,468107.5000000003,,,,,,,,,,,,,
South Africa,ZAF,1973,South Africa,,,,,126836017069.0,,,,,,,,,,,,,,12035942.0,2291057.5000000023,4212435.500000001,485198.50000000006,,,,,,,,,,,,,
South Africa,ZAF,1974,South Africa,,,,,134587120944.0,,,,,,,,,,,,,,12368861.0,2347281.594886728,4336569.6753019,502382.0203083383,,,,,,,,,,,,,
South Africa,ZAF,1975,South Africa,,,,,136868956455.0,,,,,,,,,,,,,,12705708.0,2410459.094857332,4458663.675459079,519687.0204509273,,,,,,,,,,,,,
