Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
South Sudan,SSD,1990,,,,,,,,71.295,,7.377,,,,,,,,,,2427790.0,473963.9023877878,818933.3313418109,63673.98688643037,,,,,2.2600343,,55.963425,21.12646679403,40.88494086034,3.60292016153,7.01656717704,226.97634098359,32985.57644356886
South Sudan,SSD,1991,,,,,,,,71.294,,7.377,,,,,,,,,,2480434.0,487905.5000000002,831863.4999999997,65765.99999999996,,,,,2.6318607,,56.765503,20.92799198153,40.67918573264,3.5872934119999997,7.075774823,320.20320873255,33174.257240482926
South Sudan,SSD,1992,,,,,,,,71.283,,7.37,,,,,,,,,,2521824.0,499122.4999999989,840472.4999999999,67423.00000000001,,,,,2.8844054,,57.550407,20.7339112497,40.4995767292,3.57371174236,7.11998999236,430.51598074797,33289.59034611218
South Sudan,SSD,1993,,,,,,,,71.262,,7.36,,,,,,,,,,2551534.0,507372.3011500921,844709.6689404611,68631.47310187788,,,,,3.1733177,,58.25176,20.547052794400003,40.33559051919,3.56239165539,7.14928352892,554.19902950234,33336.39350024276
South Sudan,SSD,1994,,,,,,,,71.251,,7.346,,,,,,,,,,2612027.0,520048.0995487601,861845.1649763125,71016.51359413852,,,,,3.5330088,,58.60272,20.36899444579,40.20364750748,3.55455156801,7.16625989586,685.78463303336,33345.07925709121
South Sudan,SSD,1995,,,,,,,,71.238,,7.337,,,,,,,,,,2690099.0,534494.0993446882,886480.1647672008,74004.01375488656,,,,,3.3276966,,59.046154,20.20200347365,40.08831778208,3.55054041735,7.171140235349999,819.16551344235,33320.82644260953
South Sudan,SSD,1996,,,,,,,,71.214,,7.321,,,,,,,,,,2757790.0,545565.4999999994,907313.0,76510.00000000013,,,,,3.1865592,,59.399685,20.02769612735,40.02483814149,3.55001397154,7.15086777169,946.72847968443,33119.58414077214
South Sudan,SSD,1997,,,,,,,,71.204,,7.199,,,,,,,,,,2835644.0,558214.6968564088,933906.829345584,79251.02794815841,,,,,3.2231855,,59.669273,19.84042822781,40.03410505547,3.5514210586600004,7.1031537690799995,1063.9602467007098,32617.98604037348
South Sudan,SSD,1998,,,,,,,,71.248,,7.078,,,,,,,,,,2894243.0,570156.6969968295,960105.8317295164,80583.0278425233,,,,,3.159948,,60.03428,19.66067854455,40.08750240999,3.55399338025,7.0461043530800005,1166.55721603674,31944.619632310227
South Sudan,SSD,1999,,,,,,,,71.296,,6.937,,,,,,,,,,2971509.0,584101.3034327662,995064.1651317008,82409.97226662553,,,,,2.882017,,60.11852,19.5082316663,40.17633574197,3.55737240215,6.9989696514699995,1250.1679084803202,31222.94671463044
