Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Sudan,SDN,1960,Sudan,,,,,9621210052.0,,,,,,,,,,,,,,4167066.0,778712.5000000006,1338329.9999999995,128090.99999999984,,,,,,,,,,,,,
Sudan,SDN,1961,Sudan,,,,,9623364370.0,,,,,,,,,,,,,,4300659.0,802653.5000000017,1380020.0000000007,130991.99999999996,,,,,,,,,,,,,
Sudan,SDN,1962,Sudan,,,,,10288901060.0,,,,,,,,,,,,,,4440850.0,827902.5000000009,1423804.4999999998,133822.9999999999,,,,,,,,,,,,,
Sudan,SDN,1963,Sudan,,,,,9995978959.0,,,,,,,,,,,,,,4588698.0,854091.500000002,1469424.0000000002,136730.99999999988,,,,,,,,,,,,,
Sudan,SDN,1964,Sudan,,,,,9883979101.0,,,,,,,,,,,,,,4743879.0,880513.4999999999,1516321.000000001,139821.00000000026,,,,,,,,,,,,,
Sudan,SDN,1965,Sudan,,,,,10553823687.0,,,,,,,,,,,,,,4906095.0,909275.0000000008,1564507.0,143083.49999999988,,,,,,,,,,,,,
Sudan,SDN,1966,Sudan,,,,,10176508923.0,,,,,,,,,,,,,,5074783.0,941131.9072736816,1613840.8409941036,146557.48556022136,,,,,,,,,,,,,
Sudan,SDN,1967,Sudan,,,,,10321430684.0,,,,,,,,,,,,,,5250302.0,974687.9071779208,1664548.341480706,150271.48568925343,,,,,,,,,,,,,
Sudan,SDN,1968,Sudan,,,,,10524063160.0,,,,,,,,,,,,,,5433051.0,1009880.4999999978,1717080.4999999998,154258.49999999988,,,,,,,,,,,,,
Sudan,SDN,1969,Sudan,,,,,10670279283.0,,,,,,,,,,,,,,5622582.0,1046332.0000000016,1771370.0000000014,158529.49999999988,,,,,,,,,,,,,
Sudan,SDN,1970,Sudan,,,,,11302501304.0,,,,,,,,,,,,,,5820057.0,1084229.4068540586,1828089.8429491464,163091.98598879823,,,,,,,,,,,,,
Sudan,SDN,1971,Sudan,,,,,11556504009.0,,,,,,,,,,,,,,6023991.0,1122834.4999999995,1886276.5,167916.00000000023,,,,,,,,,,,,,
Sudan,SDN,1972,Sudan,,,,,10970475252.0,,,,,,,,,,,,,,6234244.0,1162583.499999998,1946461.0,173059.99999999977,,,,,,,,,,,,,
Sudan,SDN,1973,Sudan,,,,,11039830075.0,,,,,,,,,,,,,,6487595.0,1205835.0929339027,2014644.155268953,178592.0137641154,,,,,,,,,,,,,
Sudan,SDN,1974,Sudan,,,,,12303370550.0,,,,,,,,,,,,,,6745505.0,1254084.0929570212,2083129.154408689,184377.5136666943,,,,,,,,,,,,,
Sudan,SDN,1975,Sudan,,,,,14236656553.0,,,,,,,,,,,,,,6982606.0,1310964.4061264212,2151147.845963824,190319.9863718509,,,,,,,,,,,,,
Sudan,SDN,1976,Sudan,,,,,16609226650.0,,,,,,,,,,,,,,7229159.0,1369025.9053122306,2225208.3460949375,196390.4864167816,,,,,,,,,,,,,
Sudan,SDN,1977,Sudan,,,,,17642960631.0,,,,,,,,,,,,,,7481830.0,1427459.4999999972,2303639.999999999,202576.5000000001,,,,,,,,,,,,,
Sudan,SDN,1978,Sudan,,,,,16596558979.0,,,,,,,,,,,,,,7771653.0,1505094.596832335,2393016.1539579905,208926.01344154295,,,,,,,,,,,,,
Sudan,SDN,1979,Sudan,,,,,15763644181.0,,,,,,,,,,,,,,8084563.0,1589423.5982999064,2491629.1540979473,215510.51332851977,,,,,,,,,,,,,
Sudan,SDN,1980,Sudan,,,,,16003931008.0,,,,,,,,,,,,,,8418377.0,1676017.599545172,2599960.654421728,222637.0132232744,,,,,,,,,,,,,
Sudan,SDN,1981,Sudan,,,,,17194233566.0,,,,,,,,,,,,,,8763692.0,1758118.499999997,2716230.4999999977,230315.4999999999,,,,,,,,,,,,,
Sudan,SDN,1982,Sudan,,,,,18218780590.0,,,,,,,,,,,,,,9105998.0,1828911.899576527,2836505.8442506897,238080.9869272438,,,,,,,,,,,,,
Sudan,SDN,1983,Sudan,,,,,18594543247.0,,,,,,,,,,,,,,9416806.0,1881353.4999999965,2954792.4999999995,245003.99999999965,,,,,,,,,,,,,
Sudan,SDN,1984,Sudan,,,,,17663159912.0,,,,,,,,,,,,,,9645235.0,1912344.5000000044,3047440.5000000005,253204.0,,,,,,,,,,,,,
Sudan,SDN,1985,Sudan,,,,,16553729141.0,,,,,,,,,,,,,,9834088.0,1944261.4999999965,3120815.4999999995,263684.9999999996,,,,,,,,,,,,,
