Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Tanzania,TZA,1960,Tanzania,,,,,8038068840.0,,,,,,,,,,,,,,5039140.0,991578.598387682,1692875.6679726776,133006.5131973427,,,,,,,,,,,,,
Tanzania,TZA,1961,Tanzania,,,,,8129565884.0,,,,,,,,,,,,,,5181796.0,1024451.5000000024,1738797.0,137438.5,,,,,,,,,,,,,
Tanzania,TZA,1962,Tanzania,,,,,8869091956.0,,,,,,,,,,,,,,5330909.0,1058806.9999999988,1786636.0,142069.4999999999,,,,,,,,,,,,,
Tanzania,TZA,1963,Tanzania,,,,,9424297384.0,,,,,,,,,,,,,,5485960.0,1090017.999999997,1836547.4999999988,146904.49999999968,,,,,,,,,,,,,
Tanzania,TZA,1964,Tanzania,,,,,9943685369.0,,,,,,,,,,,,,,5648921.0,1116884.098858183,1888186.667128082,151990.5134530573,,,,,,,,,,,,,
Tanzania,TZA,1965,Tanzania,,,,,10377699460.0,,,,,,,,,,,,,,5818879.0,1140165.9020287306,1941665.8331580844,157325.48648146118,,,,,,,,,,,,,
Tanzania,TZA,1966,Tanzania,,,,,11586045113.0,,,,,,,,,,,,,,5995724.0,1162265.500000001,1997446.5,162889.50000000012,,,,,,,,,,,,,
Tanzania,TZA,1967,Tanzania,,,,,12225972344.0,,,,,,,,,,,,,,6180856.0,1185263.5958818323,2055807.6663044463,168694.0136464927,,,,,,,,,,,,,
Tanzania,TZA,1968,Tanzania,,,,,12994443432.0,,,,,,,,,,,,,,6380279.0,1215818.3094412,2117008.1681950483,174968.4725766735,,,,,,,,,,,,,
Tanzania,TZA,1969,Tanzania,,,,,13418275376.0,,,,,,,,,,,,,,6595363.0,1253941.0,2181624.500000001,181926.49999999977,,,,,,,,,,,,,
