Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Togo,TGO,1960,Togo,,,,,751799549.0,,,,,,,,,,,,,,849662.0,151845.58935646727,296808.6746627923,31261.018396149535,,,,,,,,,,,,,
Togo,TGO,1961,Togo,,,,,843288422.0,,,,,,,,,,,,,,864712.0,155008.00000000003,300938.00000000006,31363.500000000025,,,,,,,,,,,,,
Togo,TGO,1962,Togo,,,,,875111199.0,,,,,,,,,,,,,,880049.0,158445.9099789274,305142.3266333316,31466.982122028418,,,,,,,,,,,,,
Togo,TGO,1963,Togo,,,,,918864084.0,,,,,,,,,,,,,,896300.0,161992.59036739392,309568.6726925541,31597.517626641555,,,,,,,,,,,,,
Togo,TGO,1964,Togo,,,,,1050133110.0,,,,,,,,,,,,,,915696.0,165949.90938591558,314918.828044008,31845.48261132377,,,,,,,,,,,,,
Togo,TGO,1965,Togo,,,,,1212480672.0,,,,,,,,,,,,,,941135.0,171340.5910287003,322180.67116602376,32317.017169171955,,,,,,,,,,,,,
Togo,TGO,1966,Togo,,,,,1326559573.0,,,,,,,,,,,,,,973851.0,178471.99999999997,331799.0,33044.50000000005,,,,,,,,,,,,,
Togo,TGO,1967,Togo,,,,,1399525278.0,,,,,,,,,,,,,,1012958.0,186721.90783334192,343515.8304392526,33997.98321846348,,,,,,,,,,,,,
Togo,TGO,1968,Togo,,,,,1469833116.0,,,,,,,,,,,,,,1055587.0,195557.6852596571,356388.33762099914,35090.533242672755,,,,,,,,,,,,,
Togo,TGO,1969,Togo,,,,,1629028806.0,,,,,,,,,,,,,,1098326.0,204257.59298586845,369221.668083824,36216.01648691579,,,,,,,,,,,,,
Togo,TGO,1970,Togo,,,,,1670150423.0,,,,,,,,,,,,,,1138694.0,212316.31354401287,381174.66525276727,37299.46724364292,,,,,,,,,,,,,
Togo,TGO,1971,Togo,,,,,1670150423.0,,,,,,,,,,,,,,1175602.0,219357.0,392104.00000000023,38301.50000000003,,,,,,,,,,,,,
Togo,TGO,1972,Togo,,,,,1797502024.0,,,,,,,,,,,,,,1209345.0,225508.9067640306,402089.83375718544,39231.48377986277,,,,,,,,,,,,,
Togo,TGO,1973,Togo,,,,,1866480876.0,,,,,,,,,,,,,,1241413.0,231341.59317672427,411368.1656854592,40153.016172303694,,,,,,,,,,,,,
Togo,TGO,1974,Togo,,,,,1956685081.0,,,,,,,,,,,,,,1273080.0,237305.99999999936,420181.50000000006,41116.99999999994,,,,,,,,,,,,,
Togo,TGO,1975,Togo,,,,,2004438786.0,,,,,,,,,,,,,,1304648.0,243051.81370314973,429106.1710942943,42125.967710855526,,,,,,,,,,,,,
