Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Tunisia,TUN,1961,Tunisia,,,,,6137829834.0,,,,,,,,,,,,,,2162212.0,388561.08985268,756279.6748856435,92797.52145893226,,,,,,,,,,,,,
Tunisia,TUN,1962,Tunisia,,,,,5856098258.0,,,,,,,,,,,,,,2189021.0,396189.4095053421,760380.826319431,93464.97865142032,,,,,,,,,,,,,
Tunisia,TUN,1963,Tunisia,,,,,5227504980.0,,,,,,,,,,,,,,2218037.0,402427.9999999992,765057.0,94152.49999999984,,,,,,,,,,,,,
Tunisia,TUN,1964,Tunisia,,,,,4983069468.0,,,,,,,,,,,,,,2249378.0,407859.9093394019,771135.8285890967,94788.9789299578,,,,,,,,,,,,,
Tunisia,TUN,1965,Tunisia,,,,,4856664332.0,,,,,,,,,,,,,,2284990.0,414775.50000000006,779636.5,95361.00000000006,,,,,,,,,,,,,
Tunisia,TUN,1966,Tunisia,,,,,5024455669.0,,,,,,,,,,,,,,2329770.0,423746.0909416143,790344.1696184968,95803.02056061778,,,,,,,,,,,,,
Tunisia,TUN,1967,Tunisia,,,,,5032592899.0,,,,,,,,,,,,,,2383009.0,434497.18233132246,803558.3372032327,96152.04034900432,,,,,,,,,,,,,
Tunisia,TUN,1968,Tunisia,,,,,5556472161.0,,,,,,,,,,,,,,2441365.0,447092.5,820689.0000000001,96563.5,,,,,,,,,,,,,
Tunisia,TUN,1969,Tunisia,,,,,5820283202.0,,,,,,,,,,,,,,2502678.0,460832.0920677959,840728.6679658091,97072.51939372924,,,,,,,,,,,,,
Tunisia,TUN,1970,Tunisia,,,,,6092068996.0,,,,,,,,,,,,,,2564973.0,475142.9999999989,862313.9999999995,97736.50000000007,,,,,,,,,,,,,
Tunisia,TUN,1971,Tunisia,,,,,6735403513.0,,,,,,,,,,,,,,2629078.0,490451.9999999997,885068.9999999997,98677.99999999984,,,,,,,,,,,,,
Tunisia,TUN,1972,Tunisia,,,,,7930447182.0,,,,,,,,,,,,,,2695492.0,507397.4999999998,908242.5000000006,99968.00000000007,,,,,,,,,,,,,
Tunisia,TUN,1973,Tunisia,,,,,7878531024.0,,,,,,,,,,,,,,2764673.0,526950.5000000013,930887.5000000003,101626.99999999988,,,,,,,,,,,,,
Tunisia,TUN,1974,Tunisia,,,,,8514705256.0,,,,,,,,,,,,,,2837104.0,548016.0965801914,954252.1681736312,103706.01827673882,,,,,,,,,,,,,
Tunisia,TUN,1975,Tunisia,,,,,9124026071.0,,,,,,,,,,,,,,2912986.0,568459.5000000016,980438.5,106213.49999999996,,,,,,,,,,,,,
Tunisia,TUN,1976,Tunisia,,,,,9842712161.0,,,,,,,,,,,,,,2990372.0,588177.5000000012,1007846.5,109184.49999999977,,,,,,,,,,,,,
Tunisia,TUN,1977,Tunisia,,,,,10178456507.0,,,,,,,,,,,,,,3068400.0,608253.0000000012,1035781.0000000003,112631.00000000007,,,,,,,,,,,,,
Tunisia,TUN,1978,Tunisia,,,,,10833997304.0,,,,,,,,,,,,,,3137501.0,627880.3999394097,1063794.3304710763,116441.98144351506,,,,,,,,,,,,,
Tunisia,TUN,1979,Tunisia,,,,,11545522371.0,,,,,,,,,,,,,,3197086.0,647154.5000000014,1091424.4999999993,120476.00000000007,,,,,,,,,,,,,
Tunisia,TUN,1980,Tunisia,,,,,12402054611.0,,,,,,,,,,,,,,3257793.0,667567.4999999991,1119911.0000000002,124669.99999999978,,,,5.4,,,,,,,,,
Tunisia,TUN,1981,Tunisia,,,,,13085912934.0,,,,,,,,,,,,,,3319396.0,688289.1036768596,1149395.6731332554,129009.51943267966,,,,5.5,,,,,,,,,
Tunisia,TUN,1982,Tunisia,,,,,13021302861.0,,,,,,,,,,,,,,3379863.0,707492.1046628371,1179891.1745471896,133475.01974562585,,,,5.6,,,,,,,,,
Tunisia,TUN,1983,Tunisia,,,,,13630949504.0,,,,,,,,,,,,,,3436907.0,723911.6053144027,1211212.1762067135,138073.52008688624,,,,5.8,,,,,,,,,
Tunisia,TUN,1984,Tunisia,,,,,14414571426.0,,,,,,,,,,,,,,3511613.0,740708.0000000015,1249397.4999999998,142819.50000000012,,,,5.9,,,,,,,,,
Tunisia,TUN,1985,Tunisia,,,,,15228789050.0,,,,,,,,,,,,,,3606048.0,757320.0000000026,1294823.5000000002,147827.99999999988,,,,6.1,,,,,,,,,
Tunisia,TUN,1986,Tunisia,,,,,15008430237.0,,,,,,,,,,,,,,3700898.0,770361.3959223687,1342306.3186512676,153436.47927037175,,,,6.2,,,,,,,,,
Tunisia,TUN,1987,Tunisia,,,,,16014200843.0,,,,,,,,,,,,,,3795419.0,781571.3970375366,1392472.8165587494,159857.97894066788,,,,6.4,,,,,,,,,
Tunisia,TUN,1988,Tunisia,,,,,16025756542.0,,,,,,,,,,,,,,3887389.0,792456.6019265908,1445557.1859290628,166516.5214175276,,,,6.6,,,,,,,,,
Tunisia,TUN,1989,Tunisia,,,,,16305678292.0,,,,,,,,,,,,,,3975838.0,802761.3990450065,1501811.81113267,172821.47826603122,,,,6.7,,,,,,,,,
Tunisia,TUN,1990,Tunisia,,,,6742.5767,17601950274.0,0.569,22.302,,3.441,,,,,,105.128547668457,38.2366485595703,6.06022977828979,73.5235137939453,4062179.0,812798.9999999991,1560416.4999999998,179195.9999999999,,,,6.9,0.012298886,,48.172756,34.47215297232,84.97566969518999,33.13880343731,23.0657249749,0.1863918764,0.0
Tunisia,TUN,1991,Tunisia,,,,6859.7266,18289226397.0,0.575,22.419,,3.31,,,,,,106.454811096191,38.8878402709961,6.82883977890015,67.3557662963867,4153525.0,827087.499999999,1620293.5,186299.4999999999,,,,7.1,0.014982397,,46.518105,34.40562132604,86.10085016618,33.626507702750004,24.37309519393,0.26092075179,0.0
Tunisia,TUN,1992,Tunisia,,,,7241.283,19716833823.0,0.582,22.743,,3.189,,,,,,106.485092163086,40.1723213195801,7.69506978988647,,4249493.0,847929.5000000005,1679488.9999999998,194199.50000000015,,,,7.3,0.018734729,,45.305164,34.27175626822,87.33117855914,34.20012146617,25.64879424375,0.36129272309,0.0
