Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Uganda,UGA,1982,Uganda,,,,,4983495458.0,,,,,,,,,,,,,,7036634.0,1378692.4020346678,2094532.351169441,220289.48434695575,,,,1.8,,,,,,,,,
Uganda,UGA,1983,Uganda,,,,,5269775231.0,,,,,,,,,,,,,,7225967.0,1424197.5000000023,2144022.9999999995,229156.00000000023,,,,1.9,,,,,,,,,
Uganda,UGA,1984,Uganda,,,,,5251611544.0,,,,,,,,,,,,,,7433906.0,1475280.900773501,2201454.8519314835,238199.4839788472,,,,1.9,,,,,,,,,
Uganda,UGA,1985,Uganda,,,,,5077973310.0,,,,,,,,,,,,,,7655644.0,1528378.0998203508,2262031.647736209,247593.0161706198,,,,1.9,,,,,,,,,
Uganda,UGA,1986,Uganda,,,,,5097781821.0,,,,,,,,,,,,,,7890084.0,1582597.9999999986,2323923.4999999995,257254.49999999965,,,,2.0,,,,,,,,,
Uganda,UGA,1987,Uganda,,,,,5299750981.0,,,,,,,,,,,,,,8142845.0,1639267.1006569015,2391323.1468358515,266941.0163911391,,,,2.0,,,,,,,,,
Uganda,UGA,1988,Uganda,,,,,5737885293.0,,,,,,,,,,,,,,8407231.0,1695180.8991831583,2461676.3535976755,276497.48355597234,,,,2.1,,,,,,,,,
Uganda,UGA,1989,Uganda,,,,,6102926184.0,,,,,,,,,,,,,,8683099.0,1750519.899199587,2536226.8539561247,285865.983538942,,,,2.1,,,,,,,,,
Uganda,UGA,1990,Uganda,,,,1080.0383,6498038178.0,0.342,71.2,,7.014,,,,,,63.4644203186035,7.96612977981567,0.588339984416962,,8967826.0,1804968.8993641883,2613720.3542723535,294948.48355518474,,,,2.2,12.016021,,57.23756,19.89758426905,38.47440331142,3.56144855747,7.02512479831,6826.05468914525,38493.72861757527
Uganda,UGA,1991,Uganda,,,,1103.229,6858945424.0,0.345,71.214,,6.943,,,,,,64.7680816650391,,0.672599971294403,,9265471.0,1859910.8996321424,2696874.8544663917,303832.9836040183,,,,2.3,10.889327,,57.61147,19.72901103019,38.01035445142,3.51581776193,6.8535801458300005,6826.05016869922,38539.1000005835
Uganda,UGA,1992,Uganda,,,,1102.73,7093408658.0,0.339,71.261,,6.913,,,,,,57.1099815368652,7.41706991195679,0.680890023708344,,9584207.0,1916786.000000004,2790480.9999999995,312664.4999999998,,,,2.3,10.495378,,57.98006,19.58183154843,37.55173172049,3.47044969772,6.691944675479999,6753.12213926228,38580.73003892973
Uganda,UGA,1993,Uganda,,,,1153.9937,7684026612.0,0.347,71.3,,6.886,,,,,,61.6577606201172,,0.774640023708344,,9917865.0,1972916.0000000044,2890681.5,321230.49999999965,,,,2.4,10.046144,,58.33885,19.46713340587,37.11704292816,3.4274380449499997,6.5485482065200005,6627.93613302842,38616.15190229421
Uganda,UGA,1994,Uganda,,,,1187.3678,8176083687.0,0.35,71.367,,6.899,,,,,,67.0373001098633,7.77847003936768,0.911549985408783,,10252841.0,2025299.499999999,2989038.500000002,329172.5000000005,,,,2.5,9.549936,,58.681084,19.39674251214,36.724467610530006,3.3887580186500004,6.43112526942,6467.09048773801,38643.91739238978
Uganda,UGA,1995,Uganda,,,,1288.5089,9118233745.0,0.356,71.425,,6.871,91.2,47.2,,,,63.7256011962891,,1.00638997554779,,10533923.0,2057211.8047060133,3054562.2100261506,335291.46817031293,,,,2.6,9.329756,,59.00514,19.38563814527,36.33744583704,3.35326675304,6.3400981325000005,6280.87575479496,38663.90790251651
Uganda,UGA,1996,Uganda,,,,1367.9457,9945450357.0,0.367,71.485,,6.835,,,,,,65.5173492431641,,1.17763996124268,,10819034.0,2091389.0966532272,3120728.644223997,340861.0157528399,,,,2.7,8.951253,,59.30179,19.40579522165,36.06996055178,3.32623105317,6.27961650902,6081.03080394301,38663.87819350463
Uganda,UGA,1997,Uganda,,,,1396.6311,10452668511.0,0.376,71.54,,6.856,,,,,,109.322357177734,7.9254298210144,,,11132895.0,2137884.692033135,3200175.2874522125,346346.0311101499,,,,2.7,8.612221,,59.566036,19.42894630919,35.84745006844,3.30208569517,6.22825513921,5865.61495264543,38650.0657522566
Uganda,UGA,1998,Uganda,,,,1422.2079,10965399652.0,0.386,71.573,,6.837,,,,,,116.784729003906,,,,11463872.0,2192995.499999999,3284909.0,351385.49999999994,,,,2.8,8.297483,,59.79288,19.45352809373,35.67190916317,3.28127815781,6.18828406715,5642.946704469609,38597.50627324217
Uganda,UGA,1999,Uganda,,,,1487.7579,11848547279.0,0.398,71.557,,6.825,,,,,,122.281127929688,,1.33718001842499,,11835419.0,2264269.5000000047,3387777.9999999995,356452.50000000006,,,,2.9,7.9611692,,59.972008,19.47819244505,35.55044792309,3.26421509508,6.16235574057,5427.26487637699,38520.37611490796
Uganda,UGA,2000,Uganda,43.1,72.9,0.0,1487.005,12220817656.0,0.407,71.561,33.5,6.788,,,2.4411108,,,124.879066467285,,1.75592994689941,,12207750.0,2338430.500000002,3487369.0000000014,360720.0000000005,,,,3.0,7.6753373,487.64,60.092567,19.50384922973,35.443081795910004,3.2496347878500003,6.14752458876,5222.85183743388,38384.81103641553
Uganda,UGA,2001,Uganda,42.4,71.9,0.0,1516.9642,12854303430.0,0.418,71.532,32.7,6.757,92.4,41.9,2.3790817,,,128.519546508789,,1.95114004611969,52.6334686279297,12581652.0,2417676.192158878,3584294.7848826824,364248.5289507708,,,,3.1,7.521032,508.34,60.15646,19.53767027099,35.52581253223,3.2402281163,6.19784780202,5024.32960732477,38013.99685766155
Uganda,UGA,2002,Uganda,41.8,70.9,0.0,1598.5829,13976829355.0,0.432,71.455,31.8,6.735,,,2.3077927,,,133.742965698242,,2.70026993751526,55.9256210327148,12976787.0,2508868.903332432,3688561.857878462,367443.9858422588,,,,3.2,7.4186835,500.39,60.17877,19.58844325462,35.78928344558,3.23417721116,6.32184677503,4840.64902010216,36844.48808587777
Uganda,UGA,2003,Uganda,41.1,69.8,5.0,1649.1483,14881585674.0,0.446,71.378,31.0,6.671,,,2.2364986,,,134.133743286133,,2.81434988975525,55.6385917663574,13388571.0,2609120.59743835,3798613.141860292,370196.0138250759,,,,3.2,7.2356386,484.17,60.18436,19.64947998171,36.17795431051,3.23151606314,6.4798082158799994,4668.48988899449,35376.729940813726
Uganda,UGA,2004,Uganda,40.4,68.7,11.0,1709.3616,15894609936.0,0.461,71.3,30.1,6.612,,,2.1747766,,,125.985122680664,16.8686599731445,2.78642988204956,53.4134407043457,13791950.0,2707896.4999999963,3901497.5,372060.49999999994,,,,3.3,7.1332664,449.69,60.17624,19.71274601612,36.64620647164,3.23268963369,6.63360462235,4514.80432900031,33971.43609889796
Uganda,UGA,2005,Uganda,39.6,67.4,18.0,1765.0378,16901146460.0,0.47,71.219,29.3,6.525,,,2.1332343,,,120.130126953125,,,52.8378601074219,14198215.0,2810141.999999998,4003418.5,373426.99999999994,,,,3.4,6.6752205,433.39,60.15233,19.76980572986,37.10767756009,3.2380099119,6.742839446600001,4425.65725459501,33219.85494830992
Uganda,UGA,2006,Uganda,38.7,66.0,26.0,1898.9791,18723891904.0,0.481,71.103,28.3,6.429,93.5,47.2,2.107607,,,119.473091125488,,3.06022000312805,,14615077.0,2917898.000000002,4109835.4999999977,374580.4999999998,,,,3.5,6.5337353,421.01,60.138992,19.87115203191,37.69667201911,3.2464240803499997,6.82031574441,4388.65349465606,33079.135783197074
