Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Zambia,ZMB,1960,Zambia,,,,,3745698444.0,,,,,,,,,,,,,,1590765.0,287871.99999999994,528594.9999999999,48137.99999999997,,,,,,,,,,,,,
Zambia,ZMB,1961,Zambia,,,,,3796691708.0,,,,,,,,,,,,,,1641825.0,296197.3195926364,543340.1690632867,49921.96959361102,,,,,,,,,,,,,
Zambia,ZMB,1962,Zambia,,,,,3702122212.0,,,,,,,,,,,,,,1694750.0,304799.91007525893,558317.3352803262,51863.48469878007,,,,,,,,,,,,,
Zambia,ZMB,1963,Zambia,,,,,3823270196.0,,,,,,,,,,,,,,1749618.0,313172.4105026325,573513.3361032706,53942.9845843537,,,,,,,,,,,,,
Zambia,ZMB,1964,Zambia,,,,,4290246254.0,,,,,,,,,,,,,,1806278.0,322245.6784031464,588889.3260236384,56100.0310583592,,,,,,,,,,,,,
Zambia,ZMB,1965,Zambia,,,,,5004463110.0,,,,,,,,,,,,,,1864981.0,333747.4105225709,604565.8379163546,58348.98435668132,,,,,,,,,,,,,
Zambia,ZMB,1966,Zambia,,,,,4725699010.0,,,,,,,,,,,,,,1926058.0,346911.0900572801,620676.1611260306,60728.01576484602,,,,,,,,,,,,,
Zambia,ZMB,1967,Zambia,,,,,5099960030.0,,,,,,,,,,,,,,1989393.0,360573.6812480896,637235.82031671,63213.531775286094,,,,,,,,,,,,,
Zambia,ZMB,1968,Zambia,,,,,5163624360.0,,,,,,,,,,,,,,2055233.0,374750.9999999997,654345.4999999999,65777.00000000007,,,,,,,,,,,,,
Zambia,ZMB,1969,Zambia,,,,,5141063668.0,,,,,,,,,,,,,,2122705.0,389088.9999999995,671567.5,68376.0,,,,,,,,,,,,,
Zambia,ZMB,1970,Zambia,,,,,5387686297.0,,,,,,,,,,,,,,2188709.0,402516.9080469563,687015.3430546634,70993.98378176738,,,,,,,,,,,,,
Zambia,ZMB,1971,Zambia,,,,,5383050756.0,,,,,,,,,,,,,,2254345.0,415548.40783389285,701080.3445046466,73642.48366654539,,,,,,,,,,,,,
Zambia,ZMB,1972,Zambia,,,,,5878768640.0,,,,,,,,,,,,,,2322978.0,429643.6849538327,715487.3080043406,76329.03285826759,,,,,,,,,,,,,
Zambia,ZMB,1973,Zambia,,,,,5822212020.0,,,,,,,,,,,,,,2394851.0,445455.0930026749,729790.6523666088,79068.51650802414,,,,,,,,,,,,,
Zambia,ZMB,1974,Zambia,,,,,6196473039.0,,,,,,,,,,,,,,2469977.0,462236.90642890515,744865.349216137,81904.98341988953,,,,,,,,,,,,,
Zambia,ZMB,1975,Zambia,,,,,6055854684.0,,,,,,,,,,,,,,2548714.0,478398.4061490606,762404.3504335225,84854.48335347099,,,,,,,,,,,,,
Zambia,ZMB,1976,Zambia,,,,,6432587907.0,,,,,,,,,,,,,,2630668.0,494597.4059939512,781808.8514048804,87928.48328780296,,,,,,,,,,,,,
Zambia,ZMB,1977,Zambia,,,,,6138989402.0,,,,,,,,,,,,,,2715107.0,511791.09424878814,802099.1477104117,91139.01678368794,,,,,,,,,,,,,
Zambia,ZMB,1978,Zambia,,,,,6172984906.0,,,,,,,,,,,,,,2801710.0,529926.5945719928,823367.146940109,94447.51685533412,,,,,,,,,,,,,
Zambia,ZMB,1979,Zambia,,,,,5986318100.0,,,,,,,,,,,,,,2890097.0,548962.5000000002,845709.5,97777.0,,,,,,,,,,,,,
Zambia,ZMB,1980,Zambia,,,,,6168040110.0,,,,,,,,,,,,,,2980564.0,569078.404535113,869499.3541384526,101033.48305128094,,,,3.6,,,,,,,,,
Zambia,ZMB,1981,Zambia,,,,,6548482197.0,,,,,,,,,,,,,,3074761.0,590708.5000000013,895496.4999999995,104167.50000000004,,,,3.7,,,,,,,,,
Zambia,ZMB,1982,Zambia,,,,,6364287627.0,,,,,,,,,,,,,,3174931.0,614164.0000000009,924651.5,107167.99999999994,,,,3.8,,,,,,,,,
Zambia,ZMB,1983,Zambia,,,,,6239121864.0,,,,,,,,,,,,,,3278337.0,638456.9026248818,955443.8542791888,110014.48322099236,,,,3.9,,,,,,,,,
Zambia,ZMB,1984,Zambia,,,,,6218106324.0,,,,,,,,,,,,,,3381433.0,662464.000000001,985957.0000000006,112736.99999999996,,,,3.9,,,,,,,,,
Zambia,ZMB,1985,Zambia,,,,,6318548040.0,,,,,,,,,,,,,,3485619.0,686858.999999998,1016868.4999999997,115423.50000000006,,,,4.0,,,,,,,,,
Zambia,ZMB,1986,Zambia,,,,,6364287627.0,,,,,,,,,,,,,,3592137.0,712195.5000000005,1048825.4999999993,118103.50000000007,,,,4.1,,,,,,,,,
Zambia,ZMB,1987,Zambia,,,,,6534574435.0,,,,,,,,,,,,,,3698779.0,737820.5997383997,1080803.1461026932,120749.01632282123,,,,4.2,,,,,,,,,
Zambia,ZMB,1988,Zambia,,,,,6944994654.0,,,,,,,,,,,,,,3804044.0,763398.1003403367,1112173.146183003,123301.01620657089,,,,4.3,,,,,,,,,
Zambia,ZMB,1989,Zambia,,,,,6873912509.0,,,,,,,,,,,,,,3908736.0,789164.0000000014,1143207.5000000002,125651.49999999993,,,,4.3,,,,,,,,,
