Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Zimbabwe,ZWE,1960,Zimbabwe,,,,,4350191358.0,,,,,,,,,,,,,,1925679.0,332899.172873658,620989.3224781089,73551.53819511883,,,,,,,,,,,,,
Zimbabwe,ZWE,1961,Zimbabwe,,,,,4624956286.0,,,,,,,,,,,,,,1988050.0,343373.9136405237,634696.3403721385,75806.98093433755,,,,,,,,,,,,,
Zimbabwe,ZWE,1962,Zimbabwe,,,,,4691299938.0,,,,,,,,,,,,,,2052722.0,353515.50000000006,648766.9999999999,78064.49999999997,,,,,,,,,,,,,
Zimbabwe,ZWE,1963,Zimbabwe,,,,,4984240868.0,,,,,,,,,,,,,,2119628.0,362436.585495329,663390.6564875201,80322.01894719704,,,,,,,,,,,,,
Zimbabwe,ZWE,1964,Zimbabwe,,,,,4929106598.0,,,,,,,,,,,,,,2188719.0,376289.99999999977,678935.0000000001,82584.00000000006,,,,,,,,,,,,,
Zimbabwe,ZWE,1965,Zimbabwe,,,,,5171153857.0,,,,,,,,,,,,,,2260092.0,396613.50000000006,695455.0000000003,84850.99999999987,,,,,,,,,,,,,
Zimbabwe,ZWE,1966,Zimbabwe,,,,,5249917254.0,,,,,,,,,,,,,,2333725.0,417823.00000000023,712779.4999999997,87135.49999999993,,,,,,,,,,,,,
Zimbabwe,ZWE,1967,Zimbabwe,,,,,5689178299.0,,,,,,,,,,,,,,2409623.0,439390.9088257991,730981.3483203914,89450.48143890518,,,,,,,,,,,,,
Zimbabwe,ZWE,1968,Zimbabwe,,,,,5801262790.0,,,,,,,,,,,,,,2488102.0,461268.9073050637,750232.8492359136,91782.9815556234,,,,,,,,,,,,,
Zimbabwe,ZWE,1969,Zimbabwe,,,,,6522257411.0,,,,,,,,,,,,,,2569374.0,483664.000000001,770484.0000000003,94098.5000000002,,,,,,,,,,,,,
Zimbabwe,ZWE,1970,Zimbabwe,,,,,7994014635.0,,,,,,,,,,,,,,2652821.0,507586.09566911985,790260.1489471298,96482.5181848904,,,,,,,,,,,,,
Zimbabwe,ZWE,1971,Zimbabwe,,,,,8706887816.0,,,,,,,,,,,,,,2738827.0,533434.597383771,809296.6477451201,99059.01808420516,,,,,,,,,,,,,
